" and "," és "
"Starting at:","Kezdet:"
"Starting profile execution, please wait...","Profil futtatás indítása, kérem várjon..."
"State/Province:","Megye:"
"Static Blocks","Statikus blokk"
"Status","Állapot"
"Status:","Állapot:"
"Stock Quantity:","Mennyiség raktáron:"
"Store","Bolt"
"Store Email Addresses Section","Bolti e-mail címek szekció"
"Store View","Bolt nézet"
"Store:","Bolt:"
"Stores","Boltok"
"Subject","Tárgy"
"Submit","Beküldés"
"Subtotal","Részösszeg"
"Switch/Solo card issue number: %s","Switch/Solo kátya kibocsátási szám: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo kártya érvényesség kezdete: %s/%s"
"Switch/Solo/Maestro Only","Kizárólag Switch/Solo/Maestro"
"Switch/Solo/Maestro(UK Domestic) Only","Csak Switch/Solo/Maestro(UK Domestic)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK Domestic) kártya kiállítási szám: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(UK Domestic) kártya kiállítási dátum: %s/%s"
"Synchronize","Szinkronizálás"
"Synchronizing...","Szinkronizálás..."
"System","Rendszer"
"System Section","Rendszer szekció"
"Tags","Cimkék"
"Target Path","Cél útvonal"
"Tax","Adó"
"Template","Sablon"
"Template Content","Sablon tartalma"
"Template Information","Sablon információk"
"Template Name","Sablon neve"
"Template Styles","Sablon stílusa"
"Template Subject","Sablon tárgya"
"Template Type","Sablon típusa"
"Terms and Conditions","Általános Szerződési Feltételek"
"Text","Szöveg"
"The JavaScript/CSS cache has been cleaned.","JavaScript/CSS-gyorsítótár kiürítve."
"The Magento cache storage has been flushed.","A Magento-gyorsítótár kiürítve."
"The attribute set has been removed.","A jellemző halmaz eltávolítva."
"The image cache was cleaned.","Kép-gyorsítótár kiürítve."
"The order no longer exists.","A rendelés nem létezik többé."
"The shipment has been created.","A szállítmány létrejött."
"This account is","Ez a fiók"
"This action cannot be undone.","Ez a művelet nem vonható vissza."
"This attribute shares the same value in all the stores","Ez a jellemző halmaz minden boltban ugyanazt az értéket tartalmazza"
"This block no longer exists.","Ez a blokk már nem létezik."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Ez egy demo áruház. Minden a bolton keresztül leadott rendelésért nagyon hálásak vagyunk, de nem lesz teljesítve."
"This is a required field.","Ez egy szükséges mező."
"This user no longer exists.","Ez a felhasználó már nem létezik."
"Time","Idő"
"To","Eddig"
"Tools","Eszközök"
"Top 5 Search Terms","Első 5 keresés kulcsszó"
"Total","Összesen"
"Total Refunded","Összesen visszatérítve"
"Track Order","Nyomonkövetés"
"Track this shipment","A szállítás nyomonkövetése"
"Tracking number %s for %s assigned","A %s szállítási szám hozzárendelve ehhez: %s"
"Transaction ID","Tranzakció azonosító"
"Transaction Type","Tranzakció típus"
"Transactional Emails","Kereskedési e-mailek"
"Transactions","Tranzakciók"
"Type","Típus"
"Type:","Típus:"
"Unknown","Ismeretlen"
"Unlimited","Korlátlan"
"Update","Frissités"
"Updated At","Feltöltve ekkor"
"Upload File","Fájl feltöltése"
"Upload Files","Fájlok feltöltése"
"Upload HTTP Error","Felöltés HTTP hiba"
"Upload I/O Error","Feltöltés B/K hiba"
"Upload Security Error","Feltöltés biztonsági hiba"
"Upload import file","Import fájl feltöltése"
"Use All Available Attributes","Minden rendelkezésre álló jellemző használata"
"Use Config Settings","Konfigurációs beállítások használata"
"Use Default","Alapértelmezés használata"
"Use Default Value","Alapértelmezett érték használata"
"Use Default Variable Values","Alapértelmezett változó értékek használata"
"Use FTP Connection","Használja az FTP-kapcsolatot"
"Use Website","Honlap használata"
"User Email","Felhasználó e-mailcíme"
"User ID","Felhasználói azonosító"
"User Info","Felhasználó infó"
"User Information","Felhasználói információ"
"User Name","Felhasználói név"
"User Name:","Felhasználó név:"
"User Password","Felhasználói jelszó"
"User Role","Felhasználói szerepkör"
"User Roles","Felhasználói szerepkörök"
"User Roles Information","Felhasználói szerepkörök adatai"
"User name","Felhasználó név"
"Users","Felhasználók"
"Validation Results","Érvényesítés eredménye"
"Value","Érték"
"Value Delimiter:","Érték elválasztó:"
"Variable","Változó"
"Variable Code","Változó kódja"
"Variable HTML Value","Változó HTML érték"
"Variable ID","Változó ID"
"Variable Name","Változó neve"
"Variable Plain Value","Változó egyszerű érték"
"View Actions XML","Művelet XML nézete"
"View Full Size","Teljes méret"
"View Statistics For:","A statisztika megtekintése:"
"Visibility:","Láthatóság:"
"Warning","Figyelmeztetés"
"Watermark File for %s","%s vízjel fájl"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","Az iróasztalunkál ülünk, kódolunk a új jellemzőket a Magentoba. Köszönjük a türelmét."
"Web Section","Web szekció"
"Website","Honlap"
"What is this?","Mi ez?"
"Wishlist Report","Kívánságlista jelentés"
"YTD","Folyó év"
"Year","Év"
"Yes","Igen"
"Yes (301 Moved Permanently)","Igen (301 véglegesen áthelyezve)"
"Yes (302 Found)","Igen (302 megtalálható)"
"Yes (only price with tax)","Igen (csak ár, adóval)"
"You cannot delete your own account.","Saját fiókját nem törölheti."
"You have logged out.","Ön kijelentkezett."
"Your answers contain duplicates.","A válaszaid ismétlődéseket tartalmaznak."
"Your password reset link has expired.","Az új jelszó link érvényessége lejárt."
"Zip/Postal Code","Irányítószám"
"Zip/Postal Code:","Irányítószám:"
"[ deleted ]","[ törölve ]"
"[GLOBAL]","[GLOBÁLIS]"
"[STORE VIEW]","[BOLT NÉZET]"
"close","bezárás"
"critical","kritikus"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","például: ""sitemap/"" vagy ""/"" a gyökér könyvtárhoz (az útvonal írható kell legyen)"
"example: sitemap.xml","például: sitemap.xml"
"failed","nem sikerült"
"from","ettől"
"major","súlyos"
"minor","elhanyagolható"
"notice","figyelmeztetés"
"store(%s) scope","(%s) bolt hatóköre"
"successful","sikeres"
"to","eddig"
"website(%s) scope","%s weboldal hatóköre"
