" [deleted]"," [Borttagen]"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Kortnummer för Switch/Solo/Maestro: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Startdatum för Switch/Solo/Maestro: %s/%s"
"Synchronize","Synkronisera"
"Synchronizing...","Synkroniserar..."
"Tags","Taggar"
"Target Path","Sökväg för målet"
"Tax","Skatt"
"Tb","TB"
"Template","Mall"
"Template Content","Mallinnehåll"
"Template Information","Information om mallar"
"Template Name","Mallens namn"
"Template Styles","Mallstilar"
"Template Subject","Mall ämne"
"Template Type","Malltyp"
"Temporary (302)","Tillfällig (302)"
"Terms and Conditions","Regler och Villkor"
"The JavaScript/CSS cache has been cleaned.","JavaScript/CSS cachen har rensats."
"The Magento cache storage has been flushed.","Magento cache lagringen har rensats."
"The attribute set has been removed.","Attributgruppen har blivit raderad."
"The credit memo has been canceled.","Kreditnotan har avbrutits."
"The image cache was cleaned.","Bild cachen har rensats bort."
"The invoice has been captured.","Fakturan har fångats."
"The invoice has been created.","Fakturan har skapats."
"The invoice has been voided.","Fakturan har makulerats."
"The order no longer exists.","Ordern finns inte längre."
"The shipment has been created.","Försändelsen har skapats."
"The transaction details have been updated.","Information om transaktionen har uppdaterats."
"There is an error in one of the option rows.","Det finns ett fel i en av raderna."
"This account is","Detta konto är"
"This account is inactive.","Detta konto är inaktivt."
"This action cannot be undone.","Denna åtgärd kan inte ångras."
"This attribute shares the same value in all the stores","Detta attribut har samma värde i alla butiker"
"This block no longer exists.","Det här blocket finns inte längre."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Detta är en demobutik. Beställningar som läggs kommer inte att behandlas."
"This is a required field.","Detta är ett obligatoriskt fält."
"Time","Tid"
"Time selection:","Tidval:"
"Time:","Tid:"
"To","Till"
"Toggle Editor","Slå om editor"
"Tools","Verktyg"
"Top 5 Search Terms","Topp 5 sökord"
"Total","Summa"
"Total Invoiced","Totalt fakturerat"
"Total Order Amount","Total beställningssumma"
"Total Refunded","Totalt återbetalt"
"Track Order","Spåra beställning"
"Track this shipment","Spåra denna försändelse"
"Tracking number %s for %s assigned","Spårningsnumret %s har tilldelats till försändelsen %s"
"Transaction Data","Transaktionsdata"
"Transaction Details","Transaktionsdetaljer"
"Transaction ID","Transaktions-ID"
"Transaction Type","Transaktionstyp"
"Transactional Emails","Transaktionella mail"
"Transactions","Transaktioner"
"Type","Typ"
"Type:","Typ:"
"Unable to initialize import model","Kunde inte starta importmodellen"
"Unknown","Okänd"
"Unlimited","Obegränsat"
"Update","Uppdatera"
"Updated At","Uppdaterades den"
"Upload File","Ladda upp fil"
"Upload Files","Ladda upp Filer"
"Upload HTTP Error","HTTP-fel vid uppladdning"
"Upload I/O Error","Indata/utdata-fel vid uppladdning"
"Upload Security Error","Säkerhetsfel vid uppladdning"
"Upload import file","Ladda upp importfil"
"Use All Available Attributes","Använd alla tillgängliga attribut"
"Use Config Settings","Använd konfigurationsinställningarna"
"Use Default","Använd standard"
"Use Default Value","Använd standardvärde"
"Use Default Variable Values","Använd förvalda variabelvärden"
"Use FTP Connection","Använd FTP-anslutning"
"Use Website","Använd webbplats"
"User Email","Användar E-post"
"User ID","Användar-ID"
"User Info","Information om användare"
"User Information","Information om användare"
"User Name","Användarnamn"
"User Name:","Användarnamn:"
"User Password","Användarlösenord"
"User Role","Användarens roll"
"User Roles","Användarroller"
"User Roles Information","Information om användarroller"
"User name","Användarnamn"
"Users","Användare"
"Value","Värde"
"Value Delimiter:","Avskiljare för värden:"
"Variable","Variabel"
"Variable Code","Variabel kod"
"Variable HTML Value","Variabelt HTML Värde"
"Variable ID","Variabel ID"
"Variable Name","Variabelns namn"
"Variable Plain Value","Variabelt oformaterat värde"
"View Actions XML","Granska XML för åtgärder"
"View Full Size","Visa full storlek"
"View Statistics For:","Visa statistik för:"
"Visibility:","Synlighet:"
"Warning","Varning"
"Warning! Empty value can cause problems with CSV format.","Varning! Tomma värden kan skapa problem med CSV format."
"Watermark File for %s","Vattenmärk fil för %s"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","Just nu är vi sysselsatta med att förbättra Magento. Tack för ditt tålamod."
"Website","Webbplats"
"What is this?","Vad är det här?"
"Wishlist Report","Rapport för önskelistor"
"YTD","Från början av året"
"Year","År"
"Yes","Ja"
"Yes (only price with tax)","Ja (endast pris med moms)"
"You have logged out.","Du har loggat ut."
"Your answers contain duplicates.","Dina svar innehåller duplikat."
"Your password reset link has expired.","Din länk för återställning av lösenord har gått ut."
"Zip/Postal Code","Postnummer"
"Zip/Postal Code:","Postadress:"
"[ deleted ]","Borttagen"
"[GLOBAL]","[GLOBALT]"
"[STORE VIEW]","[BUTIKSVY]"
"close","stäng"
"critical","kritiska"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","exempel: ""sitemap/"" eller ""/"" för root (adressen måste vara skrivbar)"
"example: sitemap.xml","exempel: sitemap.xml"
"failed","misslyckades"
"from","från"
"major","stora"
"minor","mindre"
"notice","avisering"
"store(%s) scope","omfång för butik(%s)"
"successful","lyckades"
"to","till"
"website(%s) scope","omfång för webbplats(%s)"
