" [deleted]"," [διεγράφη]"
"Please enter a valid zip code. For example 90602 or 90602-1234.","Παρακαλούμε εισάγετε έναν έγκυρο Ταχυδρομικό Κωδικό. Για παράδειγμα 90602 ή 90602-1234."
"Please enter valid password.","Παρακαλούμε εισάγετε έναν έγκυρο κωδικό."
"Please make sure that all global admin search modules are installed and activated.","Παρακαλώ βεβαιωθείτε ότι όλες τις ενότητες αναζήτησης καθολικής διαχείρισης είναι εγκατεστημένες και έχουν ενεργοποιηθεί."
"Please make sure that your changes were saved before running the profile.","Παρακαλούμε βεβαιωθείτε πως οι αλλαγές σας έχουν αποθηκευθεί πριν τρέξετε το προφίλ."
"Please make sure your passwords match.","Παρακαλούμε βεβαιωθείτε πως οι κωδικοί σας είναι ίδιοι."
"Please select State/Province.","Παρακαλούμε επιλέξτε Νομό/Δήμο."
"Please select an option.","Παρακαλούμε κάντε μια επιλογή."
"Please select customer(s).","Παρακαλώ επιλέξτε πελάτης(ες)."
"Please select one of the above options.","Παρακαλούμε επιλέξτε μία από τις παραπάνω επιλογές."
"Please select one of the options.","Παρακαλούμε επιλέξτε μία από τις επιλογές."
"Please select review(s).","Παρακαλώ επιλέξτε αξιολόγηση(εις)."
"Please specify the admin custom URL.","Παρακαλούμε να προσδιορίσετε την προσαρμοσμένη διεύθυνση URL διαχείρισης."
"Please use in this field only ""a-z,0-9,_"".","Παρακαλούμε χρησιμοποιήστε μόνο ""aA-zZαΑ-ωΩ,0-9,_"" σε αυτό το πεδίο."
"Please use letters only (a-z) in this field.","Παρακαλούμε χρησιμοποιήστε μόνο γράμματα (aA-zZαΑ-ωΩ) σε αυτό το πεδίο."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Παρακαλούμε χρησιμοποιήστε μόνο γράμματα (α-ω ή Α-Ω), αριθμούς (0-9) ή κενά διαστήματα σε αυτό το πεδίο."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Παρακαλούμε χρησιμοποιήστε μόνο γράμματα (aA-zZαΑ-ωΩ) ή αριθμούς (0-9) μόνο σε αυτό το πεδίο. Δεν επιτρέπονται κενά ή άλλοι χαρακτήρες."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Παρακαλούμε χρησιμοποιήστε μόνο γράμματα (aA-zZαΑ-ωΩ) ή αριθμούς (0-9) ή κενά και # μόνο σε αυτό το πεδίο."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Παρακαλούμε χρησιμοποιήστε αυτή τη μορφή ημερομηνίας: ηη/μμ/χχχχ. Για παράδειγμα 17/03/2006 για τη 17η Μαρτίου, 2006."
"Please wait, loading...","Παρακαλούμε περιμένετε, γίνετε φόρτωση..."
"Please wait...","Παρακαλώ περιμένετε..."
"Poll Manager","Διαχείριση Δημοψηφισμάτων"
"Popular","Δημοφιλείς"
"Position","Θέσης"
"Position of Watermark for %s","Θέση Υδατογραφήματος για %s"
"Preview","Προεπισκόπηση"
"Preview Template","Προεπισκόπηση Προτύπου"
"Price","Τιμή"
"Price:","Τιμή:"
"Processed <strong>%s%% %s/%d</strong> records","Επεξεργάστηκαν <strong>%s%% %s/%d</strong> εγγραφές"
"Processing","Επεξεργασία"
"Product","Προϊόν"
"Product Name","Όνομα Προϊόντος"
"Product Reviews","Αξιολογήσεις Προϊόντος"
"Product Tax Classes","Φορολογικές Κλάσεις Προϊόντος"
"Product Thumbnail Itself","Μικρογραφία Ίδιου Προϊόντος"
"Product:","Προϊόν:"
"Products","Προϊόντα"
"Products Bestsellers Report","Έκθεση προϊόντων μπεστ σέλερ"
"Products Most Viewed Report","Έκθεση Περισσότερο Προβληθέντων Προϊόντων"
"Products Ordered","Προϊόντα που παραγγέλθηκαν"
"Products in Carts","Προϊόντα σε Καλάθια"
"Profile Action","Ενέργεια Προφίλ"
"Profile Actions XML","XML Ενεργειών του Προφίλ"
"Profile Direction","Κατεύθυνση του Προφίλ"
"Profile History","Ιστορικό του Προφίλ"
"Profile Information","Πληροφορίες του Προφίλ"
"Profile Name","Όνομα Προφίλ"
"Profile Wizard","Γρήγορη Δημιουργία Προφίλ"
"Profiles","Προφίλ"
"Promo","Προβολή"
"Promotions","Προωθητικές ενέργειες"
"Quantity","Ποσότητα"
"Radio Buttons","Κουμπιά επιλογών"
"Rates","Συντελεστές"
"Rebuild","Ανοικοδόμηση"
"Rebuild Catalog Index","Επαναδημιουργία Ευρετηρίου Καταλόγου"
"Rebuild Flat Catalog Category","Επαναδημιουργία Επίπεδης Κατηγορίας Καταλόγου"
"Rebuild Flat Catalog Product","Επαναδημιουργία Επίπεδων Προϊόντων Καταλόγου"
"Recent Orders","Πρόσφατες Παραγγελίες"
"Recent statistics have been updated.","Πρόσφατα στατιστικά έχουν ενημερωθεί."
"Redirect","Αναδρομολόγηση"
"Reference ID","ID Αναφοράς"
"Refresh","Ανανέωση"
"Refresh Statistics","Ανανέωση Στατιστικών"
"Region/State","Περιοχή/Κράτος"
"Regular Price:","Κανονική Τιμή:"
"Release","Κυκλοφορία"
"Release Stability","Σταθερότητα Κυκλοφορίας"
"Release Version","Έκδοση"
"Reload captcha","Επαναφόρτωση επιβεβαίωσης captcha"
"Remote FTP","Απομακρυσμένο FTP"
"Remove","Αφαίρεση"
"Reports","Αναφορές"
"Request Path","Αίτηση Διαδρομής"
"Required","Απαιτείται"
"Reset","Επαναφορά"
"Reset Filter","Επαναφορά φίλτρου"
"Reset Password","Επαναφορά κωδικού πρόσβασης"
"Reset a Password","Επαναφορά του κωδικού πρόσβασης"
"Resize","Αλλαγή Μεγέθους"
"Resource Access","Πρόσβαση σε Πόρους"
"Resources","Πόροι"
"Results","Αποτελέσματα"
"Retrieve Password","Ανάκτηση κωδικού πρόσβασης"
"Return Html Version","Έκδοση Επιστροφής Html"
"Revenue","Έσοδα"
"Reviews","Αξιολογήσεις"
"Role ID","ID Ρόλου"
"Role Info","Πληροφορίες Ρόλου"
"Role Information","Πληροφορίες Ρόλου"
"Role Name","Όνομα Ρόλου"
"Role Resources","Πόροι Ρόλου"
"Role Users","Ρόλος Χρηστών"
"Roles","Ρόλοι"
"Roles Resources","Πόροι Ρόλων"
"Root Category","Κύρια Κατηγορία"
"Rotate CCW","Περιστροφή Αριστερόστροφα"
"Rotate CW","Περιστροφή Δεξιόστροφα"
"Run","Εκτέλεση"
"Run Profile","Εκτέλεση Προφίλ"
"Run Profile Inside This Window","Εκτέλεση του Προφίλ μέσα σε αυτό το Παράθυρο"
"SKU","Κωδικός"
"SSL Error: Invalid or self-signed certificate","Σφάλμα SSL: Άκυρο η αυτο-υπογραμμένο πιστοποιητικό"
"Sales","Πωλήσεις"
"Sales Report","Έκθεση πωλήσεων"
"Samples","Δείγματα"
"Save","Αποθήκευση"
"Save & Generate","Αποθήκευση & Δημιουργία"
"Save Account","Αποθήκευση Λογαριασμού"
"Save Block","Αποθήκευση Τμήματος"
"Save Cache Settings","Αποθήκευση ρυθμίσεων Cache"
"Save Config","Αποθήκευση Ρυθμίσεων"
"Save Currency Rates","Αποθήκευση Ισοτιμιών Νομισμάτων"
"Save Profile","Αποθήκευση Προφίλ"
"Save Role","Αποθήκευση Ρόλου"
"Save Template","Αποθήκευση προτύπου"
"Save User","Αποθήκευση Χρήστη"
"Save and Continue Edit","Αποθήκευση και συνεχίση επεξεργασίας"
"Search","Αναζήτηση"
"Search Index","Ευρετήριο Αναζήτησης"
"Search Term","Όρος Αναζήτησης"
"Search Terms","Όροι Αναζήτησης"
"Search entire store here...","Αναζήτηση σε όλο το κατάστημα..."
"Select","Επιλογή"
"Select All","Επιλογή όλων"
"Select Category","Επιλογή κατηγορίας"
"Select Date","Επιλέξτε Ημερομηνία"
"Select Range","Επιλογή διαστήματος"
"Sender","Αποστολέας"
"Separate Email","Ξεχωριστό Email"
"Shipment #%s comment added","Αποστολή παραγγελίας #%s προστέθηκε σχόλιο"
"Shipment #%s created","Αποστολή παραγγελίας #%s δημιουργήθηκε"
"Shipment Comments","Σχόλια Αποστολής"
"Shipment History","Ιστορικό αρχείο των αποστολών"
"Shipments","Αποστολές"
"Shipping","Μεταφορικά"
"Shipping Address","Διεύθυνση Αποστολής"
"Shipping Address: ","Διεύθυνση Αποστολής: "
"Shipping Origin","Προέλευση Αποστολής"
"Shipping Price","Τιμή Αποστολής"
"Shopping Cart","Καλάθι"
"Shopping Cart Price Rules","Κανόνες Τιμών Καλαθιού Αγορών"
"Shopping Cart from %s","Καλάθι Αγορών από %s"
"Show By","Εμφάνιση κατά"
"Show Report For:","Προβολή Έκθεσης για:"
"Show Reviews","Προβολή Αξιολογήσεων"
"Sitemap Information","Πληροφορίες Χάρτη Ιστότοπου"
"Size for %s","Μέγεθος για %s"
"Skip Category Selection","Παράληψη Επιλογής Κατηγορίας"
"Sorry, this feature is coming soon...","Συγνώμη, αυτή η δυνατότητα θα είναι διαθέσιμη σύντομα..."
"Special Price:","Ειδική Τιμή:"
"Specific Countries","Συγκεκριμένες Χώρες"
"Specified","Καθορίστηκαν"
"Spreadsheet Name:","Όνομα Λογιστικού Φύλλου:"
"Start Date","Ημερομηνία έναρξης"
"Starting at:","Αρχίζει στα:"
"Starting profile execution, please wait...","Έναρξη εκτέλεσης προφίλ, παρακαλούμε περιμένετε..."
"State/Province:","Νομός/Δήμος:"
"Static Blocks","Στατικά Μπλοκ"
"Status","Κατάσταση"
"Status:","Κατάσταση:"
"Stock Quantity:","Ποσότητα Αποθεμάτων:"
"Store","Κατάστημα"
"Store View","Προβολή Καταστήματος"
"Store:","Κατάστημα:"
"Stores","Καταστήματα"
"Subject","Θέμα"
"Submit","Υποβολή"
"Subtotal","Υποσύνολο"
"Switch/Solo card issue number: %s","Αριθμός έκδοσης Switch/Solo κάρτας: %s"
"Switch/Solo card start Date: %s/%s","Ημερομηνία έναρξης Switch/Solo κάρτας: %s/%s"
"Switch/Solo/Maestro Only","Switch/Solo/Maestro Μόνο"
"Switch/Solo/Maestro(UK Domestic) Only","Switch/Solo/Maestro(UK Domestic) Μόνο"
"Synchronize","Συγχρονισμός"
"Synchronizing...","Συγχρονισμός..."
"System","Σύστημα"
"Tags","Ετικέτες"
"Target Path","Διαδρομή προορισμού"
"Tax","Φόροι"
"Template","Πρότυπο"
"Template Content","Περιεχόμενο Προτύπου"
"Template Information","Πληροφορίες Πρότυπου"
"Template Name","Όνομα προτύπου"
"Template Styles","Στυλ προτύπου"
"Template Subject","Θέμα Προτύπου"
"Template Type","Τύπος προτύπου"
"Temporary (302)","Προσωρινή (302)"
"Terms and Conditions","Όροι και Προϋποθέσεις"
"Text","Κείμενο"
"The JavaScript/CSS cache has been cleaned.","Η μνήμη cache JavaScript/CSS έχει καθαριστεί."
"The URL Rewrite has been saved.","Η διεύθυνση επανεγγραφής URL έχει αποθηκευτεί."
"The attribute set has been removed.","Έχει αφαιρεθεί το Σύνολο Χαρακτηριστικών."
"The credit memo has been canceled.","Το πιστωτικό υπόμνημα έχει ακυρωθεί."
"The image cache was cleaned.","Καθαρίστηκε η προσωρινή μνήμη των εικόνων."
"The invoice has been captured.","Το τιμολόγιο έχει δεσμευτεί."
"The invoice has been created.","Το τιμολόγιο έχει δημιουργηθεί."
"The invoice has been voided.","Το τιμολόγιο έχει ακυρωθεί."
"The order no longer exists.","Η παραγγελία δεν υπάρχει πλέον."
"The shipment has been created.","Η αποστολή έχει δημιουργηθεί."
"The transaction details have been updated.","Έχουν ενημερωθεί οι λεπτομέρειες της συναλλαγής."
"There is an error in one of the option rows.","Υπάρχει σφάλμα σε μία από τις σειρές επιλογής."
"This account is","Αυτός ο λογαριασμός είναι"
"This action cannot be undone.","Αυτή η ενέργεια δεν μπορεί να αναιρεθεί."
"This attribute shares the same value in all the stores","Αυτό το χαρακτηριστικό μοιράζεται την ίδια τιμή σε όλα τα καταστήματα"
"This block no longer exists.","Αυτό το μπλοκ δεν υπάρχει πλέον."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Αυτό είναι ένα demo κατάστημα. Οποιαδήποτε παραγγελία μέσα σε αυτό το κατάστημα δεν θα εκτελείται ή δεν θα παραδίδεται"
"This is a required field.","Αυτό είναι ένα υποχρεωτικό πεδίο."
"This user no longer exists.","Αυτός ο χρήστης δεν υπάρχει πια."
"Time","Ώρα"
"To","Έως"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","Για να χρησιμοποιήσετε το σύνδεσμο PayPal Payflow, πρέπει να ρυθμίσετε το σύνδεσμο λογαριασμού σας PayPal Payflow στην ιστοσελίδα του PayPal."
"Toggle Editor","Ενεργοποίηση/Απενεργοποίηση επεξεργαστή"
"Tools","Εργαλεία"
"Top 5 Search Terms","5 Δημοφιλέστεροι Όροι Αναζήτησης"
"Total","Σύνολο"
"Total Invoiced","Σύνολο Τιμολογημένων"
"Total Order Amount","Συνολικό Ποσό Παραγγελίας"
"Total Refunded","Συνολικό ποσό Επιστροφής"
"Track Order","Παρακολούθηση παραγγελίας"
"Track this shipment","Παρακολούθηση της αποστολής"
"Tracking number %s for %s assigned","Αριθμός παρακολούθησης %s για %s εκχωρήθηκε"
"Transaction Data","Δεδομένα Συναλλαγής"
"Transaction Details","Λεπτομέρειες Συναλλαγής"
"Transaction ID","ID Συναλλαγής"
"Transaction Type","Τύπος Συναλλαγής"
"Transactional Emails","Emails Συναλλαγών"
"Transactions","Συναλλαγές"
"Type","Τύπος"
"Type:","Τύπος:"
"URL Rewrite Information","Πληροφορίες διευθύνσης επανεγγραφής URL"
"URL Rewrite Management","Διαχείριση διευθύνσεων επανεγγραφών URL"
"Unable to initialize import model","Αδυναμία αρχικοποίησης του μοντέλου εισαγωγής"
"Unknown","Άγνωστο"
"Unlimited","Απεριόριστα"
"Update","Ενημέρωση"
"Updated At","Ενημερώθηκε στις"
"Upload File","Ανεβάστε αρχείο"
"Upload Files","Ανεβάστε Αρχεία"
"Upload HTTP Error","HTTP Σφάλμα φόρτωσης"
"Upload I/O Error","I/O Σφάλμα φόρτωσης"
"Upload Security Error","Σφάλμα Ασφαλείας κατά τη φόρτωση"
"Upload import file","Φόρτωση αρχείου εισαγωγής"
"Use All Available Attributes","Χρήση όλων των διαθέσιμων χαρακτηριστικών"
"Use Config Settings","Χρήση Ρυθμίσεων Παραμέτρων"
"Use Default","Χρήση Προεπιλογής"
"Use Default Value","Χρήση Προκαθορισμένης Τιμής"
"Use Default Variable Values","Χρήση Προεπιλεγμένων Τιμών Μεταβλητών"
"Use FTP Connection","Χρήση Σύνδεσης FTP"
"Use Website","Χρήση Ιστοσελίδας"
"User Email","Ηλεκτρονικό ταχυδρομείο χρήστη"
"User ID","ID χρήστη"
"User Info","Πληροφορίες χρήστη"
"User Information","Πληροφορίες Χρήστη"
"User Name","Όνομα χρήστη"
"User Name:","Όνομα Χρήστη:"
"User Password","Κωδικός πρόσβασης χρήστη"
"User Role","Ρόλος Χρήστη"
"User Roles","Ρόλοι Χρήστη"
"User Roles Information","Πληροφορίες Ρόλων Χρήστη"
"User name","Όνομα χρήστη"
"Users","Χρήστες"
"Validation Results","Αποτελέσματα Επικύρωσης"
"Value","Τιμή"
"Value Delimiter:","Οριοθέτηση Τιμής:"
"Variable","Μεταβλητή"
"Variable Code","Μεταβλητή Κώδικα"
"Variable HTML Value","Τιμή Μεταβλητής HTML"
"Variable ID","ID Μεταβλητής"
"Variable Name","Όνομα Μεταβλητής"
"Variable Plain Value","Τιμή Απλής Μεταβλητής"
"View Actions XML","XML Ενεργειών Όψεων"
"View Full Size","Προβολή πλήρους μεγέθους"
"View Statistics For:","Δείτε Στατιστικά Για:"
"Visibility:","Ορατότητα:"
"Warning","Προσοχή"
"Watermark File for %s","Αρχείο Υδατογραφήματος για %s"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","Είμαστε στο τραπέζι δακτυλογραφώντας, γράφοντας κώδικα για περισσότερες λειτουργίες για το OpenMage. Ευχαριστούμε για την υπομονή σας."
"Website","Ιστοσελίδα"
"What is this?","Τι είναι αυτό;"
"Wishlist Report","Αναφορά Λίστας Επιθυμητών"
"YTD","ΧΜΣ"
"Year","Έτος"
"Yes","Ναί"
"Yes (301 Moved Permanently)","Ναι (301 μεταφέρονται οριστικά)"
"Yes (302 Found)","Ναι (βρέθηκαν 302)"
"Yes (only price with tax)","Ναι (τιμή με ΦΠΑ)"
"You cannot delete your own account.","Δεν μπορείτε να διαγράψετε το δικό σας λογαριασμό."
"You have logged out.","Έχετε αποσυνδεθεί."
"Your answers contain duplicates.","Οι απαντήσεις σας περιέχουν διπλότυπα."
"Your password reset link has expired.","Ο σύνδεσμος επαναφοράς κωδικού πρόσβασης έχει λήξει."
"Zip/Postal Code","Ταχυδρομικός κώδικας"
"Zip/Postal Code:","Ταχυδρομικός Κωδικός:"
"[ deleted ]","[ διεγράφη ]"
"[GLOBAL]","[ΚΑΘΟΛΙΚΟ]"
"[STORE VIEW]","[ΠΡΟΒΟΛΗ ΚΑΤΑΣΤΗΜΑΤΟΣ]"
"[WEBSITE]","[ΙΣΤΟΤΟΠΟΣ]"
"close","κλείσιμο"
"critical","κρίσιμο"
"example: sitemap.xml","παράδειγμα: χάρτης ιστότοπου.xml"
"failed","απέτυχε"
"from","από"
"major","σημαντικό"
"minor","χαμηλή"
"notice","ανακοίνωση"
"store(%s) scope","εμβέλεια καταστήματος(%s)"
"successful","επιτυχής"
"to","σε"
"website(%s) scope","Εμβέλεια ιστότοπου(%s)"
