" [deleted]","[ลบทิ้งแล้ว]"
"Save Cache Settings","บันทึกการตั้งค่าแคช"
"Save Config","บันทึกการตั้งค่า"
"Save Currency Rates","บันทึกอัตราแลกเปลี่ยนสกุลเงิน"
"Save Profile","บันทึกโปรไฟล์"
"Save Role","บันทึกบทบาท"
"Save Template","บันทึกเทมเพลต"
"Save User","บันทึกผู้ใช้"
"Save and Continue Edit","บันทึก และแก้ไขต่อไป"
"Search","ค้นหา"
"Search Index","ดัชนีการค้นหา"
"Search Term","คำที่ใช้ค้นหา"
"Search Terms","คำที่ใช้ค้นหา"
"Search entire store here...","ค้นหาสินค้าจากทั้งร้านที่นี่..."
"Select","เลือก"
"Select All","เลือกทั้งหมด"
"Select Category","เลือกหมวดหมู่"
"Select Date","เลือกวันที่"
"Select Range","เลือกลำดับ"
"Select date","เลือกวันที่"
"Sender","ผู้ส่ง"
"Shipment #%s comment added","เพิ่่มข้อคิดเห็นการส่งสินค้า #%s"
"Shipment #%s created","สร้างการส่งสินค้า #%s"
"Shipment Comments","ข้อคิดเห็นการส่งสินค้า"
"Shipment History","ประวัติการส่งสินค้า"
"Shipments","การส่งสินค้า"
"Shipping","การจัดส่ง"
"Shipping Address","ที่อยู่จัดส่ง"
"Shipping Price","ราคาการส่งสินค้า"
"Shopping Cart","ตะกร้าสินค้า"
"Shopping Cart Price Rules","ข้อกำหนดราคาในรถเข็น"
"Shopping Cart from %s","รถเข็นซื้อสินค้าจาก %s"
"Sitemap Information","ข้อมูล Sitemap"
"Size for %s","ขนาดสำหรับ %s"
"Sorry, this feature is coming soon...","ขออภัย ความสามารถนี้ยังใช้งานไม่ได้ขณะนี้..."
"Special Price:","ราคาพิเศษ:"
"Specific Countries","ประเทศที่ระบุ"
"Spreadsheet Name:","ชื่ิอ Spreadsheet:"
"Start Date","วันที่เริ่มต้น"
"Starting at:","เริ่มต้นที่:"
"Starting profile execution, please wait...","เริ่มการ execution โปรไฟล์กรุณารอสักครู่..."
"State/Province:","รัฐ/จังหวัด:"
"Static Blocks","Static Block"
"Status","สถานะ"
"Status:","สถานะ:"
"Stock Quantity:","จำนวนสินค้าในร้าน:"
"Store","ร้านค้า"
"Store View","มุมมองร้าน"
"Store:","ร้านค้า:"
"Stores","ร้านค้า"
"Subject","หัวข้อ"
"Submit","ส่ง"
"Subtotal","ผลรวมย่อย"
"System","ระบบ"
"Tags","Tag"
"Target Path","Path เป้าหมาย"
"Tax","ภาษี"
"Template","เทมเพลต"
"Template Content","เนื้อหาเทมเพลต"
"Template Information","ข้อมูลเทมเพลต"
"Template Name","ชื่อเทมเพลต"
"Template Subject","หัวข้อเทมเพลต"
"Template Type","ประเภทของเทมเพลต"
"Text","ข้อความ"
"The JavaScript/CSS cache has been cleaned.","ล้างแคช JavaScript/CSS แล้ว"
"The OpenMage cache storage has been flushed.","ที่เก็บข้อมูลแคชของ OpenMage ถูกล้างแล้ว"
"The image cache was cleaned.","ล้างแคชภาพแล้ว"
"This account is","บัญชีผู้ใช้นี้"
"This action cannot be undone.","การกระทำนี้ไม่สามารถยกเลิกได้"
"This attribute shares the same value in all the stores","คุณลักษณะนี้ใช้ค่าร่วมกันในทุกร้านค้า"
"This block no longer exists.","ไม่มีไฟล์นี้อีกต่อไป"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","นี่เป็นเพียงร้านค้าตัวอย่าง ออเดอร์ใด ๆ ที่ถูกสั่งผ่านร้านค้านี้จะไม่มีการดำเนินการต่อจนเสร็จ"
"This is a required field.","นี่คือข้อมูลที่จำเป็น"
"This section is not allowed.","พื้นที่ส่วนนี้ไม่อนุญาตให้เข้าใช้งานได้"
"Time","เวลา"
"Time selection:","ส่วนจัดการเกี่ยวกับเวลา"
"Time:","เวลา"
"To","ถึง"
"Toggle Editor","ตัวแก้ไข Toggle"
"Tools","เครื่องมือ"
"Top 5 Search Terms","คำค้นหา 5 อันดับสูงสุด"
"Total","รวม"
"Total Invoiced","ใบแจ้งราคาสินค้าทั้งหมด"
"Total Order Amount","จำนวนคำสั่งซื้อทั้งหมด"
"Total Refunded","จำนวนเงินที่คืนทั้งหมด"
"Track Order","ติดตามคำสั่งซื้อ"
"Track this shipment","ติดตามการส่งสินค้าชุดนี้"
"Tracking number %s for %s assigned","กำหนดหมายเลขติดตาม %s สำหรับ %s แล้ว"
"Transaction Type","ประเภทของธุรกรรม"
"Transactional Emails","อีเมลล์ธุรกรรม"
"Type","ชนิด"
"Type:","ประเภท:"
"Unable to initialize import model","ไม่สามารถเริ่มนำเข้าโมเดล "
"Unknown","ไม่ทราบ"
"Update","อัพเดท"
"Updated At","ปรับปรุงเมื่อ"
"Upload File","อัพโหลดไฟล์"
"Upload Files","อัพโหลดไฟล์"
"Upload HTTP Error","เกิดความผิดพลาดในการอัพโหลด HTTP"
"Upload I/O Error","พบข้อผิดพลาดในการอัพโหลด I/O"
"Upload Security Error","อัพโหลดข้อผิดพลาดความปลอดภัย"
"Upload import file","อัพโหลดไฟล์ที่นำเข้า"
"Use All Available Attributes","ใช้แอตทริบิวต์ที่มีทั้งหมด"
"Use Default","ใช้ค่าเริ่มต้น"
"Use Default Value","ใช้ค่าเริ่มต้น"
"Use FTP Connection","ใช้การเชื่อมต่อ FTP"
"User Email","อีเมลผู้ใช้"
"User ID","รหัสผู้ใช้"
"User Info","ข้อมูลผู้ใช้"
"User Information","ข้อมูลผุ้ใช้"
"User Name","ชื่อผู้ใช้"
"User Name:","ชื่อผู้ใช้:"
"User Password","รหัสผ่านของคุณ"
"User Role","บทบาทผู้ใช้"
"User Roles","บทบาทผู้ใช้"
"User Roles Information","ข้อมูลบทบาทผู้ใช้"
"User name","ชื่อผู้ใช้"
"Users","ผู้ใช้"
"Value","ค่า"
"Value Delimiter:","ค่าี่จำกัดจำนวน:"
"Variable","เปลี่ยนแปลงได้"
"View Actions XML","ดูการกระทำ XML"
"View Full Size","ดูขนาดเต็ม"
"View Statistics For:","ดูสถิติ"
"Visibility:","เลือกให้แสดง:"
"Warning","คำเตือน"
"Watermark File for %s","ไฟล์ลายน้ำสำหรับ %s"
"Website","เว็บไซต์"
"What is this?","นี่คืออะไร?"
"Wishlist Report","รายงาน Wishlist "
"Year","ปี"
"Yes","ใช่"
"Yes (only price with tax)","ใช่ (ราคารวมภาษีเท่านั้น)"
"You have logged out.","คุณได้ออกจากระบบแล้ว"
"Your answers contain duplicates.","คำตอบของคุณถูกทำสำเนา."
"Zip/Postal Code","รหัสไปรษณีย์"
"Zip/Postal Code:","รหัสไปรษณีย์:"
"[ deleted ]","[ ลบ ]"
"close","ปิด"
"example: sitemap.xml","ตัวอย่าง: sitemap.xml"
"failed","ล้มเหลว"
"from","จาก"
"notice","การแจ้งเตือน"
"store(%s) scope","ขอบเขต ร้านค้า(%s)"
"successful","สำเร็จแล้ว"
"to","ถึง"
"website(%s) scope","ขอบเขตเว็บไซต์(%s)"
