" [deleted]","[заличава]"
"Shipment #%s comment added","Коментар за доставка #%s е добавен"
"Shipment #%s created","Доставка #%s е създадена"
"Shipment Comments","Доставка коментари"
"Shipment History","История на доставките"
"Shipments","Доставки"
"Shipping","Доставка"
"Shipping Address","Адрес за доставка"
"Shipping Origin","Произход на доставка"
"Shipping Price","Цена за доставка"
"Shipping address selection is not applicable","Изборът на Адрес за доставка е невалиден"
"Shipping method selection is not applicable","Не е приложим избор на метод на изпращане"
"Shopping Cart","Количка"
"Shopping Cart Price Rules","Правила за цена в количка"
"Shopping Cart from %s","Пазарска количка от %s"
"Show By","Покажи по"
"Show Report For:","Покажи отчет за:"
"Show Reviews","Показване на отзиви"
"Sitemap Information","Карта на сайта информация"
"Size for %s","Големина за %s"
"Skip Category Selection","Пропусни категория селекция"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Някои от продуктите в тази поръчка имат различни фактури и тип на доставка. Създаването на доставка е възможно само след създаването на фактурата."
"Sorry, this feature is coming soon...","Съжаляваме, тази функционалност ще бъде налична скоро..."
"Special Price:","Промоционална цена:"
"Specific Countries","Конкретни страни"
"Specified","Зададен"
"Spreadsheet Name:","Име на електронна таблица:"
"Start Date","Начална дата"
"Starting at:","Започва от:"
"Starting profile execution, please wait...","Започване на изпълнение на профил, моля изчакайте..."
"State/Province:","Област / Провинция:"
"Static Blocks","Статични блокове"
"Status","Статус"
"Status:","Статус:"
"Stock Quantity:","Стокова наличност:"
"Store","Магазин"
"Store View","Изглед на магазина"
"Store:","Магазин:"
"Stores","Магазини"
"Subject","Предмет"
"Submit","Изпрати"
"Subtotal","Сума"
"Switch/Solo card issue number: %s","Switch/Solo карта номер: %s"
"Switch/Solo card start Date: %s/%s","Начална дата на Switch/Solo карта: %s/%s"
"Switch/Solo/Maestro Only","Switch/Solo/Maestro само"
"Switch/Solo/Maestro(UK Domestic) Only","Само Switch/Solo/Maestro(UK Domestic)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK Domestic) карта номер: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Начална дата на Switch/Solo/Maestro(UK Domestic) карта: %s/%s"
"Synchronize","Синхронизирай"
"Synchronizing...","Синхронизиране..."
"System","Системи"
"Tags","Тагове"
"Target Path","Целеви път"
"Tax","Данък"
"Tb","Тб"
"Template","Шаблон"
"Template Content","Съдържание на шаблон"
"Template Information","Информация за шаблон"
"Template Name","Име на шаблона"
"Template Styles","Стил на шаблона"
"Template Subject","Шаблон тема"
"Template Type","Тип шаблон"
"Temporary (302)","Временно (302)"
"Terms and Conditions","Общи условия"
"Text","Текст"
"The JavaScript/CSS cache has been cleaned.","Кеша на JavaScript и CSS беше изтрит."
"The URL Rewrite has been saved.","Презаписа на URL е записан."
"The archive can be uncompressed with <a href=""%s"">%s</a> on Windows systems","Архивът може да бъде декомпресиран с <a href=""%s"">%s</a> на Windows системи"
"The attribute set has been removed.","Този атрибут е премахнат."
"The credit memo has been canceled.","Кредитното известие е анулирано."
"The image cache was cleaned.","Изчистен е кеша на изображението."
"The invoice has been captured.","The Фактура has been captured."
"The invoice has been created.","The Фактура has been created."
"The invoice has been voided.","The Фактура has been voided."
"The order no longer exists.","Поръчката вече не съществува."
"The shipment has been created.","Превозът е бил създаден."
"This account is","Този профил е"
"This account is inactive.","Този профил е неактивен."
"This action cannot be undone.","Това действи е не може да бъде отменено."
"This attribute shares the same value in all the stores","Този атрибут споделя една и съща стойност във всички магазини"
"This block no longer exists.","Този блок вече не съществува."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Това е демонстрационен магазин. Всички поръчки направени през този магазин няма да бъдат разгледани или изпълнени."
"This is a required field.","Това е задължително поле."
"This section is not allowed.","Тази секция не е позволена."
"This user no longer exists.","Този потребител вече не съществува."
"Time","Време"
"Time selection:","Избор на време:"
"Time:","Време:"
"To","До"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","To use PayPal Payflow Link, you must configure your PayPal Payflow Link потребителски профил on the PayPal website."
"Toggle Editor","Смяна на редактор"
"Tools","Инструменти"
"Top 5 Search Terms","Топ 5 критерия за търсене"
"Total","Общо"
"Total Invoiced","Общо фактурирани"
"Total Order Amount","Сума по общо поръчки"
"Total Refunded","Общо възстановени"
"Track Order","Проследяване на поръчка"
"Track this shipment","Проследяване на тази експедиционна бележка"
"Tracking number %s for %s assigned","Проследяващ номер %s за %s е присъединен"
"Transaction Data","Данни за трансакцията"
"Transaction Details","Детайли на транзакцията"
"Transaction ID","ID на транзакция"
"Transaction Type","Вид транзакция"
"Transactional Emails","Транзакционни имейли"
"Transactions","Транзакции"
"Type","Тип"
"Type:","Тип:"
"URL Rewrite Information","Информация за презапис на URL адреси"
"URL Rewrite Management","Управление за презапис на URL"
"Unable to initialize import model","Невъзможно е инициализирането на модел за импорт"
"Unknown","Непознат"
"Unlimited","Неограничен"
"Update","Обновяване"
"Updated At","Актуализирано на"
"Upload File","Качи файл"
"Upload Files","Качи файлове"
"Upload HTTP Error","HTTP грешка при качване"
"Upload I/O Error","I/O грешка при качване"
"Upload Security Error","Грешка в сигурността при качване"
"Upload import file","Качи на файл за импорт"
"Use All Available Attributes","Използвай всички налични атрибути"
"Use Config Settings","Използвайте Настройки на конфигурацията"
"Use Default","Използвай по подразбиране"
"Use Default Value","Използвай стойността по подразбиране"
"Use Default Variable Values","Използвайте променливи стойности по подразбиране"
"Use FTP Connection","Използвайте FTP връзка"
"Use Website","Използвай уебсайт"
"User Email","Потребителски имейл"
"User ID","ИД на потребител"
"User Info","Информация за потребителя"
"User Information","Информация за потребителя"
"User Name","Потребителско име"
"User Name:","Потребителско име:"
"User Password","Потребителска парола"
"User Role","Потребителска роля"
"User Roles","Потребителски роли"
"User Roles Information","Потребителски роли информация"
"User name","Потребителско име"
"Users","Потребители"
"Validation Results","Резултати от валидация"
"Value","Стойност"
"Value Delimiter:","Разделител на стойности:"
"Variable","Променлива"
"Variable Code","Променлив код"
"Variable HTML Value","Стойност на променливата HTML"
"Variable ID","ИД на променлива"
"Variable Name","Име на променлива"
"Variable Plain Value","Обикновенa променлива стойност"
"View Actions XML","Преглед на XML действия"
"View Full Size","Виж в цял размер"
"View Statistics For:","Показване на статистика за:"
"Visibility:","Видимост:"
"Warning","Предупреждение"
"Warning! Empty value can cause problems with CSV format.","Внимание! Празна стойност може да причини проблеми с CSV формата."
"Watermark File for %s","Файл за воден знак %s"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","Ние сме на работните си места, разработвайки много нови функционалности за OpenMage. Благодарим за вашето търпение."
"Web Services","Уеб услуги"
"Web services","Уеб услуги"
"Website","Уебсайт"
"What is this?","Какво е това?"
"Wishlist Report","Справка за списък с желания"
"YTD","От началото на годината"
"Year","Година"
"Yes","Да"
"Yes (301 Moved Permanently)","Да (301 преместена за постоянно)"
"Yes (302 Found)","Да (302 намерени)"
"Yes (only price with tax)","Да (само цена с данъчни)"
"You cannot delete your own account.","Не можете да изтриете своя профил."
"You have logged out.","Вие излязохте."
"Your answers contain duplicates.","Намерени са дуплицирани стойности във вашите отговори."
"Your password reset link has expired.","Вашият линк за обновяване на паролата е изтекъл."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Настройките на вашето PHP позволяват качването на един път на файлове не по-големи от %s. Моля редактирайте стойностите на post_max_size (с текуща стойност %s) и upload_max_filesize (с текуща стойност %s) в php.ini, при положение, че искате да качвате по-големи файлове."
"Zip/Postal Code","Пощенски код"
"Zip/Postal Code:","Пощенски код:"
"[ deleted ]","[изтрит]"
"[GLOBAL]","[Глобален]"
"[STORE VIEW]","[Изглед Магазин]"
"[WEBSITE]","[Уебсайт]"
"b","б"
"close","затвори"
"critical","критично"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","пример: ""sitemap/"" или ""/"" за базов път (пътят трябва да е с права за писане)"
"example: sitemap.xml","пример: sitemap.xml"
"failed","неуспешен"
"from","от"
"major","важно"
"minor","незначителни"
"notice","известие"
"store(%s) scope","обхват магазин(%s)"
"successful","успешно"
"to","до"
"website(%s) scope","обхват уебсайт(%s)"
