" [deleted]"," [usunięty]"
"Rebuild Flat Catalog Category","Przebuduj płaski katalog kategorii"
"Rebuild Flat Catalog Product","Przebuduj płaski katalog produktów"
"Recent Orders","Ostatnie zamówienia"
"Recent statistics have been updated.","Najnowsze statystyki zostały uaktualnione."
"Recursive Dir","Okresowy katalog"
"Redirect","Przekierowanie"
"Reference ID","ID referencji"
"Refresh","Odśwież"
"Refresh Now*","Odśwież teraz*"
"Refresh Statistics","Odśwież statystyki"
"Region/State","Region/województwo"
"Regular Price:","Normalna cena:"
"Reject","Odrzuć"
"Release","Wydanie"
"Release Stability","Stabilność wydania"
"Release Version","Wersja wydania"
"Reload captcha","Przeładuj captcha"
"Remote FTP","Zdalny FTP"
"Remove","Usuń"
"Reports","Raporty"
"Request Path","Ścieżka polecenia"
"Required","Wymagane"
"Reset","Resetuj"
"Reset Filter","Zresetuj filtr"
"Reset Password","Zresetuj hasło"
"Reset a Password","Zresetuj hasło"
"Resize","Przeskaluj"
"Resource Access","Dostęp do zasobów"
"Resources","Zasoby"
"Results","Rezultaty"
"Retrieve Password","Odzyskaj hasło"
"Return Html Version","Zwróć wersję HTML"
"Revenue","Dochód"
"Reviews","Opinie"
"Reviews and Ratings","Recenzje i oceny"
"Role ID","ID roli"
"Role Info","Informacje o roli"
"Role Information","Informacje o roli"
"Role Name","Nazwa roli"
"Role Resources","Zasoby roli"
"Role Users","Użytkownicy roli"
"Roles","Role"
"Roles Resources","Zasoby ról"
"Root Category","Kategoria bazowa"
"Rotate CCW","Rotuj CCW"
"Rotate CW","Rotuj CW"
"Run","Uruchom"
"Run Profile","Uruchom profil"
"Run Profile Inside This Window","Uruchom profil w tym oknie"
"Running... Kill","W trakcie... Przerwij"
"SKU","<a href=""http://pl.wikipedia.org/wiki/SKU"">SKU</a>"
"SKU:","<a href=""http://pl.wikipedia.org/wiki/SKU"">SKU</a>:"
"SSL Error: Invalid or self-signed certificate","Błąd SSL: Błędny lub podpisany samodzielnie certyfikat"
"Sales","Sprzedaż"
"Sales Report","Raport sprzedaży"
"Samples","Przykłady"
"Save","Zapisz"
"Save & Generate","Zapisz i generuj"
"Save Account","Zapisz konto"
"Save Block","Zapisz blok"
"Save Cache Settings","Zapisz ustawienia cache"
"Save Config","Zapisz konfigurację"
"Save Currency Rates","Zapisz kursy walut"
"Save Profile","Zapisz profil"
"Save Role","Zapisz rolę"
"Save Template","Zapisz szablon"
"Save User","Zapisz użytkownika"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Search","Szukaj"
"Search Index","Indeks wyszukiwania"
"Search Term","Szukana fraza"
"Search Terms","Szukane frazy"
"Search entire store here...","Szukaj w sklepie..."
"Select","Wybierz"
"Select All","Zaznacz wszystko"
"Select Category","Wybierz kategorię"
"Select Date","Wybierz datę"
"Select Range","Wybierz zakres"
"Select date","Wybierz datę"
"Sender","Nadawca"
"Separate Email","Oddzielny e-mail"
"Shipment #%s comment added","Komentarz do dostawy nr %s został dodany"
"Shipment #%s created","Dostawa nr %s została utworzona"
"Shipment Comments","Komentarze do dostawy"
"Shipment History","Historia dostawy"
"Shipments","Dostawy"
"Shipping","Dostawa"
"Shipping Address","Adres wysyłki"
"Shipping Address: ","Adres dla dostawy: "
"Shipping Origin","Pochodzenie dostawy"
"Shipping Price","Cena dostawy"
"Shipping address selection is not applicable","Wybór adresu dostawy jest niepoprawny"
"Shipping method selection is not applicable","Wybór metody dostawy jest niepoprawny."
"Shopping Cart","Koszyk"
"Shopping Cart Price Rules","Reguły cenowe koszyka"
"Shopping Cart from %s","Koszyk od %s"
"Show By","Pokaż wg"
"Show Report For:","Pokaż raport dla:"
"Show Reviews","Pokaż opinie"
"Sitemap Information","Informacja mapy witryny"
"Size for %s","Rozmiar dla %s"
"Skip Category Selection","Pomiń wybór kategorii"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Niektóre produkty w tym zamówieniu mają różne typy faktur i metody dostawy. Możesz utworzyć dostawę dopiero po utworzeniu faktury."
"Sorry, this feature is coming soon...","Niestety, ta funkcjonalność dopiero ma się pojawić..."
"Special Price:","Cena promocyjna:"
"Specific Countries","Wybrane kraje"
"Specified","Wybrane"
"Spreadsheet Name:","Nazwa arkusza:"
"Start Date","Data rozpoczęcia"
"Starting at:","Już od:"
"Starting profile execution, please wait...","Uruchomianie wykonania profilu, proszę czekać..."
"State/Province:","Województwo:"
"Static Blocks","Bloki statyczne"
"Status","Stan"
"Stock Quantity:","Ilość w magazynie:"
"Store","Sklep"
"Store Email Addresses Section","Sekcja sklepowych adresów e-mail"
"Store View","Widok sklepu"
"Store:","Sklep:"
"Stores","Sklepy"
"Subject","Temat"
"Submit","Wyślij"
"Subtotal","Suma częściowa"
"Switch/Solo card issue number: %s","Numer wydania karty Switch/Solo: %s"
"Switch/Solo card start Date: %s/%s","Data początkowa karty Switch/Solo: %s"
"Switch/Solo/Maestro Only","Tylko Switch/Solo/Maestro"
"Switch/Solo/Maestro(UK Domestic) Only","Tylko Switch/Solo/Maestro(lokalne UK)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Numer karty (Issue Number) Switch/Solo/Maestro(lokalne UK): %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Data początkowa Switch/Solo/Maestro(lokalne UK): %s/%s"
"Synchronize","Synchronizuj"
"Synchronizing...","Synchronizacja..."
"System Section","Sekcja system"
"Tags","Tagi"
"Target Path","Ścieżka docelowa"
"Tax","Podatek"
"Template","Szablon"
"Template Content","Zawartość szablonu"
"Template Information","Informacje o szablonie"
"Template Name","Nazwa szablonu"
"Template Styles","Style szablonu"
"Template Subject","Temat szablonu"
"Template Type","Typ szablonu"
"Temporary (302)","Tymczasowe (302)"
"Terms and Conditions","Zasady składania zamówień"
"Text","Tekst"
"The JavaScript/CSS cache has been cleaned.","Cache JavaScript/CSS został wyczyszczony."
"The Magento cache storage has been flushed.","Składowanie cache Magento zostało opróżnione."
"The URL Rewrite has been saved.","Przekierowanie URL zostało zapisane."
"The archive can be uncompressed with <a href=""%s"">%s</a> on Windows systems","Archiwum może zostać rozpakowane przy pomocy <a href=%s"">%s</a> w systemach Windows"""
"The attribute set has been removed.","Zesaw cech został usunięty."
"The credit memo has been canceled.","Faktura korygująca została anulowana."
"The image cache was cleaned.","Cache obrazków został wyczyszczony."
"The invoice has been captured.","Faktura została przechwycona."
"The invoice has been created.","Faktura została utworzona."
"The invoice has been voided.","Faktura została unieważniona."
"The order no longer exists.","To zamówienie już nie istnieje."
"The shipment has been created.","Dostawa została utworzona."
"The transaction details have been updated.","Dane transakcji zostały zaktualizowane."
"There is an error in one of the option rows.","W jednym z rzędów opcji jest błąd."
"This account is","To konto jest"
"This account is inactive.","To konto jest nieaktywne."
"This action cannot be undone.","Ta akcja nie może być cofnięta."
"This attribute shares the same value in all the stores","Ta cecha posiada tą samą wartość we wszystkich sklepach"
"This block no longer exists.","Ten blok już nie istnieje"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","To jest wersja demonstracyjna. Żadne zamówienia nie będą realizowane."
"This is a required field.","To jest wymagane pole."
"This section is not allowed.","Ta sekcja jest niedozwolona."
"This user no longer exists.","Taki użytkownik już nie istnieje"
"Time","Czas"
"Time selection:","Wybór czasu:"
"Time:","Czas:"
"To","Do"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","W celu użycia PayPal Payflow Link, musisz skonfigurować konto PayPal PayFlow Link na stronie PayPal."
"Toggle Editor","Przełącz edytor"
"Tools","Narzędzia"
"Top 5 Search Terms","Top 5 wyszukiwanych fraz"
"Total","Łącznie"
"Total Invoiced","Łącznie zafakturowane"
"Total Order Amount","Łączna liczba zamówień"
"Total Refunded","Łącznie zwrócono"
"Track Order","Śledź zamówienie"
"Track this shipment","Śledź tę przesyłkę"
"Tracking number %s for %s assigned","Kod śledzenia %s dla %s został przyporządkowany"
"Transaction Data","Dane transakcji"
"Transaction Details","Szczegóły transakcji"
"Transaction ID","Identyfikator transakcji"
"Transaction Type","Rodzaj transakcji"
"Transactional Emails","E-maile sprzedażowe"
"Transactions","Transakcje"
"Type","Rodzaj"
"Type:","Rodzaj:"
"URL Rewrite Information","Informacje przekierowania URL"
"URL Rewrite Management","Zarządzanie przekierowaniami URL"
"Unable to initialize import model","Nie można zainicjować modelu importu"
"Unable to save Cron expression","Nie udało się zapisać wyrażenia Cron"
"Unknown","Nieznany"
"Unlimited","Nielimitowany"
"Update","Aktualizuj"
"Updated At","Zaktualizowano"
"Upload File","Załaduj plik"
"Upload Files","Załaduj pliki"
"Upload HTTP Error","Błąd przesyłania HTTP"
"Upload I/O Error","Błąd przesyłania I/O"
"Upload Security Error","Błąd bezpieczeństwa przesyłania"
"Upload import file","Załaduj plik importu"
"Use All Available Attributes","Używaj wszystkich dostępnych cech"
"Use Config Settings","Używaj ustawienia z konfiguracji"
"Use Default","Użyj domyślnych"
"Use Default Value","Użyj wartości domyślnej"
"Use Default Variable Values","Użyj domyślnych wartości zmiennych"
"Use FTP Connection","Użyj połączenia FTP"
"Use Website","Użyj witryny"
"User Email","E-mail użytkownika"
"User ID","ID użytkownika"
"User Info","Info użytkownika"
"User Information","Informacja o użytkowniku"
"User Name","Nazwa użytkownika"
"User Name:","Nazwa użytkownika:"
"User Password","Hasło użytkownika"
"User Role","Rola użytkownika"
"User Roles","Role użytkownika"
"User Roles Information","Informacja o rolach użytkownika"
"User name","Nazwa użytkownika"
"Users","Użytkownicy"
"Validation Results","Rezultat walidacji"
"Value","Wartość"
"Value Delimiter:","Separator wartości"
"Variable","Zmienna"
"Variable Code","Kod zmiennej"
"Variable HTML Value","Wartość HTML zmiennej"
"Variable ID","ID zmiennej"
"Variable Name","Nazwa zmiennej"
"Variable Plain Value","Prosta wartość zemiennej"
"View Actions XML","Zobacz XML operacji"
"View Full Size","Zobacz pełen rozmiar"
"View Statistics For:","Zobacz statystyki dla:"
"Visibility:","Widoczność:"
"Warning","Ostrzeżenie"
"Warning! Empty value can cause problems with CSV format.","Uwaga! Pusta wartość może spowodować problemy z formatem CSV."
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Ostrzeżenie!rnTo działanie usunie użytkownika z już przypisanej rolirnCzy na pewno togo chcesz?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Ostrzeżenie!rnTo działanie usunie tych użytkowników z już przypisanych rólrnCzy na pewno togo chcesz?"
"Watermark File for %s","Plik znaku wodnego dla %s"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","Właśnie jesteśmy w trakcie ulepszania Magento. Dziękujemy za cierpliwość."
"Web Section","Sekcja internetowa"
"Web Services","Usługi sieciowe"
"Web services","Usługi sieciowe"
"Website","Witryna"
"What is this?","Co to jest?"
"Wishlist Report","Raport listy życzeń"
"YTD","Od początku roku"
"Year","Rok"
"Yes","Tak"
"Yes (301 Moved Permanently)","Tak (301 Stałe przekierowanie)"
"Yes (302 Found)","Tak (302 Znaleziono)"
"Yes (only price with tax)","Tak (tylko cena z podatkiem)"
"You cannot delete your own account.","Nie możesz usunąć swojego własnego konta."
"You have logged out.","Wylogowanie zakończone."
"Your answers contain duplicates.","Twoje odpowiedzi zawierają powtórzenia."
"Your password reset link has expired.","Link resetowania hasła utracił ważność."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Twoje ustawienia PHP nie pozwalają na wysłanie więcej niż %s plików na raz. Zmodyfikuj wartości post_max_size (obecnie %s) oraz upload_max_filesize (obecnie %s) w php.ini jeśli chcesz wysyłać większe pliki."
"Zip/Postal Code","Kod pocztowy"
"Zip/Postal Code:","Kod pocztowy"
"[ deleted ]","[ usunięty ]"
"[GLOBAL]","[GLOBALNY]"
"[STORE VIEW]","[WIDOK SKLEPU]"
"[WEBSITE]","[WITRYNA]"
"close","zamknij"
"critical","krytyczny"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","przykład: sitemap/"" lub ""/"" dla ścieżki bazowej (musi mieć prawa do zapisu)"""
"example: sitemap.xml","przykład: sitemap.xml"
"failed","nieudane"
"from","od"
"major","ważne"
"minor","drobne"
"notice","informacja"
"store(%s) scope","zakres sklepu (%s)"
"successful","zakończona pomyślnie"
"to","do"
"website(%s) scope","zakres witryny (%s)"
