"# of Use","# în Uz"
"%1$s incl tax.","%1$s cu taxe"
"%s Item(s)","%s Articol(e)"
"%s and above","%s și peste"
"Reorganize EAV product structure to flat structure","Reorganizați structura produsului EAV pentru planul de structură"
"Reset","Resetați"
"Results","Rezultate"
"Retrieve attribute data","Recuperare date atribut"
"Retrieve attribute list","Recuperare listă atribute"
"Retrieve attribute options","Recuperare opțiuni atribut"
"Retrieve categories tree","Recuperare arbore categorii"
"Retrieve category attributes","Recuperare atribute categorii"
"Retrieve category data","Recuperare date categorie"
"Retrieve hierarchical tree","Recuperare arbore ierarhic"
"Retrieve linked products","Recuperare produse legate"
"Retrieve list of assigned products","Recuperare listă produse atribuite"
"Retrieve list of option values","Recuperare listă valori opțiune"
"Retrieve list of product custom options","Recuperare listă opțiuni personalizate produs"
"Retrieve one level of categories by website/store view/parent category","Recuperare un nivel de categorii dupa categorie site/vitrină/părinte"
"Retrieve option value info","Recuperare informații valoare opțiune"
"Retrieve product","Recuperare produs"
"Retrieve product attribute sets","Recuperare seturi atribute produs"
"Retrieve product image","Recuperare imagine produs"
"Retrieve product image list","Recuperare listă imagini produs"
"Retrieve product image types","Recuperare tipuri imagini produs"
"Retrieve product link type attributes","Recuperare atribute tip legătură produs"
"Retrieve product link types","Recuperare tipuri legături produs"
"Retrieve product tier prices","Recuperare nivele prețuri produs"
"Retrieve product types","Recuperare tipuri produs"
"Retrieve products data","Recuperare date produs"
"Retrieve products list by filters","Recuperare listă produse după filtre"
"Reviews","Comentarii"
"Roll Over for preview","Treceți cu mouse-ul pentru previzualizare"
"Root","Bază"
"SKU","Cod produs"
"SKU length should be %s characters maximum.","Lungime COD trebuie să fie maxim %s caractere."
"Save","Salvare"
"Save Attribute","Salvați atribut"
"Save Attribute Set","Salvare Set Atribute"
"Save Category","Salvare Categorie"
"Save Search","Salvare căutare"
"Save and Continue Edit","Salvați și continuați editarea"
"Saved %d record(s)","%d înregistrări salvate."
"Scope","Domeniu"
"Scope must not be changed, because the attribute is used in configurable products.","Acoperirea nu trebuie schimbată, deoarece atributul e folosit în produse configurabile."
"Search","Căutare"
"Search Engine Optimizations","Optimizări Motoare Căutare"
"Search Information","Informații căutare"
"Search Query","Interogare de căutare"
"Search Term with such search query already exists.","Termenul de Căutare cu această interogare de căutare există deja."
"Search Weight","Căutați greutate"
"Searchable","Căutat"
"See price before order confirmation.","Vizualizare preț înaintea confirmării comenzii."
"Select Category...","Selectați Categorie..."
"Select Configurable Attributes ","Selectare Atribute Configurabile "
"Select Product...","Selectați Produs..."
"Select type of option","Selectare tip opțiune"
"Select type options required values rows.","Selectați tipuri opțiuni solicitate pentru rândurile indicatoare de valoare."
"Selected Product Types","Selectare Tipuri Produs"
"Send Count","Timiteți contor"
"Set Ascending Direction","Setați ascendent"
"Set Descending Direction","Setați descendent"
"Set Name","Setare Nume"
"Set Root Category for Store","Setare Categorie Rădăcină pentru Magazin"
"Set root category for this store in the <a href=""%s"">configuration</a>","Setare categorie rădăcină pentru acest magazin în <a href=""%s"">configurație</a>"
"Set special price","Setare preț special"
"Set/Get current store view","Setare/Obținere vitrina curentă"
"Settings","Setări"
"Share on Twitter","Partajare pe Twitter"
"Shop By","Filtreaza dupa"
"Shopping Options","Opțiuni cumpărare"
"Show","Arată"
"Show Details","Arătare Detalii"
"Show Tags","Arătare Etichete"
"Simple Product","Produs Simplu"
"Site Map","Harta site-ului."
"Sitemap","Harta site-ului"
"Skip import row, is not valid value ""%s"" for field ""%s""","Sărire rând importat, valoare invalidă ""%s"" pentru câmpul ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Sărire rând importat, câmpul necesar ""%s"" pentru client nou nu e definit."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Sărire rând importat, valoarea ""%s"" e invalidă pentru câmpul ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Sărire rând importat, câmpul necesar ""%s"" pentru produse noi nu e definit."
"Skipping import row, required field ""%s"" is not defined.","Sărire rând importat, câmpul necesar ""%s"" nu e definit."
"Skipping import row, store ""%s"" field does not exist.","Sărire rând importat, câmpul de magazin ""%s"" nu există."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Sărire rând importat, valoarea ""%s"" nu e validă pentru câmpul ""%s""."
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Unele dintre produsele procesate nu au valoare COD definită. Completați codul înaintea executării operațiilor pe aceste produse."
"Some of the selected item options are not currently available.","Unele din opțiunile de articol selectate nu sunt disponibile momentan."
"Sort By","Sortați după"
"Sort Order","sortați comanda"
"Source Model","Model Sursă"
"Special Expires On: %s","Special Expiră La: %s"
"Special Price:","Preț Special:"
"Special Price: %s","Preț Special: %s"
"Starting at:","Începând de la:"
"Static block and products","Bloc static și produse"
"Static block only","Doar bloc static"
"Status","Statut"
"Stock Availability","Disponibilitate stoc"
"Store","Magazin"
"Store View","Vizualizare magazin"
"Stretch","extindeți"
"Subscribe to RSS Feed","Abonare la notificări RSS"
"Super product attributes configuration","Configurare atribute super produs"
"Synonym For","Sinonim Cu"
"System Properties","Proprietăți sistem"
"Tag Name","Nume Etichetă"
"Tax","Taxe"
"Template","șablon"
"The From Date value should be less than or equal to the To Date value.","Valoarea Data De La trebuie să fie mai mică sau egală cu valoarea Data Pînă La"
"The attribute model is not defined","Modelul atribut nu e definit."
"The attribute set has been saved.","Setul de atribute a fost salvat."
"The base directory to upload file is not specified.","Directorul de bază pentru încărcare fișiere nu e specificat."
"The category has been deleted.","Categoria a fost ștearsă."
"The category has been saved.","Categoria a fost salvată."
"The comparison list was cleared.","Listă comparație curățată."
"The file '%s' for '%s' has an invalid extension","Fișierul '%s' pentru '%s' are o extensie invalidă"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","Fișierul '%s' încărcat e mai mare de %s Megabytes permiși de server"
"The file you uploaded is larger than %s Megabytes allowed by server","Fișierul încărcat e mai mare de %s Megabytes permiși de server."
"The filters must be an array.","Filtrele trebuie să fie matrice."
"The image contents is not valid base64 data.","Conținutul imaginii nu reprezintă date valide baza64."
"The image is not specified.","Imaginea nu e specificată."
"The model collection resource name is not defined.","Numele resursei colecției model nu e definit."
"The product %s has been added to comparison list.","Produsul %s a fost adăugat la lista de comparație."
"The product %s has been removed from comparison list.","Produsul %s a fost eliminat din lista de comparație."
"The product attribute has been deleted.","Atributul de produs a fost șters."
"The product attribute has been saved.","Atributul de produs a fost salvat."
"The product has been created.","Produsul a fost creat."
"The product has been deleted.","Produsul a fost șters."
"The product has been duplicated.","Produsul a fost duplicat."
"The product has been saved.","Produsul a fost salvat."
"The product has required options","Produsul are opțiunile necesare"
"The review has been deleted","Recenzia a fost ștearsă"
"The review has been saved.","Recenzia a fost creată."
"The review was removed by another user or does not exist.","Recenzia a fost ștearsă de către un alt utilizator sau nu există."
"The search was deleted.","Căutarea a fost ștearsă."
"The text is too long","Textul e prea lung"
"There are no %s available.","Nu există %s disponibile."
"There are no customers for this alert","Nu există clienți pentru această alertă"
"There are no customers for this alert.","Nu există clienți pentru această alertă."
"There are no products matching the selection.","Nu există produse conform criteriilor selectate."
"There was an error while request processing.","A fost o eroare la procesarea cererii."
"This Attribute no longer exists","Acest Atribut nu mai există"
"This attribute cannot be deleted.","Acest atribut nu poate fi șters."
"This attribute cannot be edited.","Acest atribut nu poate fi editat."
"This attribute cannot be updated.","Acest atribut nu poate fi actualizat."
"This attribute is used in configurable products.","Acest atribut este folosit la produsele configurabile."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Acest atribut este folosit la produse configurabile. Nu îl puteți șterge din setul de atribute."
"This attribute no longer exists","Atributul nu mai există"
"This attribute set no longer exists.","Acest set de atribute nu mai există."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Acest grup conține atribute, folosite în produse configurabile. Mutați aceste atribute la un alt grup și reîncercați."
"This group contains system attributes. Please move system attributes to another group and try again.","Acest grup conține atribute de sistem. Mutați atributele de sistem în alt grup și încercați din nou."
"This is a required option","Această opțiune e obligatorie"
"This product no longer exists.","Acest produs nu mai există."
"This search no longer exists.","Această căutare nu mai există."
"This setting will be applied when all prices in the specific price interval are equal.","Această setare va fi pusă în aplicare atunci când toate prețurile dintr-un interval specific de preț sunt egale."
"Tier Pricing","Preț diferențiat"
"Tile","Dală"
"Time Format","Format dată"
"Title","Titlu"
"To reindex the enabled product(s), the store or product must be specified","Pentru a reindexa produsul(ele) activat(e), magazinul sau produsul trebuie specificat."
"To see product price, add this item to your cart. You can always remove it later.","Pentru a vizualiza prețul produsului, adăugați-l în coșul dvs. Puteți să îl eliminați mai târziu."
"Top/Left","Sus/Stânga"
"Top/Right","Sus/Dreapta"
"Total Qty Base Items","Total Cant Articole de Bază"
"Total Qty Content Items","Cant Totală Articole Conținut"
"Total incl. Tax: %1$s","Total cu Taxe: %1$s"
"Total of %d record(s) have been deleted.","Un total de %d înregistrări au fost șterse."
"Total of %d record(s) have been updated.","Un total de %d înregistrări au fost actualizate."
"Total of %d record(s) were updated","Un total de %d înregistrări au fost actualizate"
"Type","Tip"
"URL Rewrite Management","Gestionare Rescriere URL"
"Unable to complete this request.","Nu se poate finaliza cererea."
"Unable to find a search term to delete.","Nu se poate găsi termenul de căutare de șters."
"Unable to find an attribute to delete.","Nu se poate găsi atributul de șters."
"Unable to get the product ID.","Nu se poate obține ID produs."
"Unassigned Attributes","Atribute nealocate"
"Unknown EAV indexer type ""%s"".","Tip indexor EAV necunoscut ""%s""."
"Unknown attribute: %s.","Atribut necunoscut: %s"
"Unsupported product type ""%s"".","Tip produs nesuportat ""%s""."
"Up-sells","Up-selling"
"Update","Actualizare"
"Update Attributes","Actualizați atribute"
"Update Tier Price","Actualizare Nivel Preț"
"Update assigned product","Actualizare produs atribuit"
"Update attribute","Actualizare atribut"
"Update attributes","Actualizare atribute"
"Update category","Actualizare categorie"
"Update custom option of product","Actualizare opțiune personalizată produs"
"Update product","Actualizare produs"
"Update product image","Actualizare imagine produs"
"Update product link","Actualizare legătură produs"
"Update product tier prices","Actualizare nivel preț produs"
"Update value of custom option","Actualizare valoare opțiune personalizată"
"Upload new product image ","Încărcare imagine produs nouă "
"Use Canonical Link Meta Tag For Categories","Utilizați Meta Etichetă Link Canonic prentru Categorii"
"Use Canonical Link Meta Tag For Products","Utilizați Meta Etichetă Link Canonic prentru Produse"
"Use Categories Path for Product URLs","Utilizare Cale Categorie pentru URL-uri Produse"
"Use Config Settings","Folosiți setări de configurare"
"Use Default Value","Folosiți valoare implicită"
"Use Flat Catalog Category","Utilizați Plan Categorie Catalog"
"Use Flat Catalog Product","Utilizați Plan Produs Catalog"
"Use In Layered Navigation","Utilizare în Navigația Stratificată"
"Use In Search Results Layered Navigation","Utilizare în Rezultate Căutare Navigație Stratificată"
"Use JavaScript Calendar","Utilizați Calendar JavaScript"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Utilizare URL-uri Statice pentru Conținutul Media în WYSIWYG pentru Catalog"
"Use To Create Configurable Product","Utilizare la Creare Produs Configurabil"
"Use Tree Like Category Sitemap","Utilizare Hartă Site Categorie tip Arbore"
"Use config","Folosește configurație"
"Use default","Folosire implicit"
"Use for Promo Rule Conditions","Folosiți pentru condițiile regulii de reclamă"
"Use four-digit year format.","Utilizare format an de patru cifre."
"Use in Advanced Search","Utilizare în Căutarea Avansată"
"Use in Layered Navigation","Folosiți la navigarea stratificată"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Utilizare în Navigația Stratificată<br/>(se poate folosi doar cu tipul 'Dropdown')"
"Use in Quick Search","Utilizare în Căutarea Rapidă"
"Used for Sorting in Product Listing","Folosit pentru sortare în listarea produselor"
"Used in Product Listing","Folosit în listarea produsului"
"Value for ""%s"" is invalid.","Valoarea pentru ""%s"" e invalidă."
"Value for ""%s"" is invalid: %s","Valoarea pentru ""%s"" e invalidă: %s"
"View Details","Vezi Detalii"
"View as","Vizualizează ca"
"Virtual Product","Produs Virtual"
"Visibility","Vizibilitate"
"Visible","Vizibil"
"Visible on Catalog Pages on Front-end","Vizibil în Pagini Catalog pe Front-end"
"Visible on Product View Page on Front-end","Vizibil în Pagina Vizualizare Produs pe Front-end"
"WYSIWYG Editor","Editor WYSIWYG"
"Watermark Default Size","Dimensiune Implicită Watermark"
"Watermark Opacity, Percent","Opacitate Watermark, Procente"
"Watermark Position","Poziție Watermark"
"We Also Recommend","Vă Recomandăm Și"
"Website","Site"
"Website Item Must be checked","Articolul Magazin trebuie bifat"
"Website Store Must be checked","Vitrina trebuie bifată"
"Websites","Website-uri"
"What's this?","Ce este aceasta?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Dacă să fie afișată sau nu opțiunea ""Toate"" în dropdown-ul ""Afișare X Per Pagină""."
"Will make search for the query above return results for this search.","Va face căutarea pentru interogarea de mai sus să returneze rezultate pentru această căutare."
"Wrong BuyRequest instance in options group.","Instanță BuyRequest greșită în grup opțiuni."
"Wrong configuration item instance in options group.","Instanță articol configurare greșită în grup opțiuni."
"Wrong configuration item option instance in options group.","Instanță opțiune articol configurare greșită în grup opțiuni."
"Wrong option instance type in options group.","Tip instanță opțiune greșit în grup opțiuni."
"Wrong option type to get group instance.","Tip opțiune greșit pentru obținerea instanței de grup."
"Wrong product instance type in options group.","Tip instanță produs greșit în grup opțiuni."
"Wrong product type filter specified","Filtru tip produs specificat greșit"
"Wrong product type to extract configurable options.","Tip produs greșit pentru extragerea opțiunilor configurabile."
"Year Range","Interval Ani"
"Yes","Da"
"You cannot remove system attribute from this set.","Nu puteți șterge atributul sistem din acest set."
"You have no items to compare.","Nu există produse adăugate pentru comparare."
"You may also be interested in the following product(s)","S-ar putea să fiți interesat și de următoarele produse:"
"You saved the search term.","Ați salvat termenul de căutare."
"Zoom In","Mărire"
"Zoom Out","Micșorare"
"and","și"
"and above","si deasupra"
"categories","Categorii"
"each","fiecare"
"ex. http://domain.com","ex. http://domeniu.com"
"leave blank if its not an image","lăsați liber dacă nu e imagine"
"per page","pe pagină"
"products","Produse"
"save","salvare"
"select all","selectare toate"
"unselect all","Deselectați toate"
