"* Required Fields","*අවශ්‍ය ක්ෂේත්‍ර"
"Time","කාලය"
"To","වෙත"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","PayPal Payflow Link භාවිතා කිරීමට, ඔබ PayPal වෙබ් අඩවියේ ඔබේ PayPal Payflow Link ගිණුම වින්‍යාසගත කළ යුතුය."
"Tools","මෙවලම්"
"Total","සමස්ත"
"Total Invoiced","මුළු ඉන්වොයිසිය"
"Total Refunded","සම්පූර්ණ ආපසු ගෙවන ලදී"
"Track Order","ඇණවුම නිරීක්ෂණය කරන්න"
"Track this shipment","මෙම නැව්ගත කිරීම නිරීක්ෂණය කරන්න"
"Transaction Data","ගනුදෙනු දත්ත"
"Transaction Details","ගනුදෙනු විස්තර"
"Transaction ID","ගනුදෙනු හැඳුනුම්පත"
"Transaction Type","ගනුදෙනු වර්ගය"
"Transactional Emails","ගනුදෙනු ඊමේල්"
"Transactions","ගනුදෙනු"
"Type","ටයිප් කරන්න"
"Type:","වර්ගය:"
"URL Rewrite Information","URL නැවත ලියන්න තොරතුරු"
"URL Rewrite Management","URL නැවත ලිවීමේ කළමනාකරණය"
"Unknown","නොදන්නා"
"Unlimited","අසීමිතයි"
"Update","යාවත්කාලීන කරන්න"
"Updated At","දී යාවත්කාලීන කරන ලදී"
"Upload File","ගොනුව උඩුගත කරන්න"
"Upload Files","ගොනු උඩුගත කරන්න"
"Use All Available Attributes","පවතින සියලුම ගුණාංග භාවිතා කරන්න"
"Use Config Settings","වින්‍යාස සැකසුම් භාවිතා කරන්න"
"Use Default","පෙරනිමි භාවිතාකරන්න"
"Use Default Value","පෙරනිමි අගය භාවිතා කරන්න"
"Use FTP Connection","FTP සම්බන්ධතාවය භාවිතා කරන්න"
"Use Website","වෙබ් අඩවිය භාවිතා කරන්න"
"User Email","පරිශීලක ඊමේල්"
"User ID","පරිශීලක ID"
"User Info","පරිශීලක තොරතුරු"
"User Information","පරිශීලක තොරතුරු"
"User Name","පරිශීලක නාමය"
"User Password","පරිශීලක මුරපදය"
"User Role","පරිශීලක භූමිකාව"
"User Roles","පරිශීලක භූමිකාවන්"
"User Roles Information","පරිශීලක භූමිකාවන් තොරතුරු"
"Users","පරිශීලකයන්"
"Validation Results","වලංගු කිරීමේ ප්රතිඵල"
"Value","වටිනාකම"
"Variable","විචල්ය"
"View Full Size","සම්පූර්ණ ප්‍රමාණය බලන්න"
"View Statistics For:","සඳහා සංඛ්‍යාලේඛන බලන්න:"
"Warning","අවවාදයයි"
"Website","වෙබ් අඩවිය"
"What is this?","මේ කුමක් ද?"
"Year","අවුරුදු"
"Yes","ඔව්"
"Yes (301 Moved Permanently)","ඔව් (301 ස්ථිරව ගෙන ගියා)"
"Yes (302 Found)","ඔව් (302 හමු විය)"
"Yes (only price with tax)","ඔව් (බදු සහිත මිල පමණි)"
"You cannot delete your own account.","ඔබට ඔබේම ගිණුම මකා දැමිය නොහැක."
"You have logged out.","ඔබ ලොග් අවුට් වී ඇත."
"Your password reset link has expired.","ඔබගේ මුරපද යළි පිහිටුවීමේ සබැඳිය කල් ඉකුත් වී ඇත."
"Zip/Postal Code","සිප් / තැපැල් කේතය"
"[ deleted ]","[මකා දැමූ]"
"[STORE VIEW]","[ගබඩා දසුන]"
"close","සමීප"
"critical","විවේචනාත්මක"
"example: sitemap.xml","උදාහරණයක්: sitemap.xml"
"failed","අසාර්ථක විය"
"from","සිට"
"major","ප්රධාන"
"minor","සුළු"
"notice","දැනුම්දීම"
"successful","සාර්ථක"
"to","වෙත"
