" [deleted]"," [verwijderd]"
"Sales Report","Verkooprapport"
"Samples","Demo's"
"Save","Opslaan"
"Save & Generate","Opslaan & genereren"
"Save Account","Account opslaan"
"Save Block","Blok opslaan"
"Save Cache Settings","Cache-instellingen opslaan"
"Save Config","Configuratie opslaan"
"Save Currency Rates","Wisselkoersen opslaan"
"Save Profile","Profiel opslaan"
"Save Role","Rol opslaan"
"Save Template","Sjabloon Opslaan"
"Save User","Gebruiker opslaan"
"Save and Continue Edit","Opslaan en doorgaan met bewerken"
"Search","Zoek"
"Search Index","Zoekindex"
"Search Term","Zoekterm"
"Search Terms","Zoektermen"
"Search entire store here...","Doorzoek de hele winkel"
"Select","Selecteer"
"Select All","Alles selecteren"
"Select Category","selecteer categorie"
"Select Date","Datum selecteren"
"Select Range","Selecteer bereik op"
"Select date","Datum selecteren"
"Sender","Afzender"
"Separate Email","Afzonderlijke e-mail"
"Shipment #%s comment added","Notitie toegevoegd aan levering #%s"
"Shipment #%s created","Levering #%s aangemaakt"
"Shipment Comments","Opmerkingen verzending"
"Shipment History","Levering Geschiedenis"
"Shipments","Verzendingen"
"Shipping","Aflevering"
"Shipping Address","Bezorgadres"
"Shipping Address: ","Afleveradres: "
"Shipping Origin","Plaats van verzending"
"Shipping Price","Verzendkosten"
"Shipping address selection is not applicable","Keuze van afleveradres is niet toepasbaar"
"Shipping method selection is not applicable","Gekozen verzendwijze is niet toepasbaar"
"Shopping Cart","Winkelwagen"
"Shopping Cart Price Rules","Winkelwagen prijsregels"
"Shopping Cart from %s","Winkelwagen van %s"
"Show By","Tonen op"
"Show Report For:","Toon rapport voor:"
"Show Reviews","Beoordelingen tonen"
"Sitemap Information","Sitemap-informatie"
"Size for %s","Grootte voor %s"
"Skip Category Selection","Categorieselectie overslaan"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Sommige bestelde producten hebben afwijkende factuur- en verzendgegevens. U kunt pas een zending aanmaken nadat u hebt gefactureerd."
"Sorry, this feature is coming soon...","Sorry, deze functie komt spoedig..."
"Special Price:","Speciale prijs:"
"Specific Countries","Bepaalde landen"
"Specified","Gespecificeerd"
"Spreadsheet Name:","Spreadsheetnaam:"
"Start Date","Begindatum"
"Starting at:","Beginnend op:"
"Starting profile execution, please wait...","Begin uitvoeren van profiel, wacht a.u.b..."
"State/Province:","Provincie:"
"Static Blocks","Statische blokken"
"Status","status"
"Status:","Status"
"Stock Quantity:","Voorraadhoeveelheid:"
"Store","Winkel"
"Store View","Winkelaanzicht"
"Store:","Winkel:"
"Stores","Winkels"
"Subject","Onderwerp"
"Submit","Verstuur"
"Subtotal","Subtotaal"
"Switch/Solo card issue number: %s","Switch/Solo card nummer: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo kaart begindatum: %s/%s"
"Switch/Solo/Maestro Only","Uitsluitend Switch/Solo/Maestro"
"Switch/Solo/Maestro(UK Domestic) Only","Enkel Switch/Solo/Maestro(UK binnenland)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK binnenland) kaart nummer: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(UK binnenland) kaart begindatum: %s/%s"
"Synchronize","Synchroniseren"
"Synchronizing...","Synchroniseren..."
"System","Systeem"
"Tags","tags"
"Target Path","Doelpad"
"Tax","BTW"
"Template","Sjabloon"
"Template Content","Template inhoud"
"Template Information","Template informatie"
"Template Name","Template naam"
"Template Styles","Template Stijl"
"Template Subject","Template onderwerp"
"Template Type","Template soort"
"Temporary (302)","Tijdelijk (302)"
"Terms and Conditions","Algemene Voorwaarden"
"Text","Tekst"
"The JavaScript/CSS cache has been cleaned.","Het JavaScript/CSS cachegeheugen werd opgeschoond."
"The OpenMage cache storage has been flushed.","De OpenMage-cacheopslag is leeg gemaakt."
"The URL Rewrite has been saved.","De URL Rewrite is opgeslagen."
"The archive can be uncompressed with <a href=""%s"">%s</a> on Windows systems","Het archief kan uitgepakt worden met <a href=""%s"">%s</a> op Windows systemen."
"The attribute set has been removed.","De attribuutset is verwijderd"
"The credit memo has been canceled.","De creditfactuur is geannuleerd."
"The image cache was cleaned.","Het afbeeldingen cachegeheugen werd opgeschoond."
"The invoice has been captured.","De factuur is betaald"
"The invoice has been created.","De factuur is aangemaakt"
"The invoice has been voided.","De factuur is ongeldig"
"The order no longer exists.","De order bestaat niet langer."
"The shipment has been created.","De verzending werd aangemaakt."
"The transaction details have been updated.","De transactie-details zijn bijgewerkt."
"There is an error in one of the option rows.","Er is een fout opgetreden in één van de optierijen."
"This account is","Dit account is"
"This action cannot be undone.","Deze actie kan niet ongedaan gemaakt worden."
"This attribute shares the same value in all the stores","Dit attribuut heeft dezelfde waarde in alle winkels"
"This block no longer exists.","Dit blok bestaat niet langer meer"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Dit is een demo-winkel. Een geplaatste bestelling zal niet worden verwerkt."
"This is a required field.","Dit is een verplicht veld."
"This section is not allowed.","Deze sectie is niet toeganglijk."
"This user no longer exists.","Deze gebruiker bestaat niet meer."
"Time","Tijd"
"Time selection:","Tijdkeuze:"
"Time:","Tijd"
"To","Tot"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","Om de PayPal Payflow Link te gebruiken moet u deze configureren op de PayPal website."
"Toggle Editor","Editor gebruiken"
"Tools","Instellingen"
"Top 5 Search Terms","Top 5 zoektermen"
"Total","Totaal"
"Total Invoiced","Totaal gefactureerd"
"Total Order Amount","Totaal orderbedrag"
"Total Refunded","Totaal terugbetaald"
"Track Order","Volg bestelling"
"Track this shipment","Traceer deze bestelling"
"Tracking number %s for %s assigned","Volgnummer %s voor %s is toegewezen"
"Transaction Data","Transactiedatum"
"Transaction Details","Transactiedetails"
"Transaction ID","Transactie-ID"
"Transaction Type","Transactietype"
"Transactional Emails","Transactionele e-mails"
"Transactions","Transacties"
"Type","Soort"
"Type:","Soort:"
"URL Rewrite Information","URL-herschrijving informatie"
"URL Rewrite Management","URL-herschrijf beheer"
"Unable to initialize import model","Kan geen import-model initialiseren"
"Unable to save Cron expression","Kan Cron-expressie niet opslaan"
"Unknown","Onbekend"
"Unlimited","Onbeperkt"
"Update","Bijwerken"
"Updated At","Bijgewerkt op"
"Upload File","Bestand uploaden"
"Upload Files","Bestanden uploaden"
"Upload HTTP Error","Upload HTTP fout"
"Upload I/O Error","Upload I/O fout"
"Upload Security Error","Upload veiligheidsfout"
"Upload import file","Importbestand uploaden"
"Use All Available Attributes","Gebruik alle beschikbare attributen"
"Use Config Settings","Gebruik configuratiewaarden"
"Use Default","Gebruik standaard"
"Use Default Value","Gebruik standaard waarde"
"Use Default Variable Values","Standaard waarde van variabele gebruiken"
"Use FTP Connection","Gebruik FTP-verbinding"
"Use Website","Website gebruiken"
"User Email","E-mail van gebruiker"
"User ID","Gebruiker-ID"
"User Info","Gebruikerinfo"
"User Information","Gebruikergegevens"
"User Name","Gebruikersnaam"
"User Name:","Gebruikersnaam:"
"User Password","Gebruikerswachtwoord"
"User Role","Rol van gebruiker"
"User Roles","Gebruikersrollen"
"User Roles Information","Rolgegevens gebruiker"
"User name","Gebruikersnaam"
"Users","Gebruikers"
"Validation Results","Validatieresultaten"
"Value","Waarde"
"Value Delimiter:","Waarde-scheidingsteken:"
"Variable","Variabel"
"Variable Code","Variabele Code"
"Variable HTML Value","Variabele HTML-waarde"
"Variable ID","Variabele ID"
"Variable Name","Variabele Naam"
"Variable Plain Value","Variabele platte waarde"
"View Actions XML","Bekijk acties XML"
"View Full Size","Bekijk op ware grootte"
"View Statistics For:","Bekijk statistieken voor:"
"Visibility:","Zichtbaarheid"
"Warning","Waarschuwing"
"Warning! Empty value can cause problems with CSV format.","LET OP! Lege waarde kan problemen veroorzaken met het CSV-formaat."
"Watermark File for %s","Watermerk-bestand voor %s"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","We zijn terug naar de tekentafel voor meer functies in OpenMage. Dank voor uw geduld."
"What is this?","Wat is dit?"
"Wishlist Report","Verlanglijst-rapport"
"YTD","Vanaf begin dit jaar"
"Year","Jaar"
"Yes","Ja"
"Yes (301 Moved Permanently)","Ja (301 Permanent verplaatst)"
"Yes (302 Found)","Ja (302 gevonden)"
"Yes (only price with tax)","Ja (alleen prijzen incl. BTW)"
"You cannot delete your own account.","U kan niet uw eigen account verwijderen"
"You have logged out.","U bent afgemeld."
"Your answers contain duplicates.","Uw antwoord bevat duplicaten."
"Your password reset link has expired.","Uw wachtwoord-reset-link is verlopen"
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","De PHP-instellingen van uw server staan niet toe om files  te uploaden die groter zijn dan %s. Wijzig de waarden van post_max_size (nu %s) en upload_max_filesize (nu %s) in php.ini als u grotere files wilt uploaden."
"Zip/Postal Code","Postcode"
"Zip/Postal Code:","Postcode:"
"[ deleted ]","[ verwijderd ]"
"[GLOBAL]","[GLOBAAL]"
"[STORE VIEW]","[WINKELWEERGAVE]"
"close","Sluiten"
"critical","kritisch"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","voorbeeld: ""sitemap/"" of ""/"" voor basispad. (Pad moet schrijfbaar zijn.)"
"example: sitemap.xml","voorbeeld: sitemap.xml"
"failed","mislukt"
"from","van"
"major","belangrijk"
"minor","gering"
"notice","melding"
"store(%s) scope","Scope winkel (%s)"
"successful","geslaagd"
"to","naar"
"website(%s) scope","Scope website(%s)"
