"# of Use","# שימוש"
"%1$s incl tax.","%1$s כולל מס."
"%s Item(s)","%s מוצר(ים)"
"(Copy data from: %s)","(העתק נתונים מ: %s)"
"and above","ומעלה"
"categories","קטגוריות"
"each","כל אחד"
"ex. http://domain.com","לדוגמא http://domain.com"
"leave blank if its not an image","השאר ריק אם לא תמונה"
"per page","לכל עמוד"
"products","מוצרים"
"px.","פיקסלים."
"save","שמור"
"select all","בחר הכל"
"unselect all","בטל בחירה של הכל"
