" [deleted]"," [נמחק]"
"SKU:","מקט:"
"SSL Error: Invalid or self-signed certificate"," טעות SSL : לא חוקי או אישור תעודה עצמאי "
"Sales","מכירות"
"Sales Report","דו""חות מכירות"
"Samples","דגימות"
"Save","שמור"
"Save & Generate","שמור וצור"
"Save Account","שמירת חשבון"
"Save Block","שמור בלוק"
"Save Cache Settings","שמירת הגדרות Cache"
"Save Config","לשמור את ההגדרות"
"Save Currency Rates","לשמור את שערי החליפין"
"Save Profile","שמור פרופיל"
"Save Role","שמור תפקיד"
"Save Template","שמירת תבנית"
"Save User","שמור משתמש"
"Save and Continue Edit","שמור והמשך בעריכה"
"Search","חפש"
"Search Index","אינדקס חיפוש"
"Search Term","תנאי חיפוש"
"Search Terms","מילות חיפוש"
"Search entire store here...","חיפוש בכל החנות..."
"Select","בחירה"
"Select All","בחר הכל"
"Select Category","בחר קטגוריה"
"Select Date","בחר תאריך"
"Select Range","בחר טווח"
"Select date","בחר תאריך"
"Sender","שולח"
"Separate Email","הפרדת דואר אלקטרוני"
"Shipment #%s comment added","הערה למשלוח #%s נוספה"
"Shipment #%s created","משלוח #%s נוצר"
"Shipment Comments","הערות משלוח"
"Shipment History","היסטוריית משלוחים"
"Shipments","משלוחים"
"Shipping","משלוח"
"Shipping Address","כתובת למשלוח"
"Shipping Price","מחיר משלוח"
"Shipping address selection is not applicable","בחירת כתובת משלוח לא ישימה."
"Shipping method selection is not applicable","שיטת משלוח לא ישימה."
"Shopping Cart","עגלת קניות"
"Shopping Cart Price Rules","עגלת קניות - חוקי מחיר"
"Shopping Cart from %s","עגלת קניות מ %s"
"Show By","הצג לפי"
"Show Report For:","הצגת דו""ח עבור:"
"Show Reviews","הצגת ביקורות"
"Sitemap Information","מידע עבור מפת אתר"
"Size for %s","גודל עבור %s"
"Skip Category Selection","דלג על בחירת קטגוריה"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","פריטים מסוימים בהזמנה בעלי חשבוניות  וסוג משלוח שונה. אתה יכול ליצור משלוח רק לאחר יצירת חשבונית. "
"Sorry, this feature is coming soon...","מצטערים, הפיטשר הזה יגיע בקרוב...."
"Special Price:","מחיר מבצע:"
"Specific Countries","מדינות מסוימות"
"Specified","צוין"
"Spreadsheet Name:","שם חוברת עבודה:"
"Start Date","תאריך התחלה"
"Starting at:","מתחיל ב:"
"Starting profile execution, please wait...","מתחיל בביצוע הפרופיל, אנא המתן..."
"State/Province:","מדינה/מחוז:"
"Static Blocks","בלוקים סטטים"
"Status","סטטוס"
"Status:","מצב:"
"Stock Quantity:","כמות מלאי:"
"Store","חנות"
"Store View","תצוגת חנות"
"Store:","חנות:"
"Stores","חנויות"
"Subject","נושא"
"Submit","שליחה"
"Subtotal","סכום ביניים"
"Switch/Solo card issue number: %s"," מספר כרטיס Switch/Solo : %s"
"Switch/Solo card start Date: %s/%s","תאריך פתיחת כרטיס Switch/Solo : %s/%s"
"Switch/Solo/Maestro Only","החלפה/סולו/מאסטרו בלבד"
"Switch/Solo/Maestro(UK Domestic) Only","Switch/Solo/Maestro(UK Domestic) רק"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK Domestic) מספר כרטיס: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(UK Domestic) תאריך פתיחת כרטיס: %s/%s"
"Synchronize","סינכון"
"Synchronizing...","מסנכרן..."
"System","מערכת"
"Tags","תגיות"
"Target Path","נתיב היעד"
"Tax","מס"
"Template","תבנית"
"Template Content","תוכן התבנית"
"Template Information","מידע אודות התבנית"
"Template Name","שם תבנית"
"Template Styles","סטייל תבנית"
"Template Subject","נושא תבנית"
"Template Type","סוג התבנית"
"Temporary (302)","זמני (302)"
"Terms and Conditions","תנאי שימוש"
"Text","טקסט"
"The JavaScript/CSS cache has been cleaned.","הChace של ה JavaScript/CSS נוקה."
"The OpenMage cache storage has been flushed.","הcache של מג'נטו נוקה."
"The URL Rewrite has been saved.","הכתובת לשכתוב נשמרה."
"The archive can be uncompressed with <a href=""%s"">%s</a> on Windows systems","ניתן לבטל דחיסה של הארכיון   <a href=""%s"">%s</a> במערכת Windows"
"The attribute set has been removed.","קבוצת התכונות הוסרה."
"The image cache was cleaned.","נוקה Cache של תמונה."
"The order no longer exists.","ההזמנה כבר לא קיימת."
"The shipment has been created.","המשלוח נוצר."
"This account is","חשבון זה"
"This account is inactive.","חשבון זה לא פעיל."
"This action cannot be undone.","פעולה זו לא ניתנת לביטול."
"This attribute shares the same value in all the stores","למאפיין זה ערך זהה בכל החנויות"
"This block no longer exists.","הבלוק הזה לא קיים עוד."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","זוהי חנות לדוגמא. הזמנות דרך החנות לא ימומשו בפועל."
"This is a required field.","שדה זה הוא חובה."
"This section is not allowed.","אזור זה חסום."
"This user no longer exists.","משתמש זה כבר לא קיים."
"Time","זמן"
"Time selection:","בחירת זמן:"
"Time:","זמן:"
"To","ל-"
"Toggle Editor","החלף מצב עריכה"
"Tools","כלים"
"Top 5 Search Terms","5 מונחי חיפוש מובילים"
"Total","סה""כ"
"Total Invoiced","סה""כ בחשבונית"
"Total Order Amount","סה""כ כמות מוזמנת"
"Total Refunded","סה""כ הוחזר"
"Track Order","מעקב הזמנה"
"Track this shipment","עקוב אחר המשלוח"
"Tracking number %s for %s assigned","מספר איתור %s עבור %s שוייך/נרשם"
"Transaction ID","מספר העברה"
"Transaction Type","סוג טרנזקציה"
"Transactional Emails","מיילים של עסקאות"
"Transactions","טרנזקציות"
"Type","סוג"
"Type:","סוג:"
"URL Rewrite Information","מידע אודות כתובת לשכתוב"
"URL Rewrite Management","ניהול כתובת לשכתוב"
"Unable to initialize import model","לא יכול להתחיל את מודול הייבוא"
"Unknown","לא ידועה"
"Unlimited","בלתי מוגבל"
"Update","עדכן"
"Updated At","עודכן ב"
"Upload File","העלה קובץ"
"Upload Files","העלאת קבצים"
"Upload HTTP Error","שגיאה בהעלאת HTTP"
"Upload I/O Error","שגיאה בהעלאת  I/O "
"Upload Security Error","העלאה  של שגיאת אבטחה"
"Upload import file","העלה קובץ ייבוא"
"Use All Available Attributes","השתמש בכל התכונות הקיימות"
"Use Config Settings","השתמש בהגדרות הראשיות"
"Use Default","השתמש בברירת מחדל"
"Use Default Value","השתמש בערך ברירת המחדל"
"Use Default Variable Values","השתמש בערכי ברירת המחדל של משתנה"
"Use FTP Connection","השתמש בחיבור FTP"
"Use Website","השתמש באתר"
"User Email","דוא״ל של משתמש"
"User ID","מזהה משתמש"
"User Info","פרטי משתמש"
"User Information","פרטי משתמש"
"User Name","שם משתמש"
"User Name:","שם משתמש:"
"User Password","סיסמת משתמש"
"User Role","תפקיד משתמש"
"User Roles","תפקיד משתמש"
"User Roles Information","מידע אודות תפקידי המשתמש"
"User name","שם משתמש"
"Users","משתמשים"
"Value","ערך"
"Value Delimiter:","ערך תוחם:"
"Variable","משתנה"
"Variable Code","קוד משתנה"
"Variable HTML Value","ערך ה-HTML של המשתנה"
"Variable ID","מספר מזהה של משתנה"
"Variable Name","שם משתנה"
"Variable Plain Value","ערך משתנה פשוט"
"View Actions XML","הצג בפעולות XML"
"View Full Size","תצוגה בגודל מלא"
"View Statistics For:","להציג נתונים סטטיסטיים עבור:"
"Visibility:","גלוי:"
"Warning","אזהרה"
"Warning! Empty value can cause problems with CSV format.","אזהרה! ערך ריק יכול לגרום לבעיות עם פורמט CSV"
"Watermark File for %s","קובץ סימן מים עבור %s"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","אנחנו מבצעים שדרוגים ותכנות של מאפיינים נוספים עבור OpenMage, תודה לך על הסבלנות."
"Web Services","שירותי רשת"
"Web services","שירותי רשת"
"Website","אתר"
"What is this?","מה זה?"
"Wishlist Report","דוח רשימת החלומות"
"YTD","שנה אחת"
"Year","שנה"
"Yes","כן"
"Yes (301 Moved Permanently)","כן (301 הועבר לצמיתות)"
"Yes (302 Found)","כן (נמצא 302)"
"Yes (only price with tax)","כן (רק מחיר עם מס)"
"You cannot delete your own account.","אין באפשרותך למחוק את החשבון שלך."
"You have logged out.","התנתקת."
"Your answers contain duplicates.","התשובה שלך מכילה כפילויות."
"Your password reset link has expired.","הקישור איפוס הסיסמה פג."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","הגדרות  PHP של השרת מאפשרות לך להעלות לא יותר מ %s  קבצים בכל פעם. התאם את הערכים של  post_max_size (כרגע  %s) ואת upload_max_filesize (כרגע %s)  בקובץ php.ini  אם אתה רוצה להעלות יותר קבצים בכל פעם."
"Zip/Postal Code","מיקוד"
"Zip/Postal Code:","מיקוד/ת.ד.:"
"[ deleted ]","[נמחק]"
"[GLOBAL]","[גלובלי]"
"[STORE VIEW]","[תצוגת חנות]"
"[WEBSITE]","[אתר]"
"close","סגור"
"critical","קריטי"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","לדוגמא : ""sitemap/"" או ""/"" לנתיב בסיסי (path חייב להיות ניתן לשכתוב)"
"example: sitemap.xml","דוגמה: sitemap. xml"
"failed","נכשל"
"from","מ-"
"major","משמעותי"
"minor","מינורי"
"notice","שים לב"
"store(%s) scope","חנות(%s) טווח/תחום"
"successful","עבר בהצלחה"
"to","אל"
"website(%s) scope","אתר(%s) תחום/טווח"
