" [deleted]"," [odstraněno]"
"Shipping","Přepravné"
"Shipping Address","Doručovací adresa"
"Shipping Address: ","Doručovací adresa: "
"Shipping Origin","Původ zásilky"
"Shipping Price","Ceny dopravy"
"Shipping address selection is not applicable","Vybraná adresa doručení není použitelná"
"Shipping method selection is not applicable","Vybraná metoda doručení není použitelná"
"Shopping Cart","Nákupní košík"
"Shopping Cart Price Rules","Pravidla cen pro nákupní košík"
"Shopping Cart from %s","Nákupní košík od %s"
"Show By","Zobrazit podle"
"Show Report For:","Zobrazit přehled pro:"
"Show Reviews","Zobrazit recenze"
"Sitemap Information","Údaje mapy stránek"
"Size for %s","Velikost pro %s"
"Skip Category Selection","Přeskočit výběr kategorie"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Některé z položek v této objednávce má rozdílnou fakturu a způsob doručení. Zásilku můžete vyrobit až po vystavení faktury."
"Sorry, this feature is coming soon...","Omlouváme se, tato funkce bude teprve dodělána..."
"Special Price:","Zvláštní cena:"
"Specific Countries","Konkrétní země"
"Specified","Zadáno"
"Spreadsheet Name:","Jméno sešitu:"
"Start Date","Začátek"
"Starting at:","Začít v:"
"Starting profile execution, please wait...","Spouštím profil, prosím čekejte..."
"State/Province:","Kraj/Region:"
"Static Blocks","Statické bloky"
"Status","Stav"
"Status:","Stav:"
"Stock Quantity:","Množství na skladu:"
"Store","Obchod"
"Store View","Zobrazení obchodu"
"Store:","Obchod:"
"Stores","Obchody"
"Subject","Předmět"
"Submit","Odeslat"
"Subtotal","Mezisoučet"
"Switch/Solo card issue number: %s","Přepínač/Samostatné číslo karty: %s"
"Switch/Solo card start Date: %s/%s","Přepínač/Samostatné počáteční datum: %s/%s"
"Switch/Solo/Maestro Only","Pouze karty Switch/Solo/Maestro"
"Switch/Solo/Maestro(UK Domestic) Only","Switch/Solo/Maestro(pouze pro občany UK)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro (pouze pro občany UK) číslo karty: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro (pouze pro občany UK) datum vydání karty: %s/%s"
"Synchronize","Synchronizovat"
"Synchronizing...","Probíhá synchronizace..."
"System","Systém"
"Tags","Štítky"
"Target Path","Cílová cesta"
"Tax","DPH"
"Template","Šablona"
"Template Content","Obsah šablony"
"Template Information","Nastavení šablony"
"Template Name","Název šablony"
"Template Styles","Styly šablony"
"Template Subject","Předmět šablony"
"Template Type","Typ šablony"
"Temporary (302)","Dočasně (302)"
"Terms and Conditions","Obchodní podmínky"
"The JavaScript/CSS cache has been cleaned.","Mezipaměť JS/CSS souborů byla obnovena."
"The URL Rewrite has been saved.","Přepis URL byl uložen."
"The archive can be uncompressed with <a href=""%s"">%s</a> on Windows systems","Archiv může být rozbalen <a href=""%s"">%s</a> v okně systému"
"The attribute set has been removed.","Sada atributů byla odstraněna."
"The credit memo has been canceled.","Dobropis byl zrušen."
"The image cache was cleaned.","Mezipaměť obrázků byla obnovena."
"The invoice has been captured.","Platba faktury byla získána."
"The invoice has been created.","Faktura byla vytvořena."
"The invoice has been voided.","Faktura byla stornována."
"The order no longer exists.","Objednávka již neexistuje."
"The shipment has been created.","Zásilka byla vytvořena."
"The transaction details have been updated.","Podrobnosti transakce byly aktualizovány."
"There is an error in one of the option rows.","V jednom z řádků voleb je chyba."
"This account is","Tento účet ke"
"This account is inactive.","Tento účet je neaktivní."
"This action cannot be undone.","Tuto akci nelze vrátit zpět."
"This attribute shares the same value in all the stores","Tato vlastnost sdílí tu samou hodnotu ve všech obchodech"
"This block no longer exists.","Tento blok již neexistuje."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Toto je ukázkový obchod, odeslané objednávky nebudou realizovány."
"This is a required field.","Toto pole je povinné."
"This section is not allowed.","Tato sekce není povolená."
"This user no longer exists.","Tento uživatel již neexistuje."
"Time","Čas"
"Time selection:","Výběr času:"
"Time:","Čas:"
"To","Pro"
"Toggle Editor","Přepnout editor"
"Tools","Nástroje"
"Top 5 Search Terms","Nejvyhledávanějších 5 výrazů"
"Total","Celkem"
"Total Invoiced","Celkem fakturováno"
"Total Order Amount","Celkové množství objednávek"
"Total Refunded","Celkem vráceno"
"Track Order","Sledovat zásilku"
"Track this shipment","Sledovat tuto zásilku"
"Tracking number %s for %s assigned","Číslo pro sledování %s pro %s přiřazeno"
"Transaction Data","Transakční údaje"
"Transaction Details","Údaje transakce"
"Transaction ID","ID transakce"
"Transaction Type","Typ Transakce"
"Transactional Emails","Transakční e-maily"
"Transactions","Transakce"
"Type","Typ"
"Type:","Typ:"
"URL Rewrite Information","Údaje přepisu URL"
"URL Rewrite Management","Správa přepisu URL"
"Unable to initialize import model","Nelze inicializovat importní model"
"Unable to save Cron expression","Nelze uložit výraz do Cronu"
"Unknown","Neznámý"
"Unlimited","Neomezeno"
"Update","Aktualizovat"
"Updated At","Aktualizováno"
"Upload File","Nahrát soubor"
"Upload Files","Nahrát soubory"
"Upload HTTP Error","HTTP chyba při nahrávání"
"Upload I/O Error","I/O chyba při nahrávání"
"Upload Security Error","Bezpečnostní chyba při nahrávání"
"Upload import file","Nahrát importní soubor"
"Use All Available Attributes","Použít všechny dostupné atributy"
"Use Config Settings","Použít nastavení konfigurace"
"Use Default","Použít výchozí"
"Use Default Value","Použít výchozí hodnotu"
"Use Default Variable Values","Použít výchozí hodnoty proměnných"
"Use FTP Connection","Použít FTP server"
"Use Website","Použít web"
"User Email","E-mail uživatele"
"User ID","ID uživatele"
"User Info","Údaje uživatele"
"User Information","Údaje uživatele"
"User Name","Uživatelské jméno"
"User Name:","Uživatelské jméno:"
"User Password","Uživatelské heslo"
"User Role","Uživatelská role"
"User Roles","Uživatelské role"
"User Roles Information","Informace o uživatelských rolích"
"User name","Uživatelské jméno"
"Users","Uživatelé"
"Validation Results","Výsledky ověření"
"Value","Hodnota"
"Value Delimiter:","Oddělovač hodnot:"
"Variable","Proměnná"
"Variable Code","Kód proměnné"
"Variable HTML Value","HTML hodnota proměnné"
"Variable ID","ID proměnné"
"Variable Name","Název proměnné"
"Variable Plain Value","Textová hodnota proměnné"
"View Actions XML","Zobrazit události XML"
"View Full Size","Zobrazit v plné velikosti"
"View Statistics For:","Zobrazit statistiky pro:"
"Visibility:","Viditelnost:"
"Warning","Upozornění"
"Warning! Empty value can cause problems with CSV format.","Upozornění! Prázdná hodnota může způsobit problémy s CSV formátem."
"Watermark File for %s","Vodoznak pro %s"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","Prostě na tom makáme. Děkujeme za shovívavost ;)."
"Web Services","Webové služby"
"Web services","Webové služby"
"Website","Webová stránka"
"What is this?","Co to je?"
"Wishlist Report","Report seznamu přání"
"YTD","Od počátku roku"
"Year","Rok"
"Yes","Ano"
"Yes (301 Moved Permanently)","Ano (301 trvale přesunuto)"
"Yes (302 Found)","Ano (302 nalezeno)"
"Yes (only price with tax)","Ano (pouze cena s DPH)"
"You cannot delete your own account.","Vlastní účet nelze odstranit."
"You have logged out.","Jste odhlášen."
"Your answers contain duplicates.","Vaše odpověď obsahuje duplikáty."
"Your password reset link has expired.","Platnost odkazu pro obnovu hesla vypršela."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Nastavení PHP Vašeho serveru v tuto chvíli neumožňuje nahrát soubory větší než %s. Prosím upravte hodnoty post_max_size (momentálně je %s) a upload_max_filesize (momentálně je %s) v php.ini pokud chcete nahrávat větší soubory."
"Zip/Postal Code","PSČ"
"Zip/Postal Code:","PSČ"
"[ deleted ]","[ odstraněno ]"
"[GLOBAL]","[GLOBÁLNÍ]"
"[STORE VIEW]","[ZOBRAZENÍ]"
"[WEBSITE]","[WEB]"
"close","zavřít"
"critical","výstraha"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","například: ""sitemap/"" nebo ""/"" pro výchozí cestu (cesta musí být zapisovatelná)"
"example: sitemap.xml","příklad: sitemap.xml"
"failed","chyba"
"from","od"
"major","varování"
"minor","upozornění"
"notice","oznámení"
"store(%s) scope","rozsah obchodu (%s)"
"successful","v pořádku"
"to","do"
"website(%s) scope","rozsah webových stránek (%s)"
