" [deleted]"," [effacé]"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK Domestic) numéro de carte: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(UK Domestic) date de délivrance: %s/%s"
"Synchronize","Synchroniser"
"Synchronizing...","Synchronisation en cours..."
"System","Système"
"System Section","Section système"
"Tags","Mots clés"
"Target Path","Chemin cible"
"Tax","Taxes"
"Tb","To"
"Template","Gabarit"
"Template Content","Contenu du gabarit"
"Template Information","Informations gabarit"
"Template Name","Nom du gabarit"
"Template Styles","Styles de gabarit"
"Template Subject","Sujet du gabarit"
"Template Type","Type de gabarit"
"Temporary (302)","Temporaire (302)"
"Terms and Conditions","Conditions générales de ventes"
"Text","Texte"
"The JavaScript/CSS cache has been cleaned.","Le cache javascript/CSS a été nettoyé."
"The Magento cache storage has been flushed.","Le cache Magento a été purgé."
"The URL Rewrite has been saved.","La réécriture d'URL a été sauvegardée."
"The attribute set has been removed.","Le jeu d'attributs a été supprimé."
"The credit memo has been canceled.","L'avoir a été annulé."
"The image cache was cleaned.","Le cache des images a été nettoyé."
"The invoice has been captured.","La facture a été capturée."
"The invoice has been created.","La facture a été créée."
"The invoice has been voided.","La facture a été invalidée."
"The order no longer exists.","La commande n'existe plus."
"The shipment has been created.","L'expédition a été créée."
"The transaction details have been updated.","Les détails de la transaction ont été mis à jour."
"There is an error in one of the option rows.","Erreur dans une des lignes d'option."
"This account is","Ce compte est"
"This action cannot be undone.","Cette action ne peut pas être annulée."
"This attribute shares the same value in all the stores","Cet attribut partage les mêmes valeurs dans tous les magasins."
"This block no longer exists.","Ce bloc n'existe plus."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Ceci est une boutique de démonstration. Aucune commande passée sur cette boutique ne sera honorée."
"This is a required field.","C'est un champ obligatoire."
"This user no longer exists.","Cet utilisateur n'existe plus."
"Time","Heure"
"To","À"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","Pour utiliser PayPal Payflow Link, vous devez configurer votre compte PayPal Payflow Link sur le site PayPal."
"Toggle Editor","Changer d'éditeur"
"Tools","Outils"
"Top 5 Search Terms","5 termes les plus recherchés"
"Total Invoiced","Total facturé"
"Total Order Amount","Montant total de commande"
"Total Refunded","Total remboursé"
"Track Order","Suivre la commande"
"Track this shipment","Suivre cette livraison"
"Tracking number %s for %s assigned","Numéro de suivi %s assigné à %s"
"Transaction Data","Données de transaction"
"Transaction Details","Détail de la transaction"
"Transaction ID","Identifiant de transaction"
"Transaction Type","Type de transaction"
"Transactional Emails","Emails transactionnels"
"Type","Type "
"Type:","Type :"
"URL Rewrite Information","Information sur la réécriture d'URL"
"URL Rewrite Management","Gestion de réécriture d'URL"
"Unable to initialize import model","Impossible d'initialiser le modèle d'import"
"Unknown","Inconnu"
"Unlimited","Illimité"
"Update","Mettre à jour"
"Updated At","Mise à jour à"
"Upload File","Télécharger le fichier"
"Upload Files","Télécharger les fichiers"
"Upload HTTP Error","Erreur HTTP de téléchargement"
"Upload I/O Error","Erreur E/S de téléchargement"
"Upload Security Error","Erreur de sécurité de téléchargement"
"Upload import file","Télécharger le fichier d'import"
"Use All Available Attributes","Utiliser tous les attributs disponibles"
"Use Config Settings","Utilisez les paramètres de configuration"
"Use Default","Utiliser la valeur par défaut"
"Use Default Value","Utiliser la valeur par défaut"
"Use Default Variable Values","Utiliser les valeurs par défaut"
"Use FTP Connection","Utiliser une connexion FTP"
"Use Website","Valeur du site web"
"User Email","Email de l'utilisateur"
"User ID","ID utilisateur"
"User Info","Infos de l'utilisateur"
"User Information","Informations de l'utilisateur"
"User Name","Nom d'utilisateur"
"User Name:","Nom utilisateur:"
"User Password","Mot de passe utilisateur"
"User Role","Rôle de l'utilisateur"
"User Roles","Rôles utilisateurs"
"User Roles Information","Informations rôle utilisateur"
"User name","Nom de l'utilisateur"
"Users","Utilisateurs"
"Validation Results","Résultat de validation"
"Value","Valeur"
"Value Delimiter:","Délimiteur de valeurs:"
"Variable Code","Code de la variable"
"Variable HTML Value","Valeur HTML de la variable"
"Variable ID","ID de la variable"
"Variable Name","Nom de la variable"
"Variable Plain Value","Valeur texte de la variable"
"View Actions XML","Voir XML des actions"
"View Full Size","Voir en pleine taille"
"View Statistics For:","Voir les statistiques pour :"
"Visibility:","Visibilité:"
"Warning","Attention"
"Watermark File for %s","Fichier de filigrane pour %s"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","Nous sommes au travail, en train de coder plus de fonctionnalités pour Magento. Merci de votre patience."
"Web Section","Section web"
"Website","Site web""%s and greater"
"What is this?","Qu'est-ce que c'est ?"
"Wishlist Report","Liste-cadeaux"
"YTD","Depuis le début de l'année"
"Year","Année"
"Yes","Oui"
"Yes (301 Moved Permanently)","Oui (301 Document déplacé de façon permanente)"
"Yes (302 Found)","Oui (302 Document déplacé de façon temporaire)"
"Yes (only price with tax)","Oui (prix avec taxe seulement)"
"You cannot delete your own account.","Vous ne pouvez pas supprimer votre propre compte."
"You have logged out.","Vous vous êtes déconnecté(e)."
"Your answers contain duplicates.","Vos réponses contiennent des doublons."
"Your password reset link has expired.","Le lien de réinitialisation de mot de passe a expiré."
"Zip/Postal Code","Code postal"
"Zip/Postal Code:","Code postal:"
"[ deleted ]","[ effacé ]"
"[STORE VIEW]","[VUE MAGASIN]"
"[WEBSITE]","[SITE WEB]"
"b","o"
"close","fermer"
"critical","critique"
"example: sitemap.xml","exemple : sitemap.xml"
"failed","échoué"
"from","depuis"
"major","majeur"
"minor","mineur"
"notice","avertissement"
"store(%s) scope","portée du magasin(%s)"
"successful","réussi"
"to","à"
"website(%s) scope","portée du site web(%s)"
