" and "," e "
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","As preferencias do seu servidor de PHP non lle permíten subir ficheiros de máis de %s ao mesmo tempo. Modifique os valores post_max_size (actualmente %s) e upload_max_filesize (actualmente %s) no ficheiro php.ini se quere subir ficheiros máis grandes."
"Zip/Postal Code","Código postal"
"Zip/Postal Code:","Código postal:"
"[ deleted ]","[ eliminado ]"
"close","pechar"
"critical","crítico"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","exemplo: ""sitemap/"" ou ""/"" para a ruta base (o camiño debe ter permisos de escritura)"
"example: sitemap.xml","exemplo: sitemap.xml"
"from","De"
"major","importante"
"minor","secundario"
"notice","aviso"
"store(%s) scope","ámbito da tenda(%s)"
"to","para"
"website(%s) scope","ámbito do sitio web(%s)"
