" [deleted]"," [effacé]"
"Run Profile","Lancer le profil"
"Run Profile Inside This Window","Lancer le profil dans cette fenêtre"
"Running... Kill","En cours d'exécution... Tuer"
"SKU","REF"
"SKU:","SKU :"
"SSL Error: Invalid or self-signed certificate","Erreur SSL : Certificat invalide ou auto-signé"
"Sales","Ventes"
"Sales Report","Rapport des ventes"
"Samples","Exemples"
"Save","Sauvegarder"
"Save & Generate","Enregistrer & générer"
"Save Account","Sauvegarder le compte"
"Save Block","Sauvegarder le bloc"
"Save Cache Settings","Sauvegarder les paramètres de cache"
"Save Config","Sauvegarder la configuration"
"Save Currency Rates","Sauvegarder les taux de devises"
"Save Profile","Sauvegarder le profil"
"Save Role","Sauvegarder le rôle"
"Save Template","Sauvegarder le gabarit"
"Save User","Sauvegarder l'utilisateur"
"Save and Continue Edit","Sauvegarder et continuer d'éditer"
"Search","Chercher"
"Search Index","Index de recherche"
"Search Term","Terme de recherche"
"Search Terms","Termes de recherche"
"Search entire store here...","Rechercher dans tout le magasin..."
"Select","Sélectionnez"
"Select All","Sélectionner tout"
"Select Category","Sélectionner une catégorie"
"Select Date","Sélectionner une date"
"Select Range","Sélectionnez une tranche"
"Select date","Sélectionner la date"
"Sender","Expéditeur"
"Separate Email","Email séparé"
"Shipment #%s comment added","Commentaire ajouté pour l'expédition n°%s"
"Shipment #%s created","Livraison n°%s créée"
"Shipment Comments","Commentaires de livraison"
"Shipment History","Historique de livraison"
"Shipments","Expéditions"
"Shipping","Frais de port"
"Shipping Address","Adresse de livraison"
"Shipping Address: ","Adresse de livraison : "
"Shipping Origin","Origine de livraison"
"Shipping Price","Tarif de livraison"
"Shipping address selection is not applicable","La sélection d'adresse de livraison n'est pas applicable"
"Shipping method selection is not applicable","La sélection de mode de livraison n'est pas applicable"
"Shopping Cart","Panier"
"Shopping Cart Price Rules","Règles de prix panier"
"Shopping Cart from %s","Panier de %s"
"Show By","Afficher par"
"Show Report For:","Afficher le rapport pour :"
"Show Reviews","Afficher les commentaires"
"Sitemap Information","Informations sur le plan du site"
"Size for %s","Taille pour %s"
"Skip Category Selection","Passer la sélection de catégorie"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Certains articles dans cette commande ont des types de livraison et de facturation différents. Vous ne pouvez créer une livraison qu'après avoir créé une facture."
"Sorry, this feature is coming soon...","Désolé, cette fonctionnalité sera disponible prochainement..."
"Special Price:","Prix promotionnel :"
"Specific Countries","Certains pays"
"Specified","Spécifié"
"Spreadsheet Name:","Nom de la feuille de calcul :"
"Start Date","Date de début"
"Starting at:","A partir de :"
"Starting profile execution, please wait...","Démarrage de l'exécution du profil, veuillez patienter..."
"State/Province:","État/région :"
"Static Blocks","Blocs statiques"
"Status","Statut"
"Status:","Statut :"
"Stock Quantity:","Quantité en stock :"
"Store","Magasin"
"Store Email Addresses Section","Section d'adresses email du magasin"
"Store View","Vue magasin"
"Store:","Magasin :"
"Stores","Magasins"
"Subject","Sujet"
"Submit","Valider"
"Subtotal","Sous-total"
"Switch/Solo card issue number: %s","Numéro de problème de carte Switch/Solo : %s"
"Switch/Solo card start Date: %s/%s","Date de début de carte Switch/Solo : %s/%s"
"Switch/Solo/Maestro Only","Switch/Solo/Maestro seulement"
"Switch/Solo/Maestro(UK Domestic) Only","Switch/Solo/Maestro(UK Domestic) seulement"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Numéro de problème de carte Switch/Solo/Maestro(UK Domestic) : %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Date de début de carte Switch/Solo/Maestro(UK Domestic) : %s/%s"
"Synchronize","Synchroniser"
"Synchronizing...","Synchronisation en cours..."
"System","Système"
"System Section","Section système"
"Tags","Mots clés"
"Target Path","Chemin cible"
"Tax","TVA"
"Tb","To"
"Template","Gabarit"
"Template Content","Contenu du gabarit"
"Template Information","Informations gabarit"
"Template Name","Nom du gabarit"
"Template Styles","Styles de gabarit"
"Template Subject","Sujet du gabarit"
"Template Type","Type de gabarit"
"Temporary (302)","Temporaire (302)"
"Terms and Conditions","Conditions générales de ventes"
"Text","Texte"
"The JavaScript/CSS cache has been cleaned.","Le cache javascript/CSS a été nettoyé."
"The Magento cache storage has been flushed.","Le cache Magento a été purgé."
"The URL Rewrite has been saved.","La réécriture d'URL a été sauvegardée."
"The archive can be uncompressed with <a href=""%s"">%s</a> on Windows systems","L'archive peu être décompressée avec <a href=""%s"">%s</a> sous Windows"
"The attribute set has been removed.","Le jeu d'attributs a été supprimé."
"The credit memo has been canceled.","L'avoir a été annulé."
"The image cache was cleaned.","Le cache des images a été nettoyé."
"The invoice has been captured.","La facture a été capturée."
"The invoice has been created.","La facture a été créée."
"The invoice has been voided.","La facture a été invalidée."
"The order no longer exists.","La commande n'existe plus."
"The shipment has been created.","L'expédition a été créée."
"The transaction details have been updated.","Les détails de la transaction ont été mis à jour."
"There is an error in one of the option rows.","Erreur dans une des lignes d'option."
"This account is","Ce compte est"
"This account is inactive.","Ce compte est inactif."
"This action cannot be undone.","Cette action ne peut pas être annulée."
"This attribute shares the same value in all the stores","Cet attribut partage les mêmes valeurs dans tous les magasins."
"This block no longer exists.","Ce bloc n'existe plus."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Ceci est une boutique de démonstration. Aucune commande passée sur cette boutique ne sera honorée."
"This is a required field.","C'est un champ obligatoire."
"This section is not allowed.","Cette section n'est pas autorisée."
"This user no longer exists.","Cet utilisateur n'existe plus."
"Time","Heure"
"Time selection:","Sélection de l'heure :"
"Time:","Heure :"
"To","À"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","Pour utiliser PayPal Payflow Link, vous devez configurer votre compte PayPal Payflow Link sur le site PayPal."
"Toggle Editor","Changer d'éditeur"
"Tools","Outils"
"Top 5 Search Terms","5 termes les plus recherchés"
"Total Invoiced","Total facturé"
"Total Order Amount","Montant total de commande"
"Total Refunded","Total remboursé"
"Track Order","Suivre la commande"
"Track this shipment","Suivre cette livraison"
"Tracking number %s for %s assigned","Numéro de suivi %s assigné à %s"
"Transaction Data","Données de transaction"
"Transaction Details","Détail de la transaction"
"Transaction ID","ID de transaction"
"Transaction Type","Type de transaction"
"Transactional Emails","Emails transactionnels"
"Type","Type "
"Type:","Type :"
"URL Rewrite Information","Information sur la réécriture d'URL"
"URL Rewrite Management","Gestion de réécriture d'URL"
"Unable to initialize import model","Impossible d'initialiser le modèle d'import"
"Unable to save Cron expression","Impossible de sauvegarder l'expression Cron"
"Unknown","Inconnu"
"Unlimited","Illimité"
"Update","Mettre à jour"
"Updated At","Mise à jour à"
"Upload File","Importer fichier"
"Upload Files","Télécharger les fichiers"
"Upload HTTP Error","Erreur HTTP de téléchargement"
"Upload I/O Error","Erreur Entrée/Sortie de téléchargement"
"Upload Security Error","Erreur de sécurité de téléchargement"
"Upload import file","Télécharger le fichier d'import"
"Use All Available Attributes","Utiliser tous les attributs disponibles"
"Use Config Settings","Utilisez les paramètres de configuration"
"Use Default","Utiliser la valeur par défaut"
"Use Default Value","Utiliser la valeur par défaut"
"Use Default Variable Values","Utiliser les valeurs par défaut"
"Use FTP Connection","Utiliser une connexion FTP"
"Use Website","Valeur du site web"
"User Email","Email de l'utilisateur"
"User ID","ID utilisateur"
"User Info","Infos de l'utilisateur"
"User Information","Informations de l'utilisateur"
"User Name","Nom d'utilisateur"
"User Name:","Nom utilisateur :"
"User Password","Mot de passe utilisateur"
"User Role","Rôle de l'utilisateur"
"User Roles","Rôles utilisateurs"
"User Roles Information","Informations rôle utilisateur"
"User name","Nom de l'utilisateur"
"Users","Utilisateurs"
"Validation Results","Résultat de validation"
"Value","Valeur"
"Value Delimiter:","Délimiteur de valeurs :"
"Variable Code","Code de la variable"
"Variable HTML Value","Valeur HTML de la variable"
"Variable ID","ID de la variable"
"Variable Name","Nom de la variable"
"Variable Plain Value","Valeur texte de la variable"
"View Actions XML","Voir XML des actions"
"View Full Size","Voir en pleine taille"
"View Statistics For:","Voir les statistiques pour :"
"Visibility:","Visibilité :"
"Warning","Attention"
"Warning! Empty value can cause problems with CSV format.","Attention ! Les valeurs vides peuvent poser problème avec le format CSV."
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Attention ! Cette action supprimera cet utilisateur des rôles déjà assignés. Êtes-vous sûr ?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Attention ! Cette action supprimera ces utilisateurs des rôles déjà assignés. Êtes-vous sûr ?"
"Watermark File for %s","Fichier de filigrane pour %s"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","Nous sommes en train de développer de nouvelles fonctionnalités pour Magento. Merci de votre patience."
"Web Section","Section web"
"Website","Site web"
"What is this?","Qu'est-ce que c'est ?"
"Wishlist Report","Liste d'envies"
"YTD","Depuis le début de l'année"
"Year","Année"
"Yes","Oui"
"Yes (301 Moved Permanently)","Oui (301 Document déplacé de façon permanente)"
"Yes (302 Found)","Oui (302 Document déplacé de façon temporaire)"
"Yes (only price with tax)","Oui (prix avec taxe seulement)"
"You cannot delete your own account.","Vous ne pouvez pas supprimer votre propre compte."
"You have logged out.","Vous vous êtes déconnecté(e)."
"Your answers contain duplicates.","Vos réponses contiennent des doublons."
"Your password reset link has expired.","Le lien de réinitialisation de mot de passe a expiré."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Les paramètres de votre serveur PHP ne vous autorisent pas à uploader des fichiers de plus de %s à la fois. Modifiez les valeurs de post_max_size (valeur actuelle %s) et upload_max_filesize (valeur actuelle %s) dans php.ini si vous voulez pouvoir uploader des fichiers plus gros."
"Zip/Postal Code","Code postal"
"Zip/Postal Code:","Code postal :"
"[ deleted ]","[ effacé ]"
"[STORE VIEW]","[VUE MAGASIN]"
"[WEBSITE]","[SITE WEB]"
"b","o"
"close","fermer"
"critical","critique"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","example : ""sitemap/"" ou ""/"" pour le chemin de base (le chemin doit être accessible en écriture)"
"example: sitemap.xml","exemple : sitemap.xml"
"failed","échoué"
"from","depuis"
"major","majeur"
"minor","mineur"
"notice","avertissement"
"store(%s) scope","portée du magasin(%s)"
"successful","réussi"
"to","à"
"website(%s) scope","portée du site web(%s)"
