" [deleted]"," [удален]"
"This action cannot be undone.","Это действие нельзя отменить."
"This attribute shares the same value in all the stores","У этого атрибута одинаковые значения во всех магазинах"
"This block no longer exists.","Этот блок больше не существует."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Это демонстрационный магазин. Любые заказы, оформленные на этом сайте, не будут обработаны или выполнены."
"This is a required field.","Это поле обязательно для заполнения."
"This section is not allowed.","Доступ к этому разделу запрещён."
"Time","Время"
"Time selection:","Выбор времени:"
"Time:","Время:"
"To","До"
"Toggle Editor","Включить/выключить редактор"
"Tools","Инструменты"
"Top 5 Search Terms","5 самых популярных поисковых запросов"
"Total","Всего"
"Total Invoiced","Всего платежей"
"Total Order Amount","Общая сумма заказов"
"Total Refunded","Всего возвращено"
"Track Order","Отслеживание заказа"
"Track this shipment","Отследить груз"
"Tracking number %s for %s assigned","Номер отслеживания %s назначен для %s"
"Transaction ID","ID транзакции"
"Transaction Type","Тип транзакции"
"Transactional Emails","Транзакционные письма"
"Type","Тип"
"Type:","Тип:"
"Unable to initialize import model","Невозможно инициализировать модель импорта"
"Unable to save Cron expression","Невозможно сохранить Cron выражение"
"Unknown","Неизвестно"
"Unlimited","Неограничено"
"Update","Обновить"
"Updated At","Обновлено"
"Upload File","Загрузить файл"
"Upload Files","Загрузить файлы"
"Upload HTTP Error","HTTP ошибка при закачивании"
"Upload I/O Error","Ошибка ввода/вывода (I/O) при закачивании"
"Upload Security Error","Ошибка безопасности при закачивании"
"Upload import file","Закачать файл для импорта"
"Use All Available Attributes","Используйте Все Доступные Функции"
"Use Config Settings","Использовать Настройки Конфигурации"
"Use Default","Использовать значение по умолчанию"
"Use Default Value","Использовать значение по умолчанию"
"Use FTP Connection","Использовать FTP соединение"
"User Email","Email пользователя"
"User ID","ИД пользователя"
"User Info","Информация о пользователе"
"User Information","Информация о пользователе"
"User Name","Имя пользователя"
"User Name:","Имя пользователя:"
"User Password","Пароль пользователя"
"User Role","Роль пользователя"
"User Roles","Роли пользователя"
"User Roles Information","Информация о ролях пользователя"
"User name","Имя пользователя"
"Users","Пользователи"
"Value","Значение"
"Value Delimiter:","Разделитель:"
"Variable","Переменная"
"View Actions XML","Посмотреть XML действий"
"View Full Size","Посмотреть в полном размере"
"View Statistics For:","Просмотр статистики для:"
"Visibility:","Видимость:"
"Warning","Внимание"
"Warning! Empty value can cause problems with CSV format.","Внимание! Пустое значение может вызвать проблемы с CSV форматом."
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Внимание!rnПользователь потеряет привилегии данной ролиrnВы уверены??"
"Watermark File for %s","Файл с водяным знаком для %s"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","В данный момент мы уже создаём новую функциональность для OpenMage. Благодарим вас за терпение."
"Web Services","Интернет сервисы"
"Web services","Интернет сервисы"
"Website","Веб-сайт"
"What is this?","Что это?"
"Wishlist Report","Отчет листа пожеланий"
"YTD","C начала года"
"Year","Год"
"Yes","Да"
"Yes (only price with tax)","Да (только цена с налогом)"
"You have logged out.","Вы вышли из системы."
"Your answers contain duplicates.","Ваши ответы содержат дубликаты."
"Your password reset link has expired.","Истекает ссылка на сброс пароля."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","PHP настройки вашего сервера разрешают одновременное закачивание не более чем %s файлов. Пожалуйста, измените в php.ini значения post_max_size (сейчас - %s) и upload_max_filesize (сейчас - %s), если хотите иметь возможность закачивать файлы большего размера."
"Zip/Postal Code","Почтовый индекс"
"Zip/Postal Code:","Почтовый индекс:"
"[ deleted ]","[ удален ]"
"[GLOBAL]","[ГЛОБАЛЬНО]"
"[STORE VIEW]","[Представление магазина]"
"[WEBSITE]","[САЙТ]"
"b","б"
"close","закрыть"
"critical","критично"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","пример: ""sitemap/"" или ""/"" для корневого пути (должен быть доступен для чтения)"
"example: sitemap.xml","пример: sitemap.xml"
"failed","не удалось"
"from","от"
"major","важно"
"minor","обычно"
"notice","уведомление"
"store(%s) scope","Область действия магазина(%s)"
"successful","успешно"
"to","до"
"website(%s) scope","Область действия сайта(%s)"
