"-OR-","-ODER-"
"Payflow Pro (Includes Express Checkout)","Payflow Pro (inkl. Express Checkout)"
"Payflow Pro and Express Checkout","Payflow Pro und Express Checkout"
"Payment Action","Zahlungsvorgang"
"Payment Applicable From","Zahlung anwendbar von"
"Payment Method","Zahlungsart"
"Payment Refund initiated by merchant","Zahlungsrückerstattung durch Händler initiiert"
"Payment has been declined. Please try again.","Die Zahlung wurde abgelehnt. Bitte versuchen Sie es nochmal."
"Payment is being reviewed by PayPal for risk.","Die Zahlung wird von PayPal auf mögliche Risiken untersucht."
"Payment transactions disallow storing objects.","Zahlungstransaktionen verbieten das Speichern von Objekten."
"Payment was made to an email address that is not yet registered or confirmed.","Die Zahlung wurde an eine E-Mail-Adresse geleistet, die noch nicht registriert oder bestätigt ist."
"Payments Advanced (Includes Express Checkout)","Payments Advanced (inkl. Express Checkout)"
"Payments Pro (Includes Express Checkout)","Payments Pro (inkl. Express Checkout)"
"Payments Pro Hosted Solution","Zahlungen Pro-Hosting-Lösung"
"Payments Pro and Express Checkout","Payments Pro und Express Checkout"
"Payments Standard (Includes Express Checkout)","Payments Standard (inkl. Express Checkout)"
"Payments by PayPal (150 X 40)","Zahlungen per PayPal (150 x 40)"
"Payments by PayPal (150 X 60)","Zahlungen per PayPal (150 x 60)"
"Pending PayPal","PayPal ausstehend"
"Place Order","Jetzt kaufen"
"Please agree to all the terms and conditions before placing the order.","Bitte lesen und akzeptieren Sie alle AGB, bevor Sie Ihre Bestellung aufgeben."
"Please contact PayPal Customer Service.","Bitte kontaktieren Sie den PayPal Kundenservice."
"Please do not refresh the page until you complete payment.","Bitte aktualisieren Sie die Seite nicht, bis Sie die Zahlung abgeschlossen haben."
"Please re-enable the previously enabled payment solutions.","Bitte aktivieren Sie die zuvor aktiven Zahlungsarten erneut."
"Please select a shipping method...","Bitte wählen Sie eine Versandart..."
"Please select region, state or province","Wählen Sie bitte eine Region, ein Bundesland oder eine Provinz aus"
"Please update order data to get shipping methods and rates","Bitte aktualisieren Sie Ihre Bestelldaten, um Versandarten und -Preise zu erhalten"
"Points Incentive Redemption","Anreizpunkte für Rückzahlung"
"Position","Reihenfolge"
"Postage Payment to either USPS or UPS","Porto-Zahlung entweder an USPS oder UPS"
"Preapproved Payment (BillUser API), either sent or received","Vorabgenehmigte Zahlung (BillUser API), entweder gesendet oder erhalten"
"Preapproved Payment ID","Vorgenehmigte Zahlungs-ID"
"Price","Preis"
"Process payments using your own internet merchant account.","Abwicklung von Zahlungen mit Ihrem eigenen Internet-Händler-Konto."
"Product","Produkt"
"Product Name","Artikelname"
"Proxy Host","Proxy-Host"
"Proxy Port","Proxy-Port"
"Publisher ID","Publisher-ID"
"Qty","Menge"
"Reauthorization","Neue Bevollmächtigung"
"Reference Information","Referenzinformationen"
"Reimbursement for a chargeback.","Kostenerstattung für eine Rückbuchung."
"Reimbursement of Chargeback","Erstattung der Ausgleichsbuchung"
"Report Date","Datum des Berichts"
"Reports","Berichte"
"Requested %s and configured %s merchant emails do not match.","Angeforderte %s und konfigurierte %s E-Mail-Adresse des Händlers stimmen nicht überein."
"Require CVV Entry","Erfordert CVV-Eintrag"
"Require Customer's Billing Address","Pflichtangabe der Rechnungsadresse des Kunden"
"Required PayPal Settings","Erforderliche PayPal-Einstellungen"
"Required Settings","Erforderliche Einstellungen"
"Required to display a banner","Erforderlich, um einen Banner einzubinden"
"Reversal","Aufhebung"
"Reversal of General Account Hold","Aufhebung der Stilllegung des allgemeinen Kontos"
"Reversal of Points Usage","Aufhebung der Punkteverwendung"
"Reversal of an adjustment.","Stornierung einer Anpassung."
"Reversal of hold for Dispute Investigation","Aufhebung der Streitschlichtungsuntersuchung"
"Review Order","Bestellung überprüfen"
"Reward Voucher Redemption","Belohnungsgutschein-Einlösung"
"SFTP Credentials","SFTP Zugangsdaten"
"Sale","Verkauf"
"Sales","Verkäufe"
"Same as shipping","Wie Versandadresse"
"Sandbox Credentials","Sandbox Zugangsdaten"
"Sandbox Mode","Sandbox Modus"
"Schedule","Zeitplan"
"Schedule description is too long.","Beschreibung für geplanten Vorgang ist zu lang."
"Scheduled Fetching","Geplantes Abrufen"
"Select a Payment Solution","Wählen Sie eine Zahlungsart"
"Send Email Confirmation","E-Mail-Bestätigung senden"
"Server Error. Please try again.","Server-Fehler. Bitte versuchen Sie es erneut."
"Settlement Consolidation","Abwicklungs-Konsolidierung"
"Settlement Report Settings","Abwicklungs-Bericht-Einstellungen"
"Settlement of a chargeback.","Abwicklung einer Rückbuchung."
"Severe 3D Secure Card Validation","3D Sichere Karten-Überprüfung (Streng)"
"Severe Validation Removes Chargeback Liability on Merchant","Strenge Prüfung befreit den Händler von seiner Haftung"
"Severe validation removes chargeback liability on merchant.","Strenge Prüfung befreit den Händler von seiner Haftung."
"Shipping","Versand"
"Shipping Address","Lieferadresse"
"Shipping Information","Versandinformation"
"Shipping Method","Versandart"
"Shop now using (150 X 40)","Shop nutzt jetzt (150 X 40)"
"Shop now using (150 X 60)","Shop nutzt jetzt (150 X 60)"
"Shortcut","Verknüpfung"
"Shortcut Buttons Flavor","Shortcut-Flavor"
"Sidebar (right)","Seitenleiste (rechts)"
"Sign a billing agreement to streamline further purchases with PayPal.","Unterzeichnen Sie eine Rechnungsvereinbarung, um weitere Einkäufe mit PayPal zu optimieren."
"Size","Größe"
"Skip Order Review Step","Bestellübersicht überspringen"
"Some PayPal solutions conflict.","Einige PayPal Zahlungsarten stehen in Konflikt."
"Sorry, no quotes are available for this order at this time.","Entschuldigung, für diese Bestellungen stehen keine Auswahloptionen zur Verfügung. Bitte nehmen Sie direkt mit uns Kontakt auf!"
"Sort Order","Sortierreihenfolge"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Gibt den Autorisierungs-Honorierungs-Zeitraum auf dem Händler PayPal-Konto an. Muss mit der Einstellung in PayPal übereinstimmen."
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Gibt die Gültigskeitsdauer von Bestellungen im Händler-PayPal-Konto an. Muss mit den Einstellungen in PayPal übereinstimmen."
"State/Province","Bundesland"
"Static","Statisch"
"Street Address","Straße"
"Street Address %s","Straße %s"
"Submitting order information...","Bestellung wird übermittelt …"
"Subscriber name is too long.","Abonnentenname ist zu lang."
"Subscription ID","Abonnement-ID"
"Subscription Payment, either payment sent or payment received","Abonnement-Zahlung, entweder Zahlung getätigt oder Zahlung erhalten"
"Subtotal","Zwischensumme"
"Summary Text for Aggregated Cart","Zusammenfassung des gesamten Warenkorbs"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Die Unterstützung von American Express Karten erfordert einen Ergänzungsvertrag. Erfahren Sie mehr bei <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"Telephone","Telefon"
"Test Mode","Test Modus"
"The background color for the checkout page around the header and payment form.","Die Hintergrundfarbe für die Checkout Seite rund um den Kopfbreich und dem Zahlungsformular."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","Die Hintergrundfarbe des Kopfbereichs der Bezahlseite. 6-stelliger Hex-Farbcode in ASCII Zeichen."
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","Die Standardanzahl der Child-Genehmigungen in Ihrem PayPal-Konto ist 1. Um mehrere Genehmigungen auszuführen, wenden Sie sich an PayPal, um eine Erhöhung zu beantragen."
"The following error(s) occured:","Die folgenden Fehler sind aufgetreten:"
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","Das Bild oben links auf der Bezahlseite. Max. 750px × 90px. <strong style=""color:red"">https</strong> wird dringend empfohlen."
"The maximum number of child authorizations is reached.","Die maximale Anzahl an Child-Berechtigungen ist erreicht."
"The merchant account is not yet verified.","Das Händlerkonto wurde noch nicht verifiziert."
"The payment curency does not match any of the merchant's balances currency.","Die Währung der Zahlung stimmt mit keiner der Währungen des Händlerkontos überein."
"The payment eCheck is not yet cleared.","Die Zahlung per eCheck ist noch nicht abgeschlossen."
"The payment is authorized but not settled.","Die Zahlung ist authorisiert aber noch nicht abgeschlossen."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","Die Zahlung ist ausstehend, weil sie mit einer E-Mail-Adresse getätigt wurde, die noch nicht registriert ist oder bestätigt wurde."
"The payment is pending while it is being reviewed by PayPal for risk.","Die Zahlung ist ausstehend, während das Risiko von PayPal überprüft wird."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","Die Zahlung erfolgte per Kreditkarte. Um Mittel erhalten, muss das Händler-Konto auf Business-oder Premier-Status hochgestuft werden."
"There is already another PayPal solution enabled. Enable this solution instead?","Es ist bereits eine PayPal Zahlungsart eingerichtet. Möchten Sie stattdessen diese aktivieren?"
"There was an error processing your order. Please contact us or try again later.","Bei der Verarbeitung Ihrer Bestellung ist ein Fehler aufgetreten. Kontaktieren Sie uns oder probieren Sie es bitte später erneut."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Dieses Feature muss zunächst für das Händler-Konto über den technischen PayPal-Support aktiviert sein."
"This operation requires an existing transaction object.","Dieser Vorgang erfordert einen gültigen Transaktions-Objekt."
"Time of Day","Tageszeit"
"Title","Titel"
"To proceed to Checkout, please log in using your email address.","Melden Sie sich bitte mit Ihrer E-Mail-Adresse an, um mit dem Bestellvorgang fortzufahren."
"Transaction ID","Transaktions ID"
"Transaction ID must not be empty.","Transaktionsnummer darf nicht leer sein."
"Transaction ID: ""%s""","Transaktion-ID: ""%s"""
"Transaction Information","Transaktionsinformationen"
"Transaction reversal by PayPal administrators.","Stornierung der Transaktion durch PayPal-Administratoren."
"Transaction reversal due to fraud detected by PayPal administrators.","Stornierung der Transaktion aufgrund eines durch PayPal-Administratoren erkannten Betrugs."
"Transfer Cart Line Items","Artikel des Warenkorbs übertragen"
"Transfer Shipping Options","Versandoptionen übertragen"
"Triggered Fraud Filters","Ausgelöste Betrugs-Filter"
"URL method for Cancel URL and Return URL","URL-Methode zum Abbrechen der URL und Rückgabe der URL"
"Unable to cancel Express Checkout.","Express Checkout konnte nicht abgebrochen werden."
"Unable to change status. Current status is not correspond to real status.","Status kann nicht geändert werden. Der aktuelle Status entspricht nicht dem tatsächlichen Status."
"Unable to communicate with the PayPal gateway.","Verbindung zum PayPal Gateway konnte nicht hergestellt werden."
"Unable to initialize Express Checkout review.","Express Checkout-Prüfung konnte nicht gestartet werden."
"Unable to initialize Express Checkout.","Express Checkout konnte nicht gestartet werden."
"Unable to place the order.","Bestellung konnte nicht ausgelöst werden."
"Unable to process Express Checkout approval.","Express Checkout Genehmigung konnte nicht verarbeitet werden."
"Unable to start Express Checkout.","Express-Checkout konnte nicht gestartet werden."
"Unable to update shipping method.","Versandart konnte nicht aktualisiert werden."
"Unknown Error. Please try again later.","Unbekannter Fehler. Bitte versuchen Sie es später noch einmal."
"Unknown reason. Please contact PayPal customer service.","Unbekannter Grund. Bitte kontaktieren Sie den PayPal-Kundenservice."
"Update Shipping Method","Versandart aktualisieren"
"Use Proxy","Proxy verwenden"
"Use colon to specify port. For example: ""test.example.com:5224"".","Verwenden Sie einen Doppelpunkt, um den Port anzugeben. Zum Beispiel: ""test.example.com:5224""."
"User","Benutzer"
"User-initiated Currency Conversion","Benutzerinitiierte Währungsumrechnung"
"Uses store frontend name by default.","Verwendet standardmäßig den Shopnamen."
"VAT Number","USt-IdNr."
"Vendor","Verkäufer"
"View","Anzeigen"
"View Demo","Demo anzeigen"
"View Transaction","Transaktion anzeigen"
"View Transaction Details","Transaktionsdetails anzeigen"
"Virtual PayPal Debit Card Transaction","Virtuelle PayPal-Kreditkarten-Transaktion"
"Virtual Terminal Payment","Virtual Terminal-Zahlung"
"Void","Aufheben"
"Waiting until Customer's eCheck will be cleared.","Warten, bis der eCheck des Kunden eingelöst ist."
"We prefer PayPal (150 X 40)","Wir bevorzugen PayPal (150 X 60)"
"We prefer PayPal (150 X 60)","Wir bevorzugen PayPal (150 X 60)"
"Website Payments Pro (Includes Express Checkout)","Website Payments Pro (inkl. Express Checkout)"
"Website Payments Pro Hosted Solution","Websitezahlungen Pro-Hosting-Lösung"
"Website Payments Pro Hosted Solution (Includes Express Checkout)","bsite Payments Pro Hosted Solution (inkl. Express Checkout)"
"Website Payments Pro Hosted Solution and Express Checkout","Websitezahlungen Pro-Hosting-Lösung und Express Checkout"
"Website Payments Pro Payflow Edition (Includes Express Checkout)","Website Payments Pro Payflow Edition (inkl. Express Checkout)"
"Website Payments Pro Payflow Edition and Express Checkout","Website Payments Pro Payflow Edition und Express Checkout"
"Website Payments Pro and Express Checkout","Website Payments Pro und Express Checkout"
"Website Payments Standard (Includes Express Checkout)","Website Payments Standard (inkl. Express Checkout)"
"Website Payments Standard Payment","Website Payments Standard Zahlung"
"What is PayPal?","Was ist PayPal?"
"Whether to create a billing agreement, if there are no active billing agreements available.","Eine Abrechnungsvereinbarung erstellen, wenn keine aktiven Abrechnungsvereinbarungen verfügbar sind."
"Will appear as a payment option only for customers who have at least one active billing agreement.","Dies wird nur dann als Zahlungsoption angezeigt, wenn der Kunde mindestens eine aktive Zahlungsvereinbarung besitzt."
"WorldLink Withdrawal","Worldlink-Widerruf"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Möchten Sie eine Zahlungsvereinbarung unterzeichnen, um weitere Einkäufe mit PayPal zu beschleunigen?"
"Wrong Order ID (%s) specified.","Falsche Bestellnummer (%s) angegeben."
"Wrong PayPal Express Checkout Token specified.","Falsches PayPal Express Checkout Token angegeben."
"Yes","Ja"
"Yes (PayPal recommends this option)","Ja (PayPal empfiehlt diese Option)"
"Yes. Matched Address and five-didgit ZIP","Ja. Übereinstimmende Adresse und fünfstellige Postleitzahl"
"You cannot void a verification transaction","Überprüfungstransaktionen können nicht storniert werden"
"You will be redirected to the PayPal website in a few seconds.","Sie werden in wenigen Sekunden zu PayPal weitergeleitet."
"You will be redirected to the PayPal website when you place an order.","Sie werden zur PayPal-Website weitergeleitet, wenn Sie eine Bestellung aufgeben."
"You will be redirected to the PayPal website.","Sie werden zur PayPal-Website weitergeleitet."
"You will be required to enter your payment details after you place an order.","Sie werden gebeten, Ihre Zahlungsinformationen einzugeben, nachdem Sie Ihre Bestellung aufgeben haben."
"Zip/Postal Code","PLZ"
"chargeback reimbursed","Rückbuchung erstattet"
"chargeback settled","Rückbuchung bezahlt"
"customer complaint","Kunden-Beschwerde"
"customer triggered a chargeback","Kunde hat Rückbuchung veranlasst"
"customer triggered money-back guarantee","Kunde hat Geld-zurück-Garantie in Anspruch genommen"
"eBay Auction Payment","eBay Auktionszahlung"
"merchant refunded payment","Der Händler hat den Betrag erstattet"
"no reason","Kein Grund"
"reversal of an adjustment","Rückerstattung einer Anpassung"
"unknown reason","Unbekannter Grund"
