" and ","og"
"Text","Tekst"
"The JavaScript/CSS cache has been cleaned.","Hurtigbufferen for JavaScript/CSS har blitt tømt."
"The Magento cache storage has been flushed.","Magento butikkbuffer lagringen er tømt."
"The URL Rewrite has been saved.","URL-omskrivningen har blitt lagret."
"The attribute set has been removed.","Attributtsettet er fjernet."
"The image cache was cleaned.","Hurtigbufferen for bilder ble tømt."
"The order no longer exists.","Ordren finnes ikke lenger."
"The shipment has been created.","Forsendelsen er opprettet."
"This account is","Denne kontoen er"
"This action cannot be undone.","Denne handlingen kan ikke angres."
"This attribute shares the same value in all the stores","Dette attributtet har samme verdi i alle butikkene"
"This block no longer exists.","Denne blokken finnes ikke lenger."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Dette er en demobutikk. Bestillinger i denne butikken blir ikke behandlet."
"This is a required field.","Dette er et obligatorisk felt."
"This user no longer exists.","Denne brukeren finnes ikke lenger."
"Time","Tid"
"Time:","Tid:"
"To","Til"
"Toggle Editor","Slå av/på redigering"
"Tools","Verktøy"
"Top 5 Search Terms","Topp-fem søkefraser"
"Total","Totalt"
"Total Invoiced","Total fakturert"
"Total Order Amount","Totalt ordrebeløp"
"Total Refunded","Totalt tilbakebetalt"
"Track Order","Spor ordre"
"Track this shipment","Spor denne forsendelsen"
"Tracking number %s for %s assigned","Sporingsnummer %s tildelt %s"
"Transaction ID","Transaksjons-ID"
"Transaction Type","Transaksjonstype"
"Transactional Emails","Transaksjonsbaserte E-poster"
"Transactions","Transaksjoner"
"URL Rewrite Information","URL omskrive informasjon"
"URL Rewrite Management","URL omskrive Management"
"Unable to initialize import model","Ikke i stand til å starte importmodellen"
"Unknown","Ukjent"
"Unlimited","Ubegrenset"
"Update","Oppdater"
"Updated At","Oppdatert den"
"Upload File","Last opp fil"
"Upload Files","Last opp filer"
"Upload HTTP Error","HTTP-feil under opplasting"
"Upload I/O Error","I/O-feil under opplasting"
"Upload Security Error","Sikkerhetsfeil under opplasting"
"Upload import file","Last opp importfil"
"Use All Available Attributes","Bruke alle tilgjengelige attributter"
"Use Config Settings","Bruk konfigurasjonsinnstillinger"
"Use Default","Bruk standard"
"Use Default Value","Bruk standardverdi"
"Use FTP Connection","Bruk FTP-tilkobling"
"Use Website","Bruk nettsted"
"User Email","Bruker epost"
"User ID","Bruker-ID"
"User Info","Brukerinfo"
"User Information","Brukerinformasjon"
"User Name","Brukernavn"
"User Name:","Brukernavn:"
"User Password","Brukerpassord"
"User Role","Brukerrolle"
"User Roles","Brukerroller"
"User Roles Information","Brukerrolle-informasjon"
"User name","Brukernavn"
"Users","Brukere"
"Value","Verdi"
"Value Delimiter:","Verdiskilletegn"
"Variable","Variabel"
"Variable Code","Variabel kode"
"Variable HTML Value","Variabel HTML Verdi"
"Variable ID","Variabel ID"
"Variable Name","Variabelnavn"
"Variable Plain Value","Variabel Enkel Verdi"
"View Actions XML","Vis handlings-XML"
"View Full Size","Se full størrelse"
"View Statistics For:","Vis statistikk for:"
"Visibility:","Synlighet:"
"Warning","Advarsel"
"Watermark File for %s","Vannmerkefil for %s"
"Web Section","Nettsted"
"Website","Nettsted"
"What is this?","Hva er dette?"
"Wishlist Report","Ønskelisterapport"
"YTD","Hittil i år"
"Year","År"
"Yes","Ja"
"Yes (301 Moved Permanently)","Ja (301 flyttet permanent)"
"Yes (302 Found)","Ja (302 funnet)"
"Yes (only price with tax)","Ja (bare pris uten moms)"
"You cannot delete your own account.","Du kan ikke slette din egen konto."
"You have logged out.","Du har logget ut."
"Your answers contain duplicates.","Svarene dine inneholder duplikater."
"Your password reset link has expired.","Link for å gjenopprette passord er utgått."
"Zip/Postal Code","Postnummer"
"Zip/Postal Code:","Postnummer:"
"[ deleted ]","[slettet]"
"[GLOBAL]","[Global]"
"[STORE VIEW]","[LAGERVISNING]"
"[WEBSITE]","[NETTSTED]"
"close","lukk"
"critical","kritisk"
"example: sitemap.xml","eksempel: sitemap.xml"
"failed","mislyktes"
"from","fra"
"major","stor"
"minor","mindre"
"notice","varsel"
"store(%s) scope","omfang for butikk (%s)"
"successful","vellykket"
"to","til"
"website(%s) scope","omfang for nettsted (%s)"
