" [deleted]"," [eliminato]"
"Select date","Seleziona data"
"Sender","Mittente"
"Separate Email","Separare le Email"
"Shipment #%s comment added","Aggiunto commento alla spedizione #%s"
"Shipment #%s created","Spedizione #%s creata"
"Shipment Comments","Commenti spedizione"
"Shipment History","Cronologia delle spedizioni"
"Shipments","Spedizioni"
"Shipping","Spedizione"
"Shipping Address","Indirizzo di Spedizione"
"Shipping Address: ","Indirizzo di Spedizione: "
"Shipping Origin","Origine spedizione"
"Shipping Price","Prezzo di spedizione"
"Shipping address selection is not applicable","La selezione dell'indirizzo di spedizione non è applicabile"
"Shipping method selection is not applicable","La selezione del metodo di spedizione non è applicabile"
"Shopping Cart","Carrello"
"Shopping Cart Price Rules","Regole prezzo carrello"
"Shopping Cart from %s","Carrello da %s"
"Show By","Mostra per"
"Show Report For:","Visualizza Report per:"
"Show Reviews","Mostra recensioni"
"Sitemap Information","Informazioni sitemap"
"Size for %s","Dimensione per %s"
"Skip Category Selection","Salta la selezione categoria"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Alcuni prodotti di questo ordine hanno diversa fattura a tipod i spedizione. Si può creare una spedizione solo dopo che la fattura è stata creata."
"Sorry, this feature is coming soon...","Spiacente, questa funzione è in arrivo..."
"Special Price:","Prezzo speciale:"
"Specific Countries","Paesi specifici"
"Specified","Specificato"
"Spreadsheet Name:","Nome del foglio di calcolo:"
"Start Date","Data Inizio"
"Starting at:","A partire da:"
"Starting profile execution, please wait...","Inizio esecuzione profilo, attendere prego..."
"State/Province:","Stato/Provincia:"
"Static Blocks","Blocchi statici"
"Status","Stato"
"Status:","Stato:"
"Stock Quantity:","Quantità disponibile:"
"Store","Negozio"
"Store View","Vista Negozio"
"Store:","Negozio:"
"Stores","Negozi"
"Subject","Oggetto"
"Submit","Invia"
"Subtotal","Subtotale"
"Switch/Solo card issue number: %s","Numero emissione per carte Switch/Solo: %s"
"Switch/Solo card start Date: %s/%s","Data d'inizio carta Switch/Solo: %s/%s"
"Switch/Solo/Maestro Only","Solo Switch/Solo/Maestro"
"Switch/Solo/Maestro(UK Domestic) Only","Solamente Switch/Solo/Maestro(Regno Unito)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Numero della carta Switch/Solo/Maestro(Regno Unito): %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Data di inizio della carta Switch/Solo/Maestro(Regno Unito): %s/%s"
"Synchronize","Sincronizza"
"Synchronizing...","Sincronizzazione..."
"System","Sistema"
"Tags","Tag"
"Target Path","Percorso di destinazione"
"Tax","Tassa"
"Template Content","Contenuto Template"
"Template Information","Informazioni Template"
"Template Name","Nome template"
"Template Styles","Stili Template"
"Template Subject","Oggetto Template"
"Template Type","Tipo di template"
"Temporary (302)","Temporaneo (302)"
"Terms and Conditions","Termini e condizioni"
"Text","Testo"
"The JavaScript/CSS cache has been cleaned.","La cache di JavaScript/CSS è stata svuotata."
"The URL Rewrite has been saved.","La URL rewrite è stata salvata."
"The archive can be uncompressed with <a href=""%s"">%s</a> on Windows systems","L'archivio può essere decompresso con <a href=""%s"">%s</a> su un sistema Windows"
"The attribute set has been removed.","Il Gruppo di attributi è stato rimosso."
"The credit memo has been canceled.","La nota di credito è stata annullata."
"The image cache was cleaned.","Cache delle immagini svuotata."
"The invoice has been captured.","La fattura è stata acquisita."
"The invoice has been created.","La fattura è stata creata."
"The invoice has been voided.","La fattura è stata annullata."
"The order no longer exists.","L'ordine non esiste più."
"The shipment has been created.","La spedizione è stata creata."
"The transaction details have been updated.","I dettagli della transazione sono stati aggiornati."
"There is an error in one of the option rows.","C'è un errore in una delle righe di opzione."
"This account is","Questo account è"
"This account is inactive.","Questo account è  inattivo."
"This action cannot be undone.","Questa azione non può essere annullata."
"This attribute shares the same value in all the stores","Questo attributo è condiviso con gli stessi valori in tutti i negozi."
"This block no longer exists.","Questo blocco non esiste più."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Questo é un negozio demo. Tutti gli ordini effettuati attraverso questo negozio, non saranno onorati o portati a compimento."
"This is a required field.","Questo è un campo obbligatorio."
"This section is not allowed.","Questa sezione non è permessa."
"This user no longer exists.","Questo utente non esiste più."
"Time","Orario"
"Time selection:","Seleziona ora:"
"Time:","Ora:"
"To","Al"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","Per utilizzare PayPal Payflow Link, è necessario configurare il tuo account PayPal Payflow Link sul sito di PayPal."
"Toggle Editor","Commuta Editor"
"Tools","Strumenti"
"Top 5 Search Terms","Top 5 dei termini di ricerca"
"Total","Totale"
"Total Invoiced","Totale fatturato"
"Total Order Amount","Importo totale ordini"
"Total Refunded","Totale rimborsato"
"Track Order","Traccia l'ordine"
"Track this shipment","Rintraccia la spedizione"
"Tracking number %s for %s assigned","Numero di tracciamento %s per %s assegnato"
"Transaction Data","Dati transazione"
"Transaction Details","Dettagli della transazione"
"Transaction ID","ID Transazione"
"Transaction Type","Tipo di Transazione"
"Transactional Emails","Email Transazionali"
"Transactions","Transazioni"
"Type","Tipo"
"Type:","Tipo:"
"URL Rewrite Information","Informazioni URL rewrite"
"URL Rewrite Management","Gestione URL rewrite"
"Unable to initialize import model","Impossibile inizializzare il modello di importazione"
"Unknown","Sconosciuto"
"Unlimited","Illimitato"
"Update","Aggiorna"
"Updated At","Aggiornato al"
"Upload File","Carica file"
"Upload Files","Carica i file"
"Upload HTTP Error","Errore caricamento HTTP"
"Upload I/O Error","Errore caricamento I/O"
"Upload Security Error","Errore caricamento sicuro"
"Upload import file","Carica file importato"
"Use All Available Attributes","Usa tutti gli attributi disponibili"
"Use Config Settings","Utilizzare le impostazioni di configurazione"
"Use Default","Usa predefinito"
"Use Default Value","Usa il valore predefinito"
"Use Default Variable Values","Usa i valori predefiniti delle variabili"
"Use FTP Connection","Usa la connessione FTP"
"Use Website","Usa website"
"User Email","Email Utente"
"User ID","ID Utente"
"User Info","Info Utente"
"User Information","Informazioni utente"
"User Name","Nome utente"
"User Name:","Nome utente:"
"User Password","Password utente"
"User Role","Ruolo Utente"
"User Roles","Ruoli utente"
"User Roles Information","Informazioni sui ruoli utente"
"User name","Nome utente"
"Users","Utenti"
"Validation Results","Risultati validazione"
"Value","Valore"
"Value Delimiter:","Delimitatore valore:"
"Variable","Variabile"
"Variable Code","Codice variabile"
"Variable HTML Value","Valore HTML Variabile"
"Variable ID","ID variabile"
"Variable Name","Nome della variabile"
"Variable Plain Value","Valore testuale variabile"
"View Actions XML","Vedi azioni XML"
"View Full Size","Vedi a grandezza intera"
"View Statistics For:","Visualizzazione delle statistiche per:"
"Visibility:","Visibilità:"
"Warning","Attenzione"
"Warning! Empty value can cause problems with CSV format.","Attenzione! Non inserire un valore può causare problemi con il formato CSV."
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Attenzione!rnQuesta azione rimuoverà quegli utenti a cui è stato assengato un ruolornSei Sicuro?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Attenzione!rnQuesta azione rimuoverà quegli utenti a cui è stato assengato un ruolornSei Sicuro?"
"Watermark File for %s","Watermark File per %s"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","Nella nostra tabella di programmazione, stiamo includendo nuove opzioni per OpenMage. Grazie per la tua pazienza."
"Web Services","Servizi web"
"Web services","Servizi web"
"Website","Sito Web"
"What is this?","Cos'è questo?"
"Wishlist Report","Report Wishlist"
"YTD","Da inizio anno"
"Year","Anno"
"Yes","Sì"
"Yes (301 Moved Permanently)","Sì (301 Redirect Permanente)"
"Yes (302 Found)","Sì (302 trovati)"
"Yes (only price with tax)","Si (solo prezzo con tasse)"
"You cannot delete your own account.","Non è possibile eliminare il tuo account."
"You have logged out.","Sei disconnesso."
"Your answers contain duplicates.","Le tue risposte contengono duplicati."
"Your password reset link has expired.","Il link per il reset della password è scaduto."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Le impostazioni del tuo server PHP ti permettono di caricare non più di %s file per volta. Modificare il valore di post_max_size (attualmente è %s) e upload_max_filesize  (attualmente è %s) in php.ini se vuoi caricare file più grandi."
"Zip/Postal Code","CAP"
"Zip/Postal Code:","CAP/Codice Postale:"
"[ deleted ]","[ eliminato ]"
"[GLOBAL]","[GLOBALE]"
"[STORE VIEW]","[VISTA NEGOZIO]"
"[WEBSITE]","[SITO WEB]"
"close","chiudi"
"critical","critico"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","esempio: ""sitemap/"" o ""/"" per il percorso di base (il percorso deve essere scrivibile)"
"example: sitemap.xml","esempio: sitemap.xml"
"failed","non riuscito"
"from","da"
"major","maggiore"
"minor","minore"
"notice","nota"
"store(%s) scope","negozio(%s) possibilità"
"successful","con successo"
"to","a"
"website(%s) scope","Ambito (%s) sito web"
