" [deleted]"," [删除]"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","这是演示商店，所有的订单将不受理。"
"This is a required field.","这是必填字段。"
"This section is not allowed.","此单元不被允许。"
"This user no longer exists.","此用户不存在。"
"Time","时间"
"Time selection:","时间选择："
"Time:","时间："
"To","至"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","若要使用 PayPal 转账链接，您必须在贝宝网站上配置您的 PayPal 转账链接帐户。"
"Toggle Editor","切换（Toggle）编辑器"
"Tools","工具"
"Top 5 Search Terms","最高的5个搜索关键词"
"Total","总额"
"Total Invoiced","总开票额"
"Total Order Amount","总订单额"
"Total Refunded","退款总计"
"Track Order","跟踪订单"
"Track this shipment","跟踪这批货"
"Tracking number %s for %s assigned","%s的物流追踪号%s已被指派。"
"Transaction Data","交易数据"
"Transaction Details","交易明细"
"Transaction ID","交易记录 ID"
"Transaction Type","交易类型"
"Transactional Emails","交易邮件"
"Transactions","交易记录"
"Type","类型"
"Type:","类型:"
"URL Rewrite Information","URL 重写信息"
"URL Rewrite Management","URL 重写管理"
"Unable to initialize import model","无法启动导入模式"
"Unable to save Cron expression","无法保存计划任务(Cron)表达式"
"Unknown","未知"
"Unlimited","无限"
"Update","更新"
"Updated At","更新"
"Upload File","上传文件"
"Upload Files","上传文件"
"Upload HTTP Error","HTTP上传错误"
"Upload I/O Error","上传 I/O 错误"
"Upload Security Error","安全上传错误"
"Upload import file","上传导入文件"
"Use All Available Attributes","使用所有可用的属性"
"Use Config Settings","使用配置设置"
"Use Default","使用默认"
"Use Default Value","使用默认值"
"Use Default Variable Values","使用变量的默认值"
"Use FTP Connection","使用 FTP 连接"
"Use Website","使用网站"
"User Email","用户电子邮件"
"User ID","用户 ID"
"User Info","用户信息"
"User Information","用户信息"
"User Name","用户名称"
"User Name:","用户名："
"User Password","用户密码"
"User Role","用户角色"
"User Roles","用户角色"
"User Roles Information","用户角色信息"
"User name","用户名"
"Users","用户管理"
"Validation Results","验证结果"
"Value","价值"
"Value Delimiter:","值定义符:"
"Variable","变量"
"Variable Code","变量的代码"
"Variable HTML Value","HTML 的变量值"
"Variable ID","可变的 ID"
"Variable Name","变量名称"
"Variable Plain Value","平原的变量值"
"View Actions XML","查看Actions XML"
"View Full Size","查看全部尺寸"
"View Statistics For:","查看统计信息为:"
"Visibility:","显示于"
"Warning","警告"
"Warning! Empty value can cause problems with CSV format.","警告！空值可能引起 CSV 格式问题。"
"Watermark File for %s","水印文件 %s"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","我们正完善 OpenMage 的功能，请耐心等候。"
"Web Services","网站服务（Web Services）"
"Web services","网站服务（Web Services）"
"Website","网站"
"What is this?","这是什么？"
"Wishlist Report","收藏报告"
"YTD","今年"
"Year","年 "
"Yes","是"
"Yes (301 Moved Permanently)","是的 (301 永久移动)"
"Yes (302 Found)","是的 (302 发现)"
"Yes (only price with tax)","是 (仅价格含税)"
"You cannot delete your own account.","您不能删除您自己的帐户。"
"You have logged out.","您已登出。"
"Your answers contain duplicates.","您的答案重复。"
"Your password reset link has expired.","您的密码重置链接已过期。"
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","您主机里PHP设置单次文件上传不能超过 %s，如果您想要上传更大的文件，请修改 php.ini中post_max_size （目前设置：%s）以及 upload_max_filesize （目前设置：%s）。"
"Zip/Postal Code","邮编"
"Zip/Postal Code:","邮编"
"[ deleted ]","[ 已删除 ]"
"[GLOBAL]","[全局]"
"[STORE VIEW]","[店铺视图]"
"[WEBSITE]","[网站]"
"close","关闭"
"critical","紧急"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","用于基准路径（路径必须可读写）。例子： ""sitemap/"" 或 ""/"" "
"example: sitemap.xml","示例: sitemap.xml"
"failed","失败"
"from","从"
"major","主要"
"minor","次要"
"notice","通知"
"store(%s) scope","商店（%s）范围"
"successful","成功"
"to","至"
"website(%s) scope","网站（%s）范围"
