"# of Use","# Kullanımda"
"%1$s incl tax.","%1$s vergi dahil."
"%s Item(s)","%s Kayıt"
"(Copy data from: %s)","(Veri kaynağı : %s)"
"Virtual Product","Sanal Ürün/Hizmet"
"Visibility","Görünürlük"
"Visible","Görünür"
"Visible on Catalog Pages on Front-end","Ön sayfadaki katalog sayfalarında görünür"
"Visible on Product View Page on Front-end","Site önyüzünde Ürün Görünümü sayfalarında görünür"
"WYSIWYG Editor","WYSIWYG Editör"
"Watermark","Kopya Koruması"
"Watermark Default Size","Kopya Koruması Boyutu"
"Watermark Position","Kopya Konumu"
"We Also Recommend","Bunları da tavsiye ediyoruz"
"Website","Web sitesi"
"Websites","Websiteleri"
"What's this?","Bu nedir?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","""Sayfa Başına X göster"" açılır menüsünde ""Tümü"" göster seçeneğinin olup olmayacağı."
"Wrong option type to get group instance.","Grup örneği alınırken Hatalı Seçenek Tipi."
"Year Range","Yıl Aralığı"
"Yes","Evet"
"You cannot remove system attribute from this set.","Sistem özelliğini bu setten özellik setinden silemezsiniz."
"You have no items to compare.","Karşılaştırılacak ürün eklemediniz."
"You may also be interested in the following product(s)","Aşağıdaki ürünleri zaten takip listenize eklediniz."
"You saved the search term.","Arama terimini kaydettiniz."
"Zoom In","Yaklaştır"
"Zoom Out","Uzaklaştır"
"and","ve"
"and above","ve üstü"
"categories","kategoriler"
"each","her"
"ex. http://domain.com","ör. http://domain.com"
"leave blank if its not an image","eğer resim değilse boş bırakınız"
"per page","sayfa başı"
"products","ürünler"
"px.","pix."
"save","kaydet"
"select all","Hepsini Seç"
"unselect all","tüm seçimi kaldır"
