" [deleted]"," [silindi]"
"Products Most Viewed Report","En çok Görülen Ürünler Raporu"
"Products Ordered","Sipariş Edilen Ürünler"
"Products in Carts","Sepetlerdeki Ürünler"
"Profile Action","Profil İşlemi"
"Profile Actions XML","Profil İşlemleri XML Dosyası"
"Profile Direction","Profil Yönü"
"Profile History","Profil Geçmişi"
"Profile Information","Profil Bilgisi"
"Profile Name","Profil Adı"
"Profile Wizard","Profil Sihirbazı"
"Profiles","Profiller"
"Promo","Promosyon"
"Promotions","Promosyonlar"
"Quantity","Miktar"
"Queue Refresh","Kuyruğu Güncelle"
"Queued... Cancel","Kuyruğa eklendi... İptal"
"Radio Buttons","Çoktan Seçmeli"
"Rates","Puanlar"
"Read details","Detayları göster"
"Rebuild","Yeniden Oluştur"
"Rebuild Catalog Index","Katalog İndeksini Yenile"
"Rebuild Flat Catalog Category","Sabit Katalog Kategori Tablosunu Yeniden Oluştur"
"Rebuild Flat Catalog Product","Sabit Ürün Tablosu Yeniden Oluştur"
"Recent Orders","Geçmiş Siparişler"
"Recent statistics have been updated.","Son istatistikler güncellendi."
"Recursive Dir","Yinelemeli Klasör"
"Redirect","Yönlendirilmiş"
"Reference ID","Referans No"
"Refresh","Yenile"
"Refresh Now*","Şimdi Yenile*"
"Refresh Statistics","Referans İstatistikleri"
"Region/State","Bölge/Eyalet"
"Regular Price:","Normal Fiyat :"
"Reject","Reddet"
"Release","Sürüm"
"Release Stability","Sürüm Stabilitesi"
"Release Version","Sürüm"
"Reload captcha","Captcha' yı yeniden yükle"
"Remote FTP","Uzak FTP"
"Remove","Kaldır"
"Reports","Raporlar"
"Request Path","İstek Yolu"
"Required","zorunlu"
"Reset","Sıfırla"
"Reset Filter","Filtreyi Sıfırla"
"Reset Password","Şifre Sıfırla"
"Reset a Password","Şifre Sıfırla"
"Resize","Boyutlandır"
"Resource Access","Kaynak Erişimi"
"Resources","Kaynaklar"
"Results","Sonuçlar"
"Retrieve Password","Şifre Getir"
"Return Html Version","Html Sürümüne Dön"
"Revenue","Gelir"
"Reviews","Yorumlar"
"Reviews and Ratings","Yorumlar ve Puanlar"
"Role ID","Yetki Sınıfı No"
"Role Info","Yetki Sınıfı Bilgisi"
"Role Information","Yetki Sınıfı Bilgisi"
"Role Name","Yetki Sınıfı Adı"
"Role Resources","Yetki Sınıfı Kaynakları"
"Role Users","Yetki Sınıfı Kullanıcıları"
"Roles","Yetki Sınıfları"
"Roles Resources","Yetki Sınıfı Kaynakları"
"Root Category","Ana Kategori"
"Rotate CCW","Saat yönü tersine döndür"
"Rotate CW","Saat yönünde döndür"
"Run","Çalıştır"
"Run Profile","Profil Çalıştır"
"Run Profile Inside This Window","Profili bu pencerede çalıştır"
"Running... Kill","Çalışıyor... Sonlandır"
"SKU","Ürün Kodu"
"SKU:","Ürün Kodu:"
"SSL Error: Invalid or self-signed certificate","SSL Hatası: Hatalı veya yerel olarak imzalanmış sertifika"
"Sales","Satışlar"
"Sales Report","Satış Raporu"
"Samples","Örnekler"
"Save","Kaydet"
"Save & Generate","Kaydet & Üret"
"Save Account","Hesabı Kaydet"
"Save Block","Bloku Kaydet"
"Save Cache Settings","Ön Bellek Ayarlarını Kaydet"
"Save Config","Ayarları Kaydet"
"Save Currency Rates","Döviz kurlarını kaydet"
"Save Profile","Profili Kaydet"
"Save Role","Yetki Sınıfı Kaydet"
"Save Template","Şablonu Kaydet"
"Save User","Kullanıcıyı Kaydet"
"Save and Continue Edit","Kaydet ve Devam Et"
"Search","Arama"
"Search Index","Arama İndeksi"
"Search Term","Arama terimi"
"Search Terms","Arama terimleri"
"Search entire store here...","Aranan kelimeyi buraya yazınız..."
"Select","Seçiniz"
"Select All","Hepsini Seç"
"Select Category","Kategori Seçiniz"
"Select Date","Tarih seçiniz"
"Select Range","Aralık Seç"
"Select date","Tarih Seç"
"Sender","Gönderici"
"Separate Email","Ayrı E-posta"
"Shipment #%s comment added","#%s için Kargo Notu eklendi"
"Shipment #%s created","#%s Kargo Oluşturuldu"
"Shipment Comments","Kargo Açıklamaları"
"Shipment History","Kargo Geçmişi"
"Shipments","Teslimatlar"
"Shipping","Kargo"
"Shipping Address","Teslimat Adresi"
"Shipping Address: ","Teslimat Adresi: "
"Shipping Origin","Teslimat Merkezi"
"Shipping Price","Kargo Ücreti"
"Shipping address selection is not applicable","Teslimat adresi seçimi uygulanamaz"
"Shipping method selection is not applicable","Teslimat yöntemi seçimi uygulanamaz"
"Shopping Cart","Alışveriş Sepeti"
"Shopping Cart Price Rules","Alışveriş Sepeti Fiyat Kuralları"
"Shopping Cart from %s","%s Alışveriş Sepeti"
"Show By","Tarafından Gösteriliyor"
"Show Report For:","Rapor Göster:"
"Show Reviews","Yorumları Bak"
"Sitemap Information","Site Haritası Bilgisi"
"Size for %s","%s Boyutu"
"Skip Category Selection","Kategori seçimini atla"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Bu siparişteki bazı ürünler farklı fatura ve teslimat bilgisine sahip. Teslimat bilgisini sadece faturadan sonra oluşturabilirsiniz."
"Sorry, this feature is coming soon...","Üzgünüz, bu özellik daha sonra aktif olacaktır..."
"Special Price:","Özel Fiyat:"
"Specific Countries","Seçilen Ülkeler"
"Specified","Özel"
"Spreadsheet Name:","Çizelge Adı :"
"Start Date","Başlangıç Tarihi"
"Starting at:","Başlama :"
"Starting profile execution, please wait...","Profil başlatılıyor, lütfen bekleyiniz..."
"State/Province:","İl:"
"Static Blocks","Statik blok"
"Status","Durum"
"Status:","Durum:"
"Stock Quantity:","Stoktaki Adet :"
"Store","Mağaza"
"Store View","Mağaza Görünümü"
"Store:","Mağaza:"
"Stores","Mağazalar"
"Subject","Konu"
"Submit","Gönder"
"Subtotal","Ara Toplam"
"Switch/Solo card issue number: %s","Switch/Solo kart numarası : %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo kart başlama tarihi : %s/%s"
"Switch/Solo/Maestro Only","Sadece Switch/Solo/Maestro"
"Switch/Solo/Maestro(UK Domestic) Only","Sadece Switch/Solo/Maestro (Sadece İngiltere Kullanımı)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Sadece Switch/Solo/Maestro (Sadece İngiltere Kullanımı) kart no : %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Sadece Switch/Solo/Maestro (Sadece İngiltere Kullanımı) başlama tarihi : %s/%s"
"Synchronize","Eşitleme"
"Synchronizing...","Eşitleniyor..."
"System","Sistem"
"Tags","Etiketler"
"Target Path","Hedef Dizin"
"Tax","Vergi"
"Template","Şablon"
"Template Content","Şablon İçeriği"
"Template Information","Şablon Bilgisi"
"Template Name","Şablon Adı"
"Template Styles","Şablon Stilleri"
"Template Subject","Şablon Konusu"
"Template Type","Şablon Tipi"
"Temporary (302)","Geçici (302)"
"Terms and Conditions","Şartlar ve Koşullar"
"Text","Yazı"
"The JavaScript/CSS cache has been cleaned.","JavaScript/CSS ön belleği temizlendi."
"The URL Rewrite has been saved.","URL yeniden yazım kaydedildi."
"The archive can be uncompressed with <a href=""%s"">%s</a> on Windows systems","Bu arşiv dosyası Windows İşletim Sisteminde <a href=""%s"">%s</a> ile açılır"
"The attribute set has been removed.","Özellik seti silindi."
"The credit memo has been canceled.","İade kaydı iptal edildi."
"The image cache was cleaned.","Resim ön belleği temizlendi."
"The invoice has been captured.","Fatura tahsil edildi."
"The invoice has been created.","Fatura oluşturuldu."
"The invoice has been voided.","Fatura iptal edildi."
"The order no longer exists.","Sipariş bulunamadı."
"The shipment has been created.","Teslimat oluşturuldu."
"The transaction details have been updated.","İşlem detayları güncellendi."
"There is an error in one of the option rows.","Seçenek satırlarından birinde hata meydana geldi."
"This account is","Bu hesap "
"This account is inactive.","Bu hesap pasif."
"This action cannot be undone.","Bu işlem geri alınamaz."
"This attribute shares the same value in all the stores","Bu özellik bütün mağazalarda aynı değeri paylaşır"
"This block no longer exists.","Blok bulunamıyor."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Bu bir demo mağazadır. Vereceğiniz siparişler ve yaptığınız işlemler dikkate alınmayacaktır."
"This is a required field.","Bu gerekli bir alandır."
"This section is not allowed.","Bu bölüme izin verilmiyor."
"This user no longer exists.","Kullanıcı bulunamıyor."
"Time","Saat"
"Time selection:","Saat Seçimi :"
"Time:","Saat :"
"To","Bit"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","PayPal Payflow Linki kullanmak için, PayPal websitesinde PayPal Payflow Link hesabı açmalısınız."
"Toggle Editor","Editör Seçimi"
"Tools","Araçlar"
"Top 5 Search Terms","En Çok Aranan 5 Kelime"
"Total","Toplam"
"Total Invoiced","Toplam Faturalanmış"
"Total Order Amount","Toplam Sipariş Tutarı"
"Total Refunded","Toplam İade Edilenler"
"Track Order","Siparişi Takip Et"
"Track this shipment","Kargoyu izle"
"Tracking number %s for %s assigned","İzleme numarası %s ( %s için ) eşleştirildi"
"Transaction Data","İşlem Verisi"
"Transaction Details","İşlem Detayları"
"Transaction ID","İşlem ID"
"Transaction Type","İşlem Tipi"
"Transactional Emails","İşlem E-postaları"
"Transactions","İşlemler"
"Type","Tip"
"Type:","Tip:"
"URL Rewrite Information","URL yeniden yazım bilgisi"
"URL Rewrite Management","URL yeniden yazım yönetimi"
"Unable to initialize import model","Veri alma modeli başlatılamadı"
"Unable to save Cron expression","Cron ifadesi kaydedilemiyor"
"Unknown","Bilinmeyen"
"Unlimited","Sınırsız"
"Update","Güncelle"
"Updated At","Güncelleme Tarihi"
"Upload File","Dosya Yükle"
"Upload Files","Dosya Yükle"
"Upload HTTP Error","HTTP Dosya Yükleme Hatası"
"Upload I/O Error","Dosya Yüklemede G/Ç Hatası"
"Upload Security Error","Dosya Yükleme Güvenlik Hatası"
"Upload import file","Veri alınacak dosyayı yükle"
"Use All Available Attributes","Tüm Kullanılabilir Özellikleri Kullan"
"Use Config Settings","Yapılandırma Ayarlarını Kullan"
"Use Default","Varsayılanı Kullan"
"Use Default Value","Varsayılan Değeri Kullan"
"Use Default Variable Values","Varsayılan Değişken Değerlerini Kullan"
"Use FTP Connection","FTP bağlantısı kullan"
"Use Website","Websitesini Kullan"
"User Email","Kullanıcı E-posta Adresi"
"User ID","Kullanıcı ID"
"User Info","Kullanıcı Bilgisi"
"User Information","Kullanıcı Bilgisi"
"User Name","Kullanıcı Adı"
"User Name:","Kullanıcı Adı:"
"User Password","Şifre"
"User Role","Kullanıcı Yetkisi"
"User Roles","Kullanıcı Yetkileri"
"User Roles Information","Kullanıcı Yetki Bilgisi"
"User name","Kullanıcı Adı"
"Users","Kullanıcılar"
"Validation Results","Doğrulama Sonuçları"
"Value","Değer"
"Value Delimiter:","Değer Ayırıcısı :"
"Variable","Değişken"
"Variable Code","Değişken Kodu"
"Variable HTML Value","Değişken HTML değeri"
"Variable ID","Değişken No"
"Variable Name","Değişken Adı"
"Variable Plain Value","Değişken Değeri"
"View Actions XML","İşlemler XML Dosyasını göster"
"View Full Size","Tam Boyutu Göster"
"View Statistics For:","İstatistik Göster:"
"Visibility:","Görünürlük :"
"Warning","Tehlike"
"Warning! Empty value can cause problems with CSV format.","Dikkat! Boş değerler CSV formatında sorunlara neden olabilir."
"Watermark File for %s","%s için Kopya Koruması Dosyası"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","OpenMage sürekli geliştiriliyor. Sabrınız için teşekkür ederiz."
"Web Services","Web Hizmetleri"
"Web services","Web hizmetleri"
"Website","Web sitesi"
"What is this?","Bu nedir?"
"Wishlist Report","İstek Listesi Raporu"
"YTD","Son 2 Ay"
"Year","Yıl"
"Yes","Evet"
"Yes (301 Moved Permanently)","Evet (301 Kalıcı olarak Taşındı)"
"Yes (302 Found)","Evet (302 Bulundu)"
"Yes (only price with tax)","Evet (sadece vergi dahil fiyat)"
"You cannot delete your own account.","Kendi hesabınızı silemezsiniz."
"You have logged out.","Oturumunuz kapatıldı."
"Your answers contain duplicates.","Cevaplarınızda çift kayıt var."
"Your password reset link has expired.","Şifre sıfırlama bağlantısının kullanım süresi doldu."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","
Sunucu ayarlarınız bir kerede %s adet dosya yüklemeye izin veriyor. Daha fazla sayıda ve daha büyük dosyalar yüklemek istiyorsanız, php.ini dosyasındaki post_max_size değerini (mevcut değer: %s) ve upload_max_filesize değerini (mevcut değer: %s) yükseltin."
"Zip/Postal Code","Zip/Posta Kodu"
"Zip/Postal Code:","Zip/Posta Kodu:"
"[ deleted ]","[ silindi ]"
"[GLOBAL]","[GENEL]"
"[STORE VIEW]","[MAĞAZA GÖRÜNÜMÜ]"
"[WEBSITE]","[WEB SİTESİ]"
"close","kapat"
"critical","kritik"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","örnek: ""sitemap/"" veya ana dizin için ""/"" kullanınız (klasör web sunucusu tarafından yazılabilir olmalıdır)"
"example: sitemap.xml","örnek: sitemap.xml"
"failed","tamamlanamadı"
"from","Baş"
"major","büyük"
"minor","küçük"
"notice","bilgi"
"store(%s) scope","mağaza(%s) havuzu"
"successful","başarılı"
"to","Bit"
"website(%s) scope","web sitesi (%s) havuzu"
