" [deleted]"," [apagado]"
"Running... Kill","Executando... Terminar"
"SKU","Código de Produto:"
"SKU:","ID do produto:"
"SSL Error: Invalid or self-signed certificate","Erro de SSL: certificado inválido"
"Sales","Vendas"
"Sales Report","Relatório de vendas"
"Samples","Exemplos"
"Save","Salvar"
"Save & Generate","Salvar e gerar"
"Save Account","Salvar Conta"
"Save Block","Salvar bloco"
"Save Cache Settings","Salvar Configurações de Cache"
"Save Config","Gravar Configuração"
"Save Currency Rates","Gravar Taxas de Câmbio"
"Save Profile","Salvar perfil"
"Save Role","Salvar Permissão"
"Save Template","Salvar Template"
"Save User","Salvar Usuário"
"Save and Continue Edit","Salvar e Continuar a Editar"
"Search","Pesquisa"
"Search Index","Índice de Pesquisa"
"Search Term","Termo de pesquisa"
"Search Terms","Termos de Pesquisa"
"Search entire store here...","Pesquisa em toda loja..."
"Select","Selecione"
"Select All","Selecionar Todos"
"Select Category","Selecionar categoria"
"Select Date","Selecionar data"
"Select Range","Selecionar intervalo"
"Select date","Selecionar data"
"Sender","Remetente"
"Separate Email","Separar o E-mail"
"Shipment #%s comment added","Comentário da postagem número %s adicionado"
"Shipment #%s created","Postagem número %s criado"
"Shipment Comments","Comentários sobre o envio"
"Shipment History","Histórico da Entrega"
"Shipments","Postagens"
"Shipping","Frete"
"Shipping Address","Endereço de entrega"
"Shipping Address: ","Endereço de entrega: "
"Shipping Origin","Origem da Expedição"
"Shipping Price","Preço do envio"
"Shipping address selection is not applicable","Endereço de envio não é aplicável"
"Shipping method selection is not applicable","Método de envio não é aplicável"
"Shopping Cart","Carrinho de Compras"
"Shopping Cart Price Rules","Regras de preço do carrinho de compras"
"Shopping Cart from %s","Carrinho de compras de %s"
"Show By","Mostrar por"
"Show Report For:","Mostre relatório para:"
"Show Reviews","Permitir Comentários"
"Sitemap Information","Informações de mapa do site"
"Size for %s","Tamanho para %s"
"Skip Category Selection","Pular Seleção de Categoria"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Alguns itens neste pedido contém faturas e postagens diferentes. Você pode criar a postagem somente depois de faturar o pedido."
"Sorry, this feature is coming soon...","Desculpe, esta funcionalidade está em desenvolvimento..."
"Special Price:","Preço especial:"
"Specific Countries","Países específicos"
"Specified","Especificado"
"Spreadsheet Name:","Nome da planilha:"
"Start Date","Data de Início"
"Starting at:","A partir de:"
"Starting profile execution, please wait...","Iniciando execução do perfil, por favor aguarde..."
"State/Province:","Estado/Cidade:"
"Static Blocks","Blocos estáticos"
"Status","Situação"
"Status:","Estado:"
"Stock Quantity:","Quantidade em estoque:"
"Store","Loja"
"Store Email Addresses Section","Seção de E-mails da Loja"
"Store View","Visão de Loja"
"Store:","Loja:"
"Stores","Lojas"
"Subject","Assunto"
"Submit","Enviar"
"Subtotal","Sub-total"
"Switch/Solo card issue number: %s","Switch/Solo número de emissão do cartão: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo data de início do cartão: %s/%s"
"Switch/Solo/Maestro Only","Apenas Switch/Solo/Maestro"
"Switch/Solo/Maestro(UK Domestic) Only","Switch/Solo/Maestro(UK Domestic) somente"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK Domestic) número de emissão do cartão: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(UK Domestic) data de início do cartão: %s/%s"
"Synchronize","Sincronizar"
"Synchronizing...","Sincronizando..."
"System","Sistema"
"System Section","Seção de Sistema"
"Tags","Marcadores"
"Target Path","Caminho de Destino"
"Tax","Taxa"
"Template","Modelo"
"Template Content","Conteúdo do Template"
"Template Information","Informações do template"
"Template Name","Nome do template"
"Template Styles","Estilos de template"
"Template Subject","Assunto do Template"
"Template Type","Tipo de modelo"
"Temporary (302)","Temporário (302)"
"Terms and Conditions","Termos e Condições"
"Text","Texto"
"The JavaScript/CSS cache has been cleaned.","O cache do JavaScript/CSS foi limpo."
"The Magento cache storage has been flushed.","O armazenamento de cache do Magento foi liberado."
"The URL Rewrite has been saved.","A reescrita de URL foi salva."
"The archive can be uncompressed with <a href=""%s"">%s</a> on Windows systems","O arquivio pode ser descompactado com <a href=""%s"">%s</a> em sistemas Windows"
"The attribute set has been removed.","O conjunto de atributos foi removido."
"The credit memo has been canceled.","O memorando de crédito foi cancelado."
"The image cache was cleaned.","O cache de imagem foi limpo."
"The invoice has been captured.","A fatura foi capturada."
"The invoice has been created.","A fatura foi criada."
"The invoice has been voided.","A fatura foi anulada."
"The order no longer exists.","O pedido não existe mais."
"The shipment has been created.","A remessa foi criada."
"The transaction details have been updated.","Os detalhes da transação foram atualizados."
"There is an error in one of the option rows.","Há um erro em uma das linhas de opções."
"This account is","Esta conta é"
"This account is inactive.","Esta conta está inativa."
"This action cannot be undone.","Esta ação não pode ser desfeita."
"This attribute shares the same value in all the stores","Este atributo compartilha o mesmo valor em todas lojas"
"This block no longer exists.","Este bloco não existe mais."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Esta é a Loja de Demonstração. Quaisquer pedidos feitos nesta loja não serão honrados ou realizados."
"This is a required field.","Campo obrigatório."
"This section is not allowed.","Esta seção não é permitida."
"This user no longer exists.","Este usuário não existe mais."
"Time","Tempo"
"Time selection:","Selecionar hora:"
"Time:","Hora:"
"To","Até"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","Para usar o PayPal Payflow Link, deve configurar sua conta de pagamentos PayPal Payflow Link no site do PayPal."
"Toggle Editor","Trocar editor"
"Tools","Ferramentas"
"Top 5 Search Terms","Top 5 termos de busca"
"Total Invoiced","Total faturado"
"Total Order Amount","Valor total do pedido"
"Total Refunded","Total reembolsado"
"Track Order","Rastrear Pedido"
"Track this shipment","Rastrear esta entrega"
"Tracking number %s for %s assigned","Número de rastreamento %s para %s associado"
"Transaction Data","Dados da Transação"
"Transaction Details","Detalhes da transação"
"Transaction ID","ID Transação"
"Transaction Type","Tipo de Transação"
"Transactional Emails","E-mails transacionais"
"Transactions","Transações"
"Type","Tipo"
"Type:","Tipo:"
"URL Rewrite Information","Informação de Reescrita de URL"
"URL Rewrite Management","Gerenciamento de Reescrita de URL"
"Unable to initialize import model","Não foi possível inicializar modelo de importação"
"Unable to save Cron expression","Não foi possível salvar expressão de cron"
"Unknown","Desconhecido"
"Unlimited","Ilimitado"
"Update","Atualizar"
"Updated At","Atualizado por"
"Upload File","Enviar Arquivo"
"Upload Files","Enviar Arquivo"
"Upload HTTP Error","Erro de carregamento HTTP"
"Upload I/O Error","Erro de carregamento de entrada/saída"
"Upload Security Error","Erro de carregamento de segurança"
"Upload import file","Carregar arquivo de importação"
"Use All Available Attributes","Usar todos os atributos disponíveis"
"Use Config Settings","Usar Configurações padrão"
"Use Default","Usar Padrão"
"Use Default Value","Utilizar Valor Padrão"
"Use Default Variable Values","Usar valores padrões da variável"
"Use FTP Connection","Usar Conexão FTP"
"Use Website","Usar Website"
"User Email","E-mail de Usuário"
"User ID","ID de Usuário"
"User Info","Informações de Usuário"
"User Information","Informações do Usuário"
"User Name","Nome de Usuário"
"User Name:","Nome de usuário:"
"User Password","Senha de usuário"
"User Role","Permissões de Acesso"
"User Roles","Funções de Usuário"
"User Roles Information","Informações das Permissões do Usuário"
"User name","Nome de usuário"
"Users","Usuários"
"Validation Results","Resultados da Validação"
"Value","Valor"
"Value Delimiter:","Delimitador de valores:"
"Variable","Variável"
"Variable Code","Código da variável"
"Variable HTML Value","Valor da variável HTML"
"Variable ID","Variável ID"
"Variable Name","Nome da variável"
"Variable Plain Value","Valor de variável em texto simples"
"View Actions XML","Visualizar XML de ações"
"View Full Size","Ver Tamanho Completo"
"View Statistics For:","Exibir Estatísticas para:"
"Visibility:","Visibilidade:"
"Warning","Atenção"
"Warning! Empty value can cause problems with CSV format.","Alerta! Valor vazio pode causar problemas com o formato CSV."
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Atenção!rnEsta ação irá remover este usuário do cargo atribuídornVocê tem certeza?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Alerta!rnEsta ação irá remover esses usuários dos cargos atribuídosrnVocê tem certeza?"
"Watermark File for %s","Arquivo de marca d'água para %s"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","Estamos no nosso escritório, melhorando o Magento. Obrigado por sua paciência."
"Web Section","Seção Web"
"Web Services","Serviços web"
"Web services","Serviços web"
"Website","Site"
"What is this?","O que é isto?"
"Wishlist Report","Relatório de lista de desejos"
"YTD","Acumulado no ano"
"Year","Ano"
"Yes","Sim"
"Yes (301 Moved Permanently)","Sim (301 movido permanentemente)"
"Yes (302 Found)","Sim (302 encontrados)"
"Yes (only price with tax)","Sim (apenas o preço com imposto)"
"You cannot delete your own account.","Você não pode apagar sua própria conta."
"You have logged out.","Você saiu."
"Your answers contain duplicates.","Suas respostas contém duplicações."
"Your password reset link has expired.","Seu link de redefinição de senha expirou."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","As configurações do seu servidor PHP não permite carregar arquivos com mais de %s. Por favor, modifique no arquivo php.ini o post_max_size (valor atual: %s) e o upload_max_filesize (valor atual: %s) se você deseja carregar arquivos maiores."
"Zip/Postal Code","CEP"
"Zip/Postal Code:","CEP:"
"[ deleted ]","[ apagado ]"
"[STORE VIEW]","[VISÃO DE LOJA]"
"close","fechar"
"critical","crítico"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","exemplo: ""sitemap/"" ou ""/"" para caminho base (caminho deve ter permissão de escrita)"
"example: sitemap.xml","exemplo: sitemap. xml"
"failed","falhou"
"from","de"
"major","importante"
"minor","secundário"
"notice","aviso"
"store(%s) scope","escopo da loja(%s)"
"successful","bem sucedido"
"to","para"
"website(%s) scope","escopo do website(%s)"
