" [deleted]"," [ slettet]"
"The credit memo has been canceled.","Kreditnotaen er blevet annulleret."
"The image cache was cleaned.","Billede cache er slettet."
"The invoice has been captured.","Fakturaen er oprettet."
"The invoice has been created.","Fakturaen er oprettet."
"The invoice has been voided.","Fakturaen er blevet annulleret."
"The order no longer exists.","Rækkefølgen findes ikke længere."
"The shipment has been created.","Forsendelsen er blevet oprettet."
"This account is","Denne konto er"
"This action cannot be undone.","Dette kan ikke ikke ændres igen."
"This attribute shares the same value in all the stores","Denne egenskab har samme værdi i alle forretninger"
"This block no longer exists.","Denne blok eksisterer ikke længere."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Dette er en demoshop. Ordrer afgivet igennem denne shop vil ikke blive gennemført."
"This is a required field.","Dette er et obligatorisk felt."
"This section is not allowed.","Denne del er ikke tilladt."
"This user no longer exists.","Denne bruger eksisterer ikke længere."
"Time","Tid"
"Time selection:","Tidsvalg:"
"Time:","Tid:"
"To","Til"
"Toggle Editor","Slå editor til/fra"
"Tools","Værktøjer"
"Top 5 Search Terms","Top 5 søgninger"
"Total","I alt"
"Total Invoiced","Total faktureret"
"Total Order Amount","Samlet ordrebeløb"
"Total Refunded","Refunderet i alt"
"Track Order","Track ordre"
"Track this shipment","Track denne leverance"
"Tracking number %s for %s assigned","Tracking-nr %s for %s blev tildelt"
"Transaction Data","Transaktionsdata"
"Transaction Details","Transaktionsoplysninger"
"Transaction ID","Transaktions-ID"
"Transaction Type","Transaktionstype"
"Transactional Emails","E-mails"
"Transactions","Transaktioner"
"Unable to initialize import model","Import-model kunne ikke initialiseres"
"Unable to save Cron expression","Kunne ikke gemme Cron-udtryk"
"Unknown","Ukendt"
"Unlimited","Ubegrænset"
"Update","Opdater"
"Updated At","Opdateret d."
"Upload File","Upload fil"
"Upload Files","Upload filer"
"Upload HTTP Error","Fejl: Problemer med HTTP under upload"
"Upload I/O Error","Fejl: Problemer med skrivning eller læsning under upload"
"Upload Security Error","Upload sikkerhedsfejl"
"Upload import file","Upload importfil"
"Use All Available Attributes","Bruge alle tilgængelige attributter"
"Use Config Settings","Brug Konfigurationsindstillinger"
"Use Default","Brug standard"
"Use Default Value","Brug standardværdi"
"Use Default Variable Values","Bruge standard Variable værdier"
"Use FTP Connection","Brug FTP-forbindelse"
"Use Website","Brug hjemmeside"
"User Email","Bruger Email"
"User ID","Bruger-ID"
"User Info","Brugeroplysninger"
"User Information","Brugerinformation"
"User Name","Brugernavn"
"User Name:","Brugernavn:"
"User Password","Bruger Password"
"User Role","Brugerrolle"
"User Roles","Brugerroller"
"User Roles Information","Brugerroller - detaljer"
"User name","Brugernavn"
"Users","Brugere"
"Value","Værdi"
"Value Delimiter:","Separator:"
"Variable","Variabel"
"Variable Code","Variable koden"
"Variable HTML Value","HTML variabelværdi"
"Variable Name","Variabelnavnet"
"View Actions XML","Vis handlings-XML"
"View Full Size","Vis Fuld Størrelse"
"View Statistics For:","Se statistikker for:"
"Visibility:","Synlighed:"
"Warning","Advarsel"
"Warning! Empty value can cause problems with CSV format.","Advarsel! En tom værdi kan give problemer med CSV-formatet."
"Watermark File for %s","Vandmærkefil for %s"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","Vi sidder foran skærmen og koder løs på nye features til OpenMage. Tak for tålmodigheden."
"Website","Hjemmeside"
"What is this?","Hvad er dette?"
"Wishlist Report","Ønskesedler"
"YTD","ÅTD"
"Year","År"
"Yes","Ja"
"Yes (301 Moved Permanently)","Ja (301 Flyttet permanent)"
"Yes (302 Found)","Ja (302 Fundet)"
"Yes (only price with tax)","Ja (kun pris med moms)"
"You cannot delete your own account.","Du kan ikke slette din egen konto."
"You have logged out.","Du har logget af."
"Your answers contain duplicates.","Dine svar indeholder dubletter."
"Your password reset link has expired.","Dit link til nulstilling af adgangskode er udløbet."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Din servers PHP-indstillinger tillader ikke at uploade mere end %s ad gangen. Modificer værdierne for post_max_size (i øjeblikket %s) og upload_max_filesize (i øjeblikket %s) i php.ini hvis du vil uploade større filer."
"Zip/Postal Code","Postnummer"
"Zip/Postal Code:","Postnummer:"
"[ deleted ]","[ slettet ]"
"[STORE VIEW]","[BUTIK VISNING]"
"[WEBSITE]","[WEBSIDE]"
"close","luk"
"critical","kritisk"
"example: sitemap.xml","eksempel: sitemap.xml"
"failed","mislykkedes"
"from","fra"
"major","alvorlig"
"minor","mindre"
"notice","info"
"store(%s) scope","Butik(%s) anvendelsesområde"
"successful","succes"
"to","til"
"website(%s) scope","Website(%s) anvendelsesområde"
