" and ","ja"
"Save User","Tallenna käyttäjä"
"Save and Continue Edit","Tallenna ja jatka muokkaamista"
"Search","Haku"
"Search Index","Hakuindeksi"
"Search Term","Hakusana"
"Search Terms","Hakusanat"
"Search entire store here...","Hae koko sivustosta..."
"Select","Valitse"
"Select All","Valitse kaikki"
"Select Category","Valitse kategoria"
"Select Date","Valitse päivämäärä"
"Select Range","Valitse aikaväli"
"Select date","Valitse päivämäärä"
"Sender","Lähettäjä"
"Shipment #%s comment added","Lähetyksen #%s kommentti lisätty"
"Shipment #%s created","Lähetys #%s luotu"
"Shipment Comments","Lähetyksen kommentit"
"Shipment History","Lähetyshistoria"
"Shipments","Lähetykset"
"Shipping","Toimitus"
"Shipping Address","Toimitusosoite"
"Shipping Address: ","Toimitusosoite: "
"Shipping Price","Toimitushinta"
"Shipping address selection is not applicable","Valittu toimitusosoite ei sovellu"
"Shipping method selection is not applicable","Toimitustavan valinta ei ole sopiva."
"Shopping Cart","Ostoskori"
"Shopping Cart Price Rules","Ostoskorin hintasäännöt"
"Shopping Cart from %s","Ostoskori (mistä) %s"
"Show By","Selaa"
"Show Reviews","Näytä arvostelut"
"Sitemap Information","Sivukartan tiedot"
"Size for %s","Koko (mille) %s"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Joillakin tuotteilla tässä tilauksessa on eri lasku- ja lähetystyypit. Voit luoda lähetyksen vain laskun luonnin jälkeen."
"Sorry, this feature is coming soon...","Tämä ominaisuus ei ole vielä valmis..."
"Special Price:","Erikoishinta:"
"Specific Countries","Tiettyihin maihin"
"Spreadsheet Name:","Taulukon nimi:"
"Start Date","Alkamispäivä"
"Starting at:","Alkaen:"
"Starting profile execution, please wait...","Aloitetaan profiilin suorittaminen, ole hyvä ja odota..."
"State/Province:","Osavaltio/provinssi:"
"Static Blocks","Staattiset lohkot"
"Status","Tila"
"Status:","Tila:"
"Stock Quantity:","Varaston määrä:"
"Store","Kauppa"
"Store View","Kauppanäkymä"
"Store:","Kauppa:"
"Stores","Kaupat"
"Subject","Aihe"
"Submit","Lähetä"
"Subtotal","Välisumma"
"Switch/Solo card issue number: %s","Switch/Solo-kortin asianumero: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo-kortin alkamispäivä: %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Vain Switch/Solo/Maestro(UK Domestic)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK Domestic)-kortin asianumero: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(UK Domestic)-kortin alkamispäivä: %s/%s"
"Synchronize","Synkronoi"
"Synchronizing...","Synkronoidaan..."
"System","Järjestelmä"
"Tags","Tunnisteet"
"Target Path","Kohdepolku"
"Tax","Vero"
"Tb","Total basis"
"Template","Malli"
"Template Content","Mallin sisältö"
"Template Information","Tietoja mallipohjasta"
"Template Name","Mallipohjan nimi"
"Template Styles","Mallipohjatyylit"
"Template Subject","Mallin aihe"
"Template Type","Mallityyppi"
"Temporary (302)","Tilapäinen (302)"
"Terms and Conditions","Käyttöehdot"
"Text","Teksti"
"The JavaScript/CSS cache has been cleaned.","JavaScript/CSS-välimuisti on puhdistettu."
"The OpenMage cache storage has been flushed.","OpenMagen välimuistitila on tyhjennetty."
"The archive can be uncompressed with <a href=""%s"">%s</a> on Windows systems","Arkiston voi purkaa <a href=""%s"">%s</a> -ohjelmalla Windows-käyttöjärjestelmässä"
"The attribute set has been removed.","Attribuuttiryhmä on poistettu."
"The image cache was cleaned.","Kuvavälimuisti puhdistettiin."
"The order no longer exists.","Tilausta ei ole enää olemassa."
"The shipment has been created.","Lähetys on luotu."
"This account is","Tämä tili on"
"This account is inactive.","Tämä tili ei ole käytössä."
"This action cannot be undone.","Tätä toimintoa ei voi kumota."
"This attribute shares the same value in all the stores","Tämä ominaisuus jakaa saman arvon kaikissa kaupoissa"
"This block no longer exists.","Tätä lohkoa ei ole enää olemassa."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Tämä on demo-kauppa. Kaupassa tehtyjä tilauksia ei toimiteta."
"This is a required field.","Tämä on pakollinen kenttä."
"This section is not allowed.","Pääsy tähän osioon on kielletty."
"This user no longer exists.","Tätä käyttäjää ei ole enää olemassa."
"Time","Aika"
"Time selection:","Ajan valinta:"
"Time:","Aika:"
"To","Asti"
"Toggle Editor","Vaihda editoriin"
"Tools","Työkalut"
"Top 5 Search Terms","Suosituimmat 5 hakusanaa"
"Total","Yhteensä"
"Total Invoiced","Laskutettu yhteensä"
"Total Order Amount","Tilausten kokonaishinta"
"Total Refunded","Yhteensä hyvitetty"
"Track Order","Seuraa tilausta"
"Track this shipment","Seuraa lähetystä"
"Tracking number %s for %s assigned","Seurantakoodi %s tilaukselle %s annettu"
"Transaction ID","Maksun ID"
"Transaction Type","Tapahtumatyyppi"
"Transactional Emails","Transaktioihin liittyvät sähköpostit"
"Transactions","Tapahtumat"
"Type","Tyyppi"
"Type:","Tyyppi:"
"URL Rewrite Management","URL-uudelleenohjauksien hallinta"
"Unable to initialize import model","Tuomisen mallia ei voida ottaa käyttöön"
"Unable to save Cron expression","Cron-asetusta ei voida tallentaa"
"Unknown","Tuntematon"
"Unlimited","Rajaton"
"Update","Päivitä"
"Updated At","Päivitetty (missä)"
"Upload File","Lähetä tiedosto"
"Upload Files","Lähetä tiedostoja"
"Upload HTTP Error","Siirto: HTTP-virhe"
"Upload I/O Error","Siirto: I/O-virhe"
"Upload Security Error","Siirto: turvallisuusvirhe"
"Upload import file","Siirrä tuotava tiedosto"
"Use All Available Attributes","Käytä kaikkia käytettävissä olevia attribuutteja"
"Use Config Settings","Käytä kokoonpanon asetuksia"
"Use Default","Käytä oletusta"
"Use Default Value","Käytä oletusarvoa"
"Use FTP Connection","Käytä FTP-yhteyttä"
"Use Website","Käytä sivustoa"
"User Email","Käyttäjän sähköpostiosoite"
"User ID","Käyttäjätunnus"
"User Info","Käyttäjätiedot"
"User Information","Käyttäjätiedot"
"User Name","Käyttäjänimi"
"User Name:","Käyttäjätunnus:"
"User Password","Käyttäjän salasana"
"User Role","Käyttäjärooli"
"User Roles","Käyttäjäroolit"
"User Roles Information","Käyttäjäroolien tiedot"
"User name","Käyttäjätunnus"
"Users","Käyttäjät"
"Value","Arvo"
"Value Delimiter:","Arvon erotinmerkki:"
"Variable","Muuttuva"
"Variable Name","Muuttujan nimi"
"View Actions XML","Toimintojen XML:n tarkastelu"
"View Full Size","Näytä täysikokoisena"
"View Statistics For:","Näytä tilastot:"
"Visibility:","Näkyvyys:"
"Warning","Varoitus"
"Warning! Empty value can cause problems with CSV format.","Varoitus! Tyhjä arvo voi aiheuttaa ongelmia käytettäessä CSV-muotoa."
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Varoitus!rnTämä toiminto poistaa käyttäjän aiemmin määritellystä roolistarnOletko varma?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Varoitus!rnTämä toiminto poistaa käyttäjät aiemmin määritellyistä rooleistarnOletko varma?"
"Watermark File for %s","Vesileiman tiedosto kuvalle %s"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","Olemme työpöytämme ääressä koodaamassa uusia ominaisuuksia OpenMageon. Kiitoksia kärsivällisyydestäsi."
"Website","Sivusto"
"What is this?","Mikä tämä on?"
"Wishlist Report","Toivelistan raportti"
"YTD","Vuoden alusta"
"Year","Vuosi"
"Yes","Kyllä"
"Yes (301 Moved Permanently)","Kyllä (301 siirretty pysyvästi)"
"Yes (302 Found)","Kyllä (302 löytyi)"
"Yes (only price with tax)","Kyllä (vain verollinen hinta)"
"You cannot delete your own account.","Et voi poistaa omaa tiliäsi."
"You have logged out.","Olet kirjautunut ulos."
"Your answers contain duplicates.","Vastauksissasi on päällekkäisyyksiä."
"Your password reset link has expired.","Salasanan palautuslinkki on vanhentunut."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","PHP:n asetuksissa on määritelty tiedoston enimmäiskooksi %s. Muuta post_max_size (tällä hetkellä %s) ja upload_max_filesize (tällä hetkellä %s) -arvoja php.ini-tiedostossa jos haluat lisätä suurempia tiedostoja."
"Zip/Postal Code","Postinumero"
"Zip/Postal Code:","Postinumero:"
"[ deleted ]","[ poistettu ]"
"[GLOBAL]","[GLOBAALI]"
"[STORE VIEW]","[KAUPPANÄKYMÄ]"
"[WEBSITE]","[VERKKOKAUPPA]"
"close","sulje"
"critical","kriittinen"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","esimerkki: ""sitemap/"" tai ""/"" juuripolulle (polun pitää olla kirjoitettava)"
"example: sitemap.xml","esimerkki: sitemap.xml"
"failed","epäonnistui"
"from","alkaen"
"major","merkittävä"
"minor","vähäinen"
"notice","ilmoitus"
"store(%s) scope","kaupan(%s) näkymä"
"successful","onnistui"
"to","asti"
"website(%s) scope","sivuston(%s) näkymä"
