" [deleted]"," [削除済]"
"Switch/Solo/Maestro(UK Domestic) Only","スウィッチ/ソロ/マエストロ(UK国内) のみ"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","スウィッチ/ソロ/マエストロ(UK国内)カード発行ナンバー: %s"
"Synchronize","同期"
"Synchronizing...","同期中..."
"System","システム"
"Tags","タグ"
"Target Path","対象パス"
"Tax","税"
"Template","テンプレート"
"Template Content","テンプレートコンテンツ"
"Template Information","テンプレート情報"
"Template Name","テンプレート名"
"Template Styles","テンプレートスタイル"
"Template Subject","テンプレート件名"
"Template Type","テンプレートタイプ"
"Temporary (302)","一時的(302)"
"Terms and Conditions","契約条件"
"Text","テキスト"
"The JavaScript/CSS cache has been cleaned.","JavaScript/CSSキャッシュをクリアしました。"
"The OpenMage cache storage has been flushed.","OpenMageのキャッシュストレージを更新しました。"
"The URL Rewrite has been saved.","URL書換を保存しました。"
"The archive can be uncompressed with <a href=""%s"">%s</a> on Windows systems","このアーカイブはWindows上で <a href=""%s"">%s</a> を利用して展開することができます"
"The attribute set has been removed.","属性セットを削除しました。"
"The credit memo has been canceled.","返金伝票をキャンセルしました。"
"The image cache was cleaned.","画像キャッシュをクリアしました。"
"The invoice has been captured.","請求書を売り上げ計上しました。"
"The invoice has been created.","請求書を作成しました。"
"The invoice has been voided.","請求書を無効にしました。"
"The order no longer exists.","この注文データは存在しません。"
"The shipment has been created.","配送伝票を作成しました。"
"The transaction details have been updated.","トランザクション詳細を更新しました。"
"There is an error in one of the option rows.","オプション行にエラーがあります。"
"This account is","このアカウントは"
"This action cannot be undone.","このアクションは取り消せません。"
"This attribute shares the same value in all the stores","この属性は全ての店舗で共有されています"
"This block no longer exists.","このブロックは存在していません。"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","これはデモストアです。実際に請求されることはありません。"
"This is a required field.","必須項目です"
"This section is not allowed.","このセクションは許可されていません"
"This user no longer exists.","このユーザーは存在していません。"
"Time","時間"
"Time selection:","時間選択:"
"Time:","時間:"
"To","終了"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","PayPal Payflowリンクを使うには、PayPal PayflowリンクアカウントをPayPalウェブサイトにて設定しなければなりません。"
"Toggle Editor","エディタを閉じる"
"Tools","ツール"
"Top 5 Search Terms","上位5件の検索キーワード"
"Total","合計"
"Total Invoiced","請求額合計"
"Total Order Amount","合計注文額"
"Total Refunded","返金合計"
"Track Order","注文追跡"
"Track this shipment","この荷物を追跡する"
"Tracking number %s for %s assigned","荷物追跡番号 %s が %s に割り当てられました"
"Transaction Data","トランザクションデータ"
"Transaction Details","トランザクション詳細"
"Transaction ID","トランザクションID"
"Transaction Type","トランザクション種別"
"Transactional Emails","取引メール"
"Transactions","トランザクション"
"Type","種別"
"Type:","タイプ:"
"URL Rewrite Information","URL書換情報"
"URL Rewrite Management","URL書換管理"
"Unable to initialize import model","インポートしたモデルを初期化できませんでした"
"Unable to save Cron expression","Cron expression保存不可"
"Unknown","不明"
"Unlimited","無制限"
"Update","更新"
"Updated At","更新日"
"Upload File","ファイルをアップロード"
"Upload Files","ファイルアップロード"
"Upload HTTP Error","アップロードHTTPエラー"
"Upload I/O Error","アップロードI/Oエラー"
"Upload Security Error","アップロードセキュリティエラー"
"Upload import file","インポートファイルをアップロードする"
"Use All Available Attributes","全ての利用可能な属性で使用する"
"Use Config Settings","設定を使用"
"Use Default","標準の値を使用"
"Use Default Value","標準の値を使用"
"Use Default Variable Values","標準の値を使用"
"Use FTP Connection","FTP接続を使用"
"Use Website","ウェブサイトの設定を使用する"
"User Email","ユーザーメールアドレス"
"User ID","ユーザーID"
"User Info","ユーザー情報"
"User Information","ユーザー情報"
"User Name","ユーザ名"
"User Name:","ユーザー名:"
"User Password","パスワード"
"User Role","ユーザー権限"
"User Roles","権限"
"User Roles Information","ユーザー権限情報"
"User name","ユーザ名"
"Users","ユーザー"
"Validation Results","検証結果"
"Value","値"
"Value Delimiter:","区切文字:"
"Variable","変数"
"Variable Code","変数コード"
"Variable HTML Value","任意HTMLの値"
"Variable ID","変数ID"
"Variable Name","変数名"
"Variable Plain Value","変数のもとの値"
"View Actions XML","アクションXMLを表示する"
"View Full Size","フルサイズで表示"
"View Statistics For:","統計を表示:"
"Visibility:","可視性:"
"Warning","警告"
"Warning! Empty value can cause problems with CSV format.","警告！ 価格の未記入はCSVフォーマット上で問題を起こす可能性があります。"
"Watermark File for %s","%sへの透かしエラー"
"Web Services","Webサービス"
"Web services","Webサービス"
"Website","ウェブサイト"
"What is this?","これは何ですか？"
"Wishlist Report","ほしい物リストレポート"
"YTD","1年間"
"Year","年"
"Yes","はい"
"Yes (only price with tax)","Yes(税込み価格のみ)"
"You cannot delete your own account.","自分のアカウントを削除することはできません。"
"You have logged out.","ログアウトしました。"
"Your answers contain duplicates.","回答が重複しています"
"Your password reset link has expired.","パスワード再発行リンクが有効期限切れです。"
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","あなたのPHPサーバーは一度に最大%sアップロード可能です。より大きなファイルをアップロードしたい場合は、php.iniの中にあるpost_max_size(現在は%s)と upload_max_filesize (現在は%s) の価格を修正してください。"
"Zip/Postal Code","郵便番号"
"Zip/Postal Code:","郵便番号:"
"[ deleted ]","[ 削除済み ]"
"[GLOBAL]","[グローバル]"
"[STORE VIEW]","[ストアビュー]"
"[WEBSITE]","[ウェブサイト]"
"close","閉じる"
"critical","致命的な"
"example: sitemap.xml","例: sitemap.xml"
"failed","失敗"
"from","より"
"major","メジャー"
"minor","マイナー"
"notice","通知"
"store(%s) scope","ストア(%s)スコープ"
"successful","成功"
"to","終了"
"website(%s) scope","ウェブサイト(%s)スコープ"
