" and "," y "
"Reset Password","Restablecer contraseña"
"Reset a Password","Reinicializar contraseña"
"Resize","Redimensionar"
"Resource Access","Zugriff auf Ressource"
"Resources","Recursos"
"Results","Resultados"
"Retrieve Password","Recuperar contraseña"
"Return Html Version","Devolver versión Html"
"Revenue","Ingresos"
"Reviews","Reseñas"
"Reviews and Ratings","Reseñas y Calificaciones"
"Role ID","Rol del ID"
"Role Info","Información de la función"
"Role Information","Información del rol"
"Role Name","Nombre del puesto"
"Role Resources","Recursos de la función"
"Role Users","Funciones del usuario"
"Roles","Funciones"
"Roles Resources","Funciones de recursos"
"Root Category","Categoría raíz"
"Rotate CCW","Rotar CCW"
"Rotate CW","Rotar CW"
"Run","Ausführen"
"Run Profile","Ejecutar perfil"
"Run Profile Inside This Window","Ejecutar perfil dentro de esta ventana"
"Running... Kill","Ejecutando... Aniquilar"
"SKU","Unidad de mantenimiento de existencias (SKU)"
"SKU:","No. Ref. (SKU):"
"SSL Error: Invalid or self-signed certificate","Error SSL: Certificado inválido o no firmado"
"Sales","Ventas"
"Sales Report","Informe de ventas"
"Samples","Muestras"
"Save","Guardar"
"Save & Generate","Guardar y generar"
"Save Account","Guardar Cuenta"
"Save Block","Guardar Bloque"
"Save Cache Settings","Guardar la configuración de caché"
"Save Config","Guardar configuración"
"Save Currency Rates","Guardar los Tipos de Cambio"
"Save Profile","Guardar Perfil"
"Save Role","Guardar Rol"
"Save Template","Guardar la plantilla"
"Save User","Guardar usuario"
"Save and Continue Edit","Guardar y continuar editando"
"Search","Buscar"
"Search Index","Índice de Búsqueda"
"Search Term","Término de búsqueda"
"Search Terms","Términos de búsqueda"
"Search entire store here...","Busque aquí por toda la tienda..."
"Select","Seleccionar"
"Select All","Seleccionar Todo"
"Select Category","Kategorie wählen"
"Select Date","Seleccionar fechas"
"Select Range","Seleccionar Rango"
"Select date","Seleccionar fecha"
"Sender","Remitente"
"Separate Email","Separate eMail"
"Shipment #%s comment added","Comentario #%s  de envío añadido"
"Shipment #%s created","Envíos #%s Creados"
"Shipment Comments","Comentarios del pedido"
"Shipment History","Historial del envío"
"Shipments","Envíos"
"Shipping","Envío"
"Shipping Address","Dirección de envío"
"Shipping Address: ","Direccion de envio: "
"Shipping Origin","Origen del envío"
"Shipping Price","Precio de envío"
"Shipping address selection is not applicable","La dirección de envío seleccionada no es aplicable"
"Shipping method selection is not applicable","El método de envío seleccionado no es aplicable"
"Shopping Cart","Carrito de compras"
"Shopping Cart Price Rules","Reglas de Precio de Carrito de Compra"
"Shopping Cart from %s","Carrito de compras de %s"
"Show By","Mostrar por"
"Show Report For:","Bericht anzeigen für:"
"Show Reviews","Kundenrezensionen anzeigen"
"Sitemap Information","Información del mapa del sitio"
"Size for %s","Tamaño por %s"
"Skip Category Selection","Saltar selección de categoría"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Algunos artículos en este pedido tienen diferentes facturas y tipos de envío."
"Sorry, this feature is coming soon...","Disculpe, esta característica estará disponible pronto..."
"Special Price:","Precio Especial:"
"Specific Countries","Especifique países."
"Specified","Especificado"
"Spreadsheet Name:","Nombre de la hoja de cálculo:"
"Start Date","Fecha de inicio"
"Starting at:","A partir de:"
"Starting profile execution, please wait...","Comenzando la ejecución del Perfil, por favor espere..."
"State/Province:","Estado/Provincia:"
"Static Blocks","Bloques Estáticos"
"Status","Estatus"
"Status:","Estado:"
"Stock Quantity:","Cantidad de Existencias:"
"Store","Tienda"
"Store Email Addresses Section","Sección de emails de tienda"
"Store View","Vista de la tienda"
"Store:","Tienda:"
"Stores","Tiendas"
"Subject","Asunto"
"Submit","Enviar"
"Switch/Solo card issue number: %s","Tarjeta de debito Switch/Solo código de seguridad: %s"
"Switch/Solo card start Date: %s/%s","Tarjeta de debito Switch/Solo con fecha de inicio: %s/%s"
"Switch/Solo/Maestro Only","Switch/Solo/Maestro únicamente"
"Switch/Solo/Maestro(UK Domestic) Only","Únicamente Switch/Solo/Maestro(UK Domestic)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Trajeta de debito Switch/Solo/Maestro(UK Hogar) código de seguridad: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Trajeta de debito Switch/Solo/Maestro(UK Hogar) fecha de Inicio: %s/%s"
"Synchronize","Sincronizar"
"Synchronizing...","Synchronisierung läuft..."
"System","Sistema"
"System Section","Sección de sistema"
"Tags","Etiquetas"
"Target Path","Ruta de destino"
"Tax","Impuestos"
"Template","Plantilla"
"Template Content","Contenido de plantilla"
"Template Information","Información de la plantilla"
"Template Name","Nombre de plantilla"
"Template Styles","Estilos de plantilla"
"Template Subject","Asunto de la plantilla"
"Template Type","Tipo de plantilla"
"Temporary (302)","(302) Temporal"
"Terms and Conditions","Términos y condiciones"
"Text","Texto"
"The JavaScript/CSS cache has been cleaned.","Se ha limpiado la memoria caché de JavaScript/CSS."
"The Magento cache storage has been flushed.","La memoria cache de magento se vació."
"The URL Rewrite has been saved.","La reescritura de URL se ha guardado."
"The archive can be uncompressed with <a href=""%s"">%s</a> on Windows systems","El archivo puede ser descomprimido con <a href=""%s"">%s</a> en Sistema Windows"
"The attribute set has been removed.","El conjunto de atributos ha sido eliminado."
"The credit memo has been canceled.","La reembolso ha sido cancelada."
"The image cache was cleaned.","Se ha limpiado el caché de la imagen."
"The invoice has been captured.","La factura ha sido capturada."
"The invoice has been created.","La factura ha sido creada."
"The invoice has been voided.","La factura ha sido anulada."
"The order no longer exists.","Este pedido ya no existe."
"The shipment has been created.","El envío ha sido creado."
"The transaction details have been updated.","Se han actualizado los detalles de la transacción."
"There is an error in one of the option rows.","Hay un error en una de las opciones de las filas."
"This account is","Esta cuenta es"
"This action cannot be undone.","Esta acción no se puede deshacer."
"This attribute shares the same value in all the stores","Este atributo comparte el mismo valor en todas las tiendas"
"This block no longer exists.","Dieser Block existiert nicht mehr."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Esto es un demo de tienda. Cualquier pedido hecho por esta tienda no será atendida."
"This is a required field.","Este campo es obligatorio."
"This section is not allowed.","Esta sección no está permitida."
"This user no longer exists.","Este usuario ya no existe."
"Time","Zeit"
"Time selection:","Selección de hora:"
"Time:","Hora:"
"To","Hasta"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","Para utilizar PayPal Payflow Link, debe configurar su cuenta de PayPal Payflow Link en la Web de PayPal."
"Toggle Editor","Modificar Interruptor"
"Tools","Herramientas"
"Top 5 Search Terms","Los 5 más buscados"
"Total Invoiced","Total facturado"
"Total Order Amount","Cantidad total del pedido"
"Total Refunded","Total reembolsado"
"Track Order","Seguimiento de pedidos"
"Track this shipment","Realizar un seguimiento de este envío"
"Tracking number %s for %s assigned","Números %s de seguimiento %s asignado"
"Transaction Data","Datos de la transacción"
"Transaction Details","Detalles de la transacción"
"Transaction ID","Id de la transacción"
"Transaction Type","Tipo de transacción"
"Transactional Emails","Correos electrónicos transaccionales"
"Transactions","Transacciones"
"Type","Tipo"
"Type:","Art:"
"URL Rewrite Information","Información de reescritura URL"
"URL Rewrite Management","Gestión de reescritura de URL"
"Unable to initialize import model","Imposible de inicializar el modelo de importación"
"Unable to save Cron expression","No es posible guardar la expresión Cron"
"Unknown","Desconocido"
"Unlimited","Ilimitado"
"Update","Actualizar"
"Updated At","Actualicado el"
"Upload File","Cargar archivo"
"Upload Files","Subir archivos"
"Upload HTTP Error","Error HTTP al subir"
"Upload I/O Error","Error I/O al subir"
"Upload Security Error","Error de seguridad al subir"
"Upload import file","Cargar archivo de importación"
"Use All Available Attributes","Utilizar todos los atributos disponibles"
"Use Config Settings","Usar opciones de configuración"
"Use Default","Usar predeterminado"
"Use Default Value","Usar Valor Predeterminado"
"Use Default Variable Values","Usar valores de variable predeterminados"
"Use FTP Connection","Usar conexión FTP"
"Use Website","Usar Website"
"User Email","Correo electrónico del usuario"
"User ID","ID de Usuario"
"User Info","Información de usuario"
"User Information","Información de usuario"
"User Name","Nombre de usuario"
"User Name:","Nombre de usuario:"
"User Password","Contraseña de usuario"
"User Role","Cargo del usuario"
"User Roles","Rol del usuario"
"User Roles Information","Información de las funciones de usuario"
"User name","Nombre del usuario"
"Users","Usuarios"
"Validation Results","Prüfergebnisse"
"Value","Valor"
"Value Delimiter:","Valor delimitador:"
"Variable Code","Código de variable"
"Variable HTML Value","Valor de la variable HTML"
"Variable ID","ID de Variable"
"Variable Name","Nombre de la variable"
"Variable Plain Value","Valor de variable simple"
"View Actions XML","Ver Acciones XML"
"View Full Size","Ver tamaño completo"
"View Statistics For:","Ver estadísticas de:"
"Visibility:","Visibilidad:"
"Warning","Advertencia"
"Warning! Empty value can cause problems with CSV format.","¡Atención! Valores vacíos pueden causar problemas con el formato CSV."
"Watermark File for %s","Archivo de marca de agua por %s"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","Estamos en nuestra máquina de escribir, inventando más código para funcionalidades nuevas de Magento. Gracias por su paciencia."
"Web Section","Sección de la web"
"Web Services","Servicios Web"
"Web services","Servicios web"
"Website","Página web"
"What is this?","¿Qué es esto?"
"Wishlist Report","Reporte de la Lista de Deseos"
"YTD","Desde el inicio del año hasta la fecha actual"
"Year","Año"
"Yes","Sí"
"Yes (301 Moved Permanently)","Ja (301 Dauerhaft entfernt)"
"Yes (302 Found)","Ja (302 Gefunden)"
"Yes (only price with tax)","Sí (sólo precio con IVA)"
"You cannot delete your own account.","No puedes eliminar tu propia cuenta."
"You have logged out.","Has cerrado la sesión."
"Your answers contain duplicates.","Sus respuestas contienen duplicados."
"Your password reset link has expired.","Su enlace de restablecimiento de contraseña ha caducado."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","La configuración de su servidor PHP no le permite subir más de %s archivos a la vez. Modifique post_max_size (actualmente es %s) y upload_max_filesize (actualmente es %s) valores en php.ini Su Usted quiere subir archivos más grandes."
"Zip/Postal Code","Código Postal"
"Zip/Postal Code:","C.P./Código Postal:"
"[ deleted ]","[ eliminado ]"
"[STORE VIEW]","[VISTA DE TIENDA]"
"[WEBSITE]","[WEBSEITE]"
"close","Cerrar"
"critical","crítico"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","ejemplo: ""sitemap/"" o ""/"" para la ruta principal (el directorio debe tener permisos de escritura)"
"example: sitemap.xml","ejemplo: sitemap.xml"
"failed","fallado"
"from","a partir de"
"major","mayor"
"minor","menor"
"notice","noticia"
"store(%s) scope","Ámbito (%s) de la tienda"
"successful","correcto"
"to","hasta"
"website(%s) scope","Alcance (%s) del sitio web"
